  E*/MeV   189At     190At     191At     BF=0.62     193At     194At     195At  
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.247E-03 0.911E-05 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.254E-08 0.178E-03 0.399E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.594E-06 0.965E-04 0.137E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.888E-05 0.427E-04 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.404E-04 0.164E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.806E-04 0.567E-05 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.206E-09 0.864E-04 0.185E-05 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.147E-07 0.640E-04 0.572E-06 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.197E-06 0.380E-04 0.148E-06 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.941E-06 0.197E-04 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.205E-05 0.935E-05 0.000E+00 0.000E+00 0.000E+00
    52.0 0.000E+00 0.000E+00 0.264E-05 0.417E-05 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.579E-11 0.245E-05 0.178E-05 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.273E-09 0.184E-05 0.736E-06 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.355E-08 0.120E-05 0.298E-06 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.208E-07 0.702E-06 0.118E-06 0.000E+00 0.000E+00 0.000E+00
    62.0 0.000E+00 0.670E-07 0.382E-06 0.455E-07 0.000E+00 0.000E+00 0.000E+00
    64.0 0.000E+00 0.134E-06 0.197E-06 0.157E-07 0.000E+00 0.000E+00 0.000E+00
    66.0 0.131E-11 0.190E-06 0.974E-07 0.181E-08 0.000E+00 0.000E+00 0.000E+00
    68.0 0.263E-10 0.210E-06 0.466E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    70.0 0.213E-09 0.193E-06 0.218E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00

    
    
      E*/MeV   189At     190At     191At     BF=0.66     193At     194At     195At  
