    E*/MeV   188Po     189Po     190Po     191Po     BF=0.62     193Po     194Po  
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.290E-06 0.175E-02 0.242E-04
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.699E-05 0.289E-02 0.145E-04
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.690E-04 0.300E-02 0.679E-05
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.320E-03 0.222E-02 0.258E-05
    36.0 0.000E+00 0.000E+00 0.000E+00 0.125E-08 0.766E-03 0.127E-02 0.720E-06
    38.0 0.000E+00 0.000E+00 0.000E+00 0.429E-07 0.107E-02 0.608E-03 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.281E-06 0.100E-02 0.254E-03 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.152E-05 0.714E-03 0.974E-04 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.752E-05 0.421E-03 0.351E-04 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.259E-04 0.219E-03 0.122E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.615E-10 0.594E-04 0.105E-03 0.412E-05 0.000E+00
    50.0 0.000E+00 0.000E+00 0.177E-08 0.947E-04 0.470E-04 0.134E-05 0.000E+00
    52.0 0.000E+00 0.000E+00 0.241E-07 0.112E-03 0.202E-04 0.386E-06 0.000E+00
    54.0 0.000E+00 0.000E+00 0.174E-06 0.105E-03 0.840E-05 0.542E-07 0.000E+00
    56.0 0.000E+00 0.000E+00 0.725E-06 0.834E-04 0.340E-05 0.000E+00 0.000E+00
    58.0 0.000E+00 0.000E+00 0.191E-05 0.579E-04 0.134E-05 0.000E+00 0.000E+00
    60.0 0.000E+00 0.306E-10 0.348E-05 0.364E-04 0.512E-06 0.000E+00 0.000E+00
    62.0 0.000E+00 0.251E-09 0.474E-05 0.213E-04 0.181E-06 0.000E+00 0.000E+00
    64.0 0.000E+00 0.137E-08 0.519E-05 0.117E-04 0.475E-07 0.000E+00 0.000E+00
    66.0 0.000E+00 0.717E-08 0.478E-05 0.616E-05 0.000E+00 0.000E+00 0.000E+00
    68.0 0.000E+00 0.313E-07 0.386E-05 0.312E-05 0.000E+00 0.000E+00 0.000E+00
    70.0 0.000E+00 0.101E-06 0.281E-05 0.154E-05 0.000E+00 0.000E+00 0.000E+00
      
      
    E*/MeV   188Po     189Po     190Po     191Po     BF=0.66     193Po     194Po  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.584E-07 0.103E-05
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.386E-05 0.778E-05
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.106E-03 0.326E-04
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.684E-08 0.826E-03 0.526E-04
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.514E-06 0.267E-02 0.460E-04
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.119E-04 0.461E-02 0.282E-04
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.115E-03 0.499E-02 0.134E-04
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.534E-03 0.380E-02 0.524E-05
    36.0 0.000E+00 0.000E+00 0.000E+00 0.231E-08 0.130E-02 0.224E-02 0.166E-05
    38.0 0.000E+00 0.000E+00 0.000E+00 0.963E-07 0.187E-02 0.109E-02 0.258E-06
    40.0 0.000E+00 0.000E+00 0.000E+00 0.610E-06 0.181E-02 0.467E-03 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.286E-05 0.132E-02 0.181E-03 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.133E-04 0.798E-03 0.663E-04 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.450E-04 0.423E-03 0.233E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.127E-09 0.103E-03 0.205E-03 0.797E-05 0.000E+00
    50.0 0.000E+00 0.000E+00 0.354E-08 0.166E-03 0.935E-04 0.265E-05 0.000E+00
    52.0 0.000E+00 0.000E+00 0.475E-07 0.199E-03 0.406E-04 0.829E-06 0.000E+00
    54.0 0.000E+00 0.000E+00 0.345E-06 0.190E-03 0.171E-04 0.200E-06 0.000E+00
    56.0 0.000E+00 0.000E+00 0.147E-05 0.152E-03 0.698E-05 0.000E+00 0.000E+00
    58.0 0.000E+00 0.000E+00 0.399E-05 0.107E-03 0.278E-05 0.000E+00 0.000E+00
    60.0 0.000E+00 0.835E-10 0.747E-05 0.682E-04 0.108E-05 0.000E+00 0.000E+00
    62.0 0.000E+00 0.642E-09 0.104E-04 0.402E-04 0.400E-06 0.000E+00 0.000E+00
    64.0 0.000E+00 0.310E-08 0.117E-04 0.223E-04 0.128E-06 0.000E+00 0.000E+00
    66.0 0.000E+00 0.147E-07 0.110E-04 0.118E-04 0.102E-07 0.000E+00 0.000E+00
    68.0 0.000E+00 0.616E-07 0.899E-05 0.604E-05 0.000E+00 0.000E+00 0.000E+00
    70.0 0.000E+00 0.195E-06 0.663E-05 0.299E-05 0.000E+00 0.000E+00 0.000E+00
    
    
    E*/MeV   188Po     189Po     190Po     191Po     BF=0.68     193Po     194Po  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.887E-07 0.162E-05
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.567E-05 0.130E-04
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.154E-03 0.571E-04
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.131E-07 0.123E-02 0.959E-04
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.916E-06 0.420E-02 0.865E-04
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.204E-04 0.760E-02 0.545E-04
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.193E-03 0.854E-02 0.266E-04
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.900E-03 0.672E-02 0.106E-04
    36.0 0.000E+00 0.000E+00 0.000E+00 0.434E-08 0.226E-02 0.407E-02 0.353E-05
    38.0 0.000E+00 0.000E+00 0.000E+00 0.207E-06 0.339E-02 0.203E-02 0.868E-06
    40.0 0.000E+00 0.000E+00 0.000E+00 0.127E-05 0.340E-02 0.880E-03 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.534E-05 0.256E-02 0.347E-03 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.236E-04 0.158E-02 0.129E-03 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.784E-04 0.857E-03 0.459E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.261E-09 0.181E-03 0.423E-03 0.159E-04 0.000E+00
    50.0 0.000E+00 0.000E+00 0.706E-08 0.296E-03 0.195E-03 0.536E-05 0.000E+00
    52.0 0.000E+00 0.000E+00 0.934E-07 0.362E-03 0.860E-04 0.174E-05 0.000E+00
    54.0 0.000E+00 0.000E+00 0.682E-06 0.353E-03 0.365E-04 0.489E-06 0.000E+00
    56.0 0.000E+00 0.000E+00 0.298E-05 0.288E-03 0.151E-04 0.000E+00 0.000E+00
    58.0 0.000E+00 0.000E+00 0.831E-05 0.206E-03 0.606E-05 0.000E+00 0.000E+00
    60.0 0.000E+00 0.141E-09 0.160E-04 0.133E-03 0.237E-05 0.000E+00 0.000E+00
    62.0 0.000E+00 0.112E-08 0.229E-04 0.797E-04 0.902E-06 0.000E+00 0.000E+00
    64.0 0.000E+00 0.571E-08 0.260E-04 0.448E-04 0.317E-06 0.000E+00 0.000E+00
    66.0 0.000E+00 0.281E-07 0.247E-04 0.240E-04 0.819E-07 0.000E+00 0.000E+00
    68.0 0.000E+00 0.118E-06 0.204E-04 0.123E-04 0.000E+00 0.000E+00 0.000E+00
    70.0 0.000E+00 0.373E-06 0.152E-04 0.616E-05 0.000E+00 0.000E+00 0.000E+00
    
    
39.2 0.5e-3 0.1e-3
40.5 1.6e-3 0.4e-3
