  E*/MeV   189At     190At     191At     192At     193At     194At     195At  
    30.0 0.000E+00 0.000E+00 0.983E-06 0.229E-02 0.588E-03 0.125E-03 0.387E-02
    32.0 0.000E+00 0.000E+00 0.161E-04 0.525E-02 0.409E-03 0.674E-03 0.662E-02
    34.0 0.000E+00 0.000E+00 0.127E-03 0.819E-02 0.221E-03 0.221E-02 0.812E-02
    36.0 0.000E+00 0.000E+00 0.567E-03 0.892E-02 0.100E-03 0.500E-02 0.749E-02
    38.0 0.000E+00 0.000E+00 0.161E-02 0.721E-02 0.604E-04 0.867E-02 0.548E-02
    40.0 0.000E+00 0.731E-08 0.322E-02 0.463E-02 0.164E-03 0.123E-01 0.335E-02
    42.0 0.000E+00 0.178E-06 0.478E-02 0.252E-02 0.617E-03 0.146E-01 0.179E-02
    44.0 0.000E+00 0.182E-05 0.541E-02 0.121E-02 0.160E-02 0.149E-01 0.868E-03
    46.0 0.000E+00 0.109E-04 0.485E-02 0.535E-03 0.350E-02 0.130E-01 0.391E-03
    48.0 0.000E+00 0.427E-04 0.359E-02 0.222E-03 0.611E-02 0.996E-02 0.167E-03
    50.0 0.000E+00 0.117E-03 0.230E-02 0.896E-04 0.891E-02 0.682E-02 0.687E-04
    52.0 0.629E-08 0.244E-03 0.132E-02 0.442E-04 0.111E-01 0.425E-02 0.273E-04
    54.0 0.783E-07 0.403E-03 0.701E-03 0.583E-04 0.120E-01 0.245E-02 0.106E-04
    56.0 0.584E-06 0.537E-03 0.348E-03 0.149E-03 0.114E-01 0.132E-02 0.400E-05
    58.0 0.288E-05 0.589E-03 0.165E-03 0.353E-03 0.957E-02 0.678E-03 0.147E-05
    60.0 0.996E-05 0.547E-03 0.753E-04 0.688E-03 0.726E-02 0.333E-03 0.516E-06
    62.0 0.254E-04 0.442E-03 0.346E-04 0.113E-02 0.505E-02 0.158E-03 0.169E-06
    64.0 0.498E-04 0.319E-03 0.208E-04 0.159E-02 0.326E-02 0.724E-04 0.386E-07
    66.0 0.772E-04 0.211E-03 0.293E-04 0.195E-02 0.198E-02 0.323E-04 0.000E+00
    68.0 0.975E-04 0.130E-03 0.669E-04 0.211E-02 0.115E-02 0.141E-04 0.000E+00
    70.0 0.104E-03 0.757E-04 0.144E-03 0.205E-02 0.634E-03 0.599E-05 0.000E+00
