     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.145E-04 0.245E-02 0.398E-03
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.283E-03 0.623E-02 0.391E-03
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.213E-02 0.117E-01 0.301E-03
    36.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.836E-02 0.160E-01 0.192E-03
    38.0 0.000E+00 0.000E+00 0.000E+00 0.507E-07 0.215E-01 0.165E-01 0.104E-03
    40.0 0.000E+00 0.000E+00 0.000E+00 0.433E-05 0.410E-01 0.135E-01 0.493E-04
    42.0 0.000E+00 0.000E+00 0.000E+00 0.885E-04 0.608E-01 0.915E-02 0.209E-04
    44.0 0.000E+00 0.000E+00 0.000E+00 0.689E-03 0.705E-01 0.529E-02 0.803E-05
    46.0 0.000E+00 0.000E+00 0.000E+00 0.272E-02 0.652E-01 0.269E-02 0.279E-05
    48.0 0.000E+00 0.000E+00 0.102E-06 0.675E-02 0.495E-01 0.123E-02 0.854E-06
    50.0 0.000E+00 0.000E+00 0.308E-05 0.123E-01 0.320E-01 0.514E-03 0.157E-06

  E*/MeV   194Po     195Po     196Po     197Po     198Po     199Po     200Po  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.361E-10 0.722E-08 0.000E+00 0.254E-09
    22.0 0.000E+00 0.000E+00 0.000E+00 0.802E-08 0.277E-06 0.000E+00 0.221E-07
    24.0 0.000E+00 0.000E+00 0.000E+00 0.710E-06 0.684E-05 0.896E-11 0.899E-06
    26.0 0.000E+00 0.000E+00 0.000E+00 0.160E-04 0.568E-04 0.628E-08 0.107E-04
    28.0 0.000E+00 0.000E+00 0.137E-07 0.129E-03 0.180E-03 0.459E-06 0.551E-04
    30.0 0.000E+00 0.000E+00 0.106E-05 0.609E-03 0.334E-03 0.100E-04 0.195E-03
    32.0 0.000E+00 0.000E+00 0.223E-04 0.199E-02 0.420E-03 0.920E-04 0.519E-03
    34.0 0.000E+00 0.000E+00 0.232E-03 0.493E-02 0.399E-03 0.467E-03 0.110E-02
    36.0 0.000E+00 0.000E+00 0.140E-02 0.922E-02 0.304E-03 0.155E-02 0.185E-02
    38.0 0.000E+00 0.662E-08 0.528E-02 0.129E-01 0.203E-03 0.379E-02 0.249E-02
    40.0 0.000E+00 0.457E-06 0.138E-01 0.137E-01 0.223E-03 0.739E-02 0.271E-02
    42.0 0.000E+00 0.858E-05 0.269E-01 0.116E-01 0.701E-03 0.119E-01 0.244E-02
    44.0 0.000E+00 0.798E-04 0.406E-01 0.801E-02 0.254E-02 0.162E-01 0.186E-02
    46.0 0.000E+00 0.439E-03 0.480E-01 0.473E-02 0.673E-02 0.186E-01 0.123E-02
    48.0 0.498E-08 0.155E-02 0.454E-01 0.245E-02 0.137E-01 0.181E-01 0.713E-03
    50.0 0.192E-06 0.384E-02 0.354E-01 0.119E-02 0.220E-01 0.151E-01 0.373E-03

 Z-Verteilung  
 E*/MeV     Po         At         Rn  
   20.0  0.750E-08 0.486E-07 0.319E-06
   22.0  0.307E-06 0.151E-05 0.395E-05
   24.0  0.845E-05 0.321E-04 0.422E-04
   26.0  0.835E-04 0.256E-03 0.315E-03
   28.0  0.365E-03 0.982E-03 0.105E-02
   30.0  0.115E-02 0.286E-02 0.175E-02
   32.0  0.304E-02 0.691E-02 0.185E-02
   34.0  0.713E-02 0.141E-01 0.154E-02
   36.0  0.143E-01 0.245E-01 0.142E-02
   38.0  0.247E-01 0.381E-01 0.225E-02
   40.0  0.378E-01 0.546E-01 0.353E-02
   42.0  0.535E-01 0.700E-01 0.384E-02
   44.0  0.693E-01 0.765E-01 0.311E-02
   46.0  0.798E-01 0.706E-01 0.210E-02
   48.0  0.820E-01 0.575E-01 0.136E-02
   50.0  0.780E-01 0.449E-01 0.893E-03

 Z und A Mittelwerte    
   E*/MeV     MW.Z  St.Abw.Z      MW.A  St.Abw.A
    20.0     85.83      0.43    200.94      0.42
    22.0     85.63      0.58    200.79      0.68
    24.0     85.41      0.67    200.43      0.92
    26.0     85.35      0.70    200.07      0.94
    28.0     85.28      0.71    199.85      0.96
    30.0     85.10      0.70    199.64      1.07
    32.0     84.90      0.64    199.42      1.19
    34.0     84.75      0.57    199.17      1.28
    36.0     84.68      0.54    198.91      1.31
    38.0     84.66      0.54    198.66      1.31
    40.0     84.64      0.55    198.45      1.32
    42.0     84.61      0.55    198.27      1.35
    44.0     84.56      0.54    198.10      1.39
    46.0     84.49      0.53    197.94      1.41
    48.0     84.43      0.51    197.82      1.38
    50.0     84.38      0.50    197.72      1.33

 HIVAP  CASOUT

   52Cr + 150Sm ---> 202Rn IFUS11  8.12.2021 (A. Sitarcik)              


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   240.767    4.63    52.0  0.2487E+03  0.1101E+00  0.2477E+03    69.0       99.58
   243.461    4.68    54.0  0.2841E+03  0.1014E+00  0.2829E+03    69.0       99.56
   246.154    4.73    56.0  0.3157E+03  0.9443E-01  0.3144E+03    69.0       99.58
   248.847    4.79    58.0  0.3428E+03  0.8635E-01  0.3415E+03    69.0       99.63
   251.541    4.84    60.0  0.3647E+03  0.7690E-01  0.3636E+03    69.0       99.71
   254.234    4.89    62.0  0.3813E+03  0.6762E-01  0.3805E+03    69.0       99.78
   256.927    4.94    64.0  0.3930E+03  0.6319E-01  0.3924E+03    69.0       99.84
   259.621    4.99    66.0  0.4004E+03  0.5583E-01  0.3999E+03    69.0       99.88
   262.314    5.04    68.0  0.4040E+03  0.4934E-01  0.4037E+03    69.0       99.91
   265.007    5.10    70.0  0.4050E+03  0.4345E-01  0.4046E+03    69.0       99.92
   267.701    5.15    72.0  0.4039E+03  0.3722E-01  0.4037E+03    69.0       99.93
   270.394    5.20    74.0  0.4016E+03  0.3279E-01  0.4014E+03    69.0       99.93
   273.087    5.25    76.0  0.3986E+03  0.2923E-01  0.3983E+03    69.0       99.93
   275.781    5.30    78.0  0.3951E+03  0.2596E-01  0.3948E+03    69.0       99.93
   278.474    5.36    80.0  0.3915E+03  0.2271E-01  0.3912E+03    69.0       99.92

     Querschnitte / mbarn

  E*/MeV   196Rn     197Rn     198Rn     199Rn     200Rn     201Rn     202Rn  
    52.0 0.000E+00 0.450E-08 0.334E-03 0.240E-03 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.129E-06 0.247E-03 0.101E-03 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.126E-05 0.155E-03 0.410E-04 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.571E-05 0.873E-04 0.161E-04 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.142E-04 0.454E-04 0.620E-05 0.000E+00 0.000E+00 0.000E+00
    62.0 0.950E-10 0.229E-04 0.223E-04 0.234E-05 0.000E+00 0.000E+00 0.000E+00
    64.0 0.289E-08 0.269E-04 0.105E-04 0.854E-06 0.000E+00 0.000E+00 0.000E+00
    66.0 0.300E-07 0.255E-04 0.481E-05 0.280E-06 0.000E+00 0.000E+00 0.000E+00
    68.0 0.140E-06 0.207E-04 0.214E-05 0.317E-07 0.000E+00 0.000E+00 0.000E+00
    70.0 0.367E-06 0.149E-04 0.937E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    72.0 0.644E-06 0.981E-05 0.401E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    74.0 0.852E-06 0.604E-05 0.167E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    76.0 0.917E-06 0.352E-05 0.607E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    78.0 0.847E-06 0.197E-05 0.141E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    80.0 0.696E-06 0.106E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00

  E*/MeV   195At     196At     197At     198At     199At     200At     201At  
    52.0 0.000E+00 0.000E+00 0.364E-04 0.181E-01 0.183E-01 0.201E-03 0.000E+00
    54.0 0.000E+00 0.000E+00 0.218E-03 0.221E-01 0.946E-02 0.750E-04 0.000E+00
    56.0 0.000E+00 0.000E+00 0.793E-03 0.226E-01 0.456E-02 0.268E-04 0.000E+00
    58.0 0.000E+00 0.000E+00 0.199E-02 0.199E-01 0.209E-02 0.922E-05 0.000E+00
    60.0 0.000E+00 0.662E-08 0.379E-02 0.153E-01 0.917E-03 0.306E-05 0.000E+00
    62.0 0.000E+00 0.158E-06 0.574E-02 0.106E-01 0.390E-03 0.964E-06 0.000E+00
    64.0 0.000E+00 0.171E-05 0.713E-02 0.674E-02 0.162E-03 0.261E-06 0.000E+00
    66.0 0.000E+00 0.102E-04 0.749E-02 0.400E-02 0.658E-04 0.000E+00 0.000E+00
    68.0 0.000E+00 0.393E-04 0.683E-02 0.224E-02 0.262E-04 0.000E+00 0.000E+00
    70.0 0.000E+00 0.109E-03 0.555E-02 0.120E-02 0.102E-04 0.000E+00 0.000E+00
    72.0 0.112E-07 0.233E-03 0.410E-02 0.616E-03 0.387E-05 0.000E+00 0.000E+00
    74.0 0.121E-06 0.404E-03 0.280E-02 0.308E-03 0.142E-05 0.000E+00 0.000E+00
    76.0 0.782E-06 0.585E-03 0.179E-02 0.150E-03 0.489E-06 0.000E+00 0.000E+00
    78.0 0.339E-05 0.722E-03 0.109E-02 0.710E-04 0.129E-06 0.000E+00 0.000E+00
    80.0 0.106E-04 0.778E-03 0.636E-03 0.330E-04 0.000E+00 0.000E+00 0.000E+00

  E*/MeV   194Po     195Po     196Po     197Po     198Po     199Po     200Po  
    52.0 0.285E-05 0.730E-02 0.236E-01 0.765E-03 0.299E-01 0.111E-01 0.179E-03
    54.0 0.236E-04 0.113E-01 0.140E-01 0.119E-02 0.354E-01 0.723E-02 0.800E-04
    56.0 0.124E-03 0.146E-01 0.752E-02 0.266E-02 0.370E-01 0.431E-02 0.340E-04
    58.0 0.448E-03 0.158E-01 0.378E-02 0.525E-02 0.345E-01 0.239E-02 0.138E-04
    60.0 0.118E-02 0.148E-01 0.181E-02 0.875E-02 0.290E-01 0.124E-02 0.545E-05
    62.0 0.240E-02 0.121E-01 0.906E-03 0.126E-01 0.222E-01 0.617E-03 0.208E-05
    64.0 0.390E-02 0.885E-02 0.573E-03 0.148E-01 0.207E-01 0.295E-03 0.774E-06
    66.0 0.517E-02 0.592E-02 0.821E-03 0.181E-01 0.141E-01 0.136E-03 0.277E-06
    68.0 0.578E-02 0.368E-02 0.172E-02 0.199E-01 0.906E-02 0.611E-04 0.927E-07
    70.0 0.557E-02 0.215E-02 0.340E-02 0.199E-01 0.548E-02 0.267E-04 0.223E-07
    72.0 0.475E-02 0.120E-02 0.581E-02 0.183E-01 0.221E-02 0.114E-04 0.000E+00
    74.0 0.367E-02 0.647E-03 0.861E-02 0.154E-01 0.907E-03 0.475E-05 0.000E+00
    76.0 0.261E-02 0.359E-03 0.113E-01 0.121E-01 0.402E-03 0.193E-05 0.000E+00
    78.0 0.174E-02 0.254E-03 0.131E-01 0.874E-02 0.184E-03 0.764E-06 0.000E+00
    80.0 0.109E-02 0.300E-03 0.139E-01 0.588E-02 0.950E-04 0.292E-06 0.000E+00

 Z-Verteilung  
 E*/MeV     Po         At         Rn  
   52.0  0.729E-01 0.366E-01 0.575E-03
   54.0  0.692E-01 0.318E-01 0.348E-03
   56.0  0.662E-01 0.280E-01 0.197E-03
   58.0  0.623E-01 0.240E-01 0.109E-03
   60.0  0.568E-01 0.200E-01 0.659E-04
   62.0  0.508E-01 0.167E-01 0.475E-04
   64.0  0.491E-01 0.140E-01 0.383E-04
   66.0  0.442E-01 0.116E-01 0.306E-04
   68.0  0.402E-01 0.914E-02 0.230E-04
   70.0  0.366E-01 0.686E-02 0.162E-04
   72.0  0.323E-01 0.495E-02 0.109E-04
   74.0  0.293E-01 0.351E-02 0.706E-05
   76.0  0.267E-01 0.253E-02 0.450E-05
   78.0  0.241E-01 0.189E-02 0.283E-05
   80.0  0.213E-01 0.146E-02 0.176E-05

 Z und A Mittelwerte    
   E*/MeV     MW.Z  St.Abw.Z      MW.A  St.Abw.A
    52.0     84.34      0.49    197.64      1.27
    54.0     84.32      0.47    197.54      1.24
    56.0     84.30      0.46    197.43      1.24
