E_lab	E*/MeV	173Au	174Au	175Au	176Au	177Au	178Au	179Au
370.698	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.604E+00	0.656E+01	0.615E+00
372.655	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.108E+01	0.699E+01	0.478E+00
374.611	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.171E+01	0.708E+01	0.356E+00
376.568	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.247E+01	0.683E+01	0.254E+00
378.524	39.0	0.000E+00	0.000E+00	0.000E+00	0.215E-05	0.330E+01	0.629E+01	0.175E+00
380.481	40.0	0.000E+00	0.000E+00	0.000E+00	0.243E-04	0.414E+01	0.555E+01	0.117E+00
382.437	41.0	0.000E+00	0.000E+00	0.000E+00	0.182E-03	0.493E+01	0.470E+01	0.757E-01
384.394	42.0	0.000E+00	0.000E+00	0.000E+00	0.981E-03	0.562E+01	0.384E+01	0.478E-01
386.350	43.0	0.000E+00	0.000E+00	0.000E+00	0.396E-02	0.617E+01	0.303E+01	0.295E-01
388.307	44.0	0.000E+00	0.000E+00	0.000E+00	0.125E-01	0.655E+01	0.232E+01	0.178E-01
390.263	45.0	0.000E+00	0.000E+00	0.000E+00	0.321E-01	0.676E+01	0.173E+01	0.106E-01
392.220	46.0	0.000E+00	0.000E+00	0.000E+00	0.701E-01	0.678E+01	0.126E+01	0.623E-02
394.177	47.0	0.000E+00	0.000E+00	0.000E+00	0.134E+00	0.662E+01	0.894E+00	0.361E-02
396.133	48.0	0.000E+00	0.000E+00	0.000E+00	0.228E+00	0.629E+01	0.624E+00	0.207E-02
398.090	49.0	0.000E+00	0.000E+00	0.000E+00	0.354E+00	0.582E+01	0.429E+00	0.117E-02
400.046	50.0	0.000E+00	0.000E+00	0.575E-06	0.509E+00	0.526E+01	0.290E+00	0.661E-03
402.003	51.0	0.000E+00	0.000E+00	0.461E-05	0.685E+00	0.463E+01	0.194E+00	0.369E-03
403.959	52.0	0.000E+00	0.000E+00	0.267E-04	0.875E+00	0.398E+01	0.128E+00	0.204E-03
405.916	53.0	0.000E+00	0.000E+00	0.117E-03	0.106E+01	0.335E+01	0.835E-01	0.112E-03
407.872	54.0	0.000E+00	0.000E+00	0.408E-03	0.124E+01	0.276E+01	0.541E-01	0.606E-04
409.829	55.0	0.000E+00	0.000E+00	0.117E-02	0.140E+01	0.223E+01	0.347E-01	0.323E-04
411.785	56.0	0.000E+00	0.000E+00	0.286E-02	0.153E+01	0.176E+01	0.221E-01	0.169E-04
413.742	57.0	0.000E+00	0.000E+00	0.614E-02	0.162E+01	0.137E+01	0.140E-01	0.845E-05
415.698	58.0	0.000E+00	0.000E+00	0.118E-01	0.166E+01	0.105E+01	0.882E-02	0.398E-05
