   E*/MeV   180Pb     181Pb     182Pb     183Pb     184Pb     185Pb     186Pb  
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.172E-08 0.436E-02 0.873E-03
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.517E-07 0.672E-02 0.667E-03
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.574E-06 0.916E-02 0.483E-03
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.355E-05 0.111E-01 0.334E-03
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.150E-04 0.120E-01 0.221E-03
    33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.482E-04 0.118E-01 0.142E-03
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.126E-03 0.107E-01 0.875E-04
    35.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.283E-03 0.896E-02 0.525E-04
    36.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.555E-03 0.709E-02 0.307E-04
    37.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.974E-03 0.533E-02 0.175E-04
    38.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.154E-02 0.383E-02 0.981E-05
    39.0 0.000E+00 0.000E+00 0.000E+00 0.427E-09 0.222E-02 0.266E-02 0.538E-05
    40.0 0.000E+00 0.000E+00 0.000E+00 0.690E-08 0.290E-02 0.179E-02 0.285E-05
    41.0 0.000E+00 0.000E+00 0.000E+00 0.502E-07 0.348E-02 0.117E-02 0.143E-05
    42.0 0.000E+00 0.000E+00 0.000E+00 0.230E-06 0.384E-02 0.748E-03 0.657E-06
    43.0 0.000E+00 0.000E+00 0.000E+00 0.789E-06 0.393E-02 0.470E-03 0.255E-06
    44.0 0.000E+00 0.000E+00 0.000E+00 0.225E-05 0.377E-02 0.291E-03 0.000E+00
    45.0 0.000E+00 0.000E+00 0.000E+00 0.554E-05 0.341E-02 0.178E-03 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.122E-04 0.294E-02 0.107E-03 0.000E+00
    47.0 0.000E+00 0.000E+00 0.000E+00 0.243E-04 0.243E-02 0.642E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.000E+00 0.443E-04 0.193E-02 0.382E-04 0.000E+00
    49.0 0.000E+00 0.000E+00 0.000E+00 0.746E-04 0.149E-02 0.226E-04 0.000E+00
    50.0 0.000E+00 0.000E+00 0.000E+00 0.116E-03 0.112E-02 0.133E-04 0.000E+00
    51.0 0.000E+00 0.000E+00 0.418E-09 0.166E-03 0.824E-03 0.775E-05 0.000E+00
    

  E*/MeV   179Tl     180Tl     181Tl     182Tl     183Tl     184Tl     185Tl  
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.243E-11 0.504E-08 0.547E-11
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.675E-09 0.119E-05 0.110E-07
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.110E-07 0.603E-05 0.618E-07
    33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.105E-06 0.177E-04 0.131E-06
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.833E-06 0.467E-04 0.245E-06
    35.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.569E-05 0.117E-03 0.447E-06
    36.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.338E-04 0.273E-03 0.795E-06
    37.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.168E-03 0.580E-03 0.133E-05
    38.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.622E-03 0.102E-02 0.194E-05
    39.0 0.000E+00 0.000E+00 0.000E+00 0.350E-09 0.154E-02 0.133E-02 0.217E-05
    40.0 0.000E+00 0.000E+00 0.000E+00 0.670E-08 0.261E-02 0.129E-02 0.182E-05
