E_lab	E*/MeV	190Bi	191Bi	192Bi	193Bi	194Bi	195Bi	196Bi
244.591	57.0	0.218E-03	0.352E-01	0.673E-02	0.142E-01	0.379E-01	0.497E-02	0.648E-05
245.938	58.0	0.384E-03	0.330E-01	0.482E-02	0.181E-01	0.348E-01	0.363E-02	0.402E-05
247.285	59.0	0.626E-03	0.300E-01	0.341E-02	0.222E-01	0.313E-01	0.262E-02	0.247E-05
248.632	60.0	0.949E-03	0.265E-01	0.239E-02	0.263E-01	0.274E-01	0.187E-02	0.150E-05
249.979	61.0	0.135E-02	0.227E-01	0.168E-02	0.301E-01	0.236E-01	0.132E-02	0.907E-06
251.326	62.0	0.183E-02	0.191E-01	0.121E-02	0.335E-01	0.199E-01	0.924E-03	0.543E-06
252.673	63.0	0.235E-02	0.156E-01	0.950E-03	0.364E-01	0.164E-01	0.641E-03	0.323E-06
254.020	64.0	0.290E-02	0.126E-01	0.866E-03	0.385E-01	0.133E-01	0.441E-03	0.189E-06
255.367	65.0	0.344E-02	0.992E-02	0.954E-03	0.397E-01	0.107E-01	0.301E-03	0.109E-06
256.714	66.0	0.393E-02	0.770E-02	0.121E-02	0.400E-01	0.842E-02	0.204E-03	0.598E-07
258.061	67.0	0.433E-02	0.589E-02	0.165E-02	0.394E-01	0.655E-02	0.138E-03	0.312E-07
259.408	68.0	0.462E-02	0.445E-02	0.225E-02	0.379E-01	0.504E-02	0.923E-04	0.131E-07
260.754	69.0	0.476E-02	0.332E-02	0.301E-02	0.358E-01	0.377E-02	0.615E-04	0.000E+00
262.101	70.0	0.477E-02	0.245E-02	0.390E-02	0.331E-01	0.224E-02	0.407E-04	0.000E+00
263.448	71.0	0.464E-02	0.180E-02	0.491E-02	0.300E-01	0.135E-02	0.268E-04	0.000E+00
264.795	72.0	0.440E-02	0.132E-02	0.597E-02	0.267E-01	0.835E-03	0.176E-04	0.000E+00
266.142	73.0	0.407E-02	0.973E-03	0.706E-02	0.233E-01	0.534E-03	0.115E-04	0.000E+00
267.489	74.0	0.368E-02	0.744E-03	0.811E-02	0.200E-01	0.349E-03	0.742E-05	0.000E+00
268.836	75.0	0.326E-02	0.615E-03	0.908E-02	0.169E-01	0.231E-03	0.479E-05	0.000E+00
270.183	76.0	0.283E-02	0.576E-03	0.991E-02	0.139E-01	0.156E-03	0.307E-05	0.000E+00
271.530	77.0	0.241E-02	0.623E-03	0.106E-01	0.113E-01	0.109E-03	0.196E-05	0.000E+00
272.877	78.0	0.202E-02	0.755E-03	0.110E-01	0.899E-02	0.790E-04	0.124E-05	0.000E+00
274.224	79.0	0.167E-02	0.972E-03	0.112E-01	0.578E-02	0.585E-04	0.779E-06	0.000E+00
275.571	80.0	0.136E-02	0.127E-02	0.112E-01	0.343E-02	0.328E-04	0.482E-06	0.000E+00
