E_lab	E*/MeV	255Md	256Md	257Md	258Md	259Md	260Md	261Md
69.924	30.0	0.000E+00	0.149E-18	0.496E-13	0.911E-13	0.495E-16	0.383E-21	0.436E-18
70.985	31.0	0.000E+00	0.756E-17	0.222E-12	0.188E-12	0.654E-16	0.687E-20	0.220E-17
72.045	32.0	0.000E+00	0.164E-15	0.893E-12	0.357E-12	0.733E-16	0.933E-19	0.983E-17
73.106	33.0	0.000E+00	0.219E-14	0.322E-11	0.641E-12	0.112E-15	0.102E-17	0.390E-16
74.166	34.0	0.000E+00	0.646E-12	0.481E-09	0.114E-09	0.816E-14	0.293E-15	0.472E-14
75.227	35.0	0.000E+00	0.625E-11	0.203E-08	0.279E-09	0.000E+00	0.277E-14	0.199E-13
76.287	36.0	0.000E+00	0.466E-10	0.623E-08	0.507E-09	0.000E+00	0.204E-13	0.603E-13
77.348	37.0	0.101E-13	0.300E-09	0.167E-07	0.852E-09	0.000E+00	0.130E-12	0.162E-12
78.408	38.0	0.271E-12	0.173E-08	0.408E-07	0.139E-08	0.000E+00	0.737E-12	0.398E-12
79.469	39.0	0.449E-11	0.884E-08	0.915E-07	0.221E-08	0.000E+00	0.371E-11	0.902E-12
80.529	40.0	0.524E-10	0.396E-07	0.187E-06	0.335E-08	0.000E+00	0.163E-10	0.187E-11
81.590	41.0	0.442E-09	0.148E-06	0.331E-06	0.463E-08	0.000E+00	0.589E-10	0.336E-11
82.650	42.0	0.261E-08	0.420E-06	0.474E-06	0.539E-08	0.000E+00	0.163E-09	0.488E-11
83.710	43.0	0.107E-07	0.877E-06	0.526E-06	0.503E-08	0.000E+00	0.328E-09	0.549E-11
84.771	44.0	0.321E-07	0.140E-05	0.470E-06	0.387E-08	0.000E+00	0.505E-09	0.497E-11
85.831	45.0	0.770E-07	0.186E-05	0.361E-06	0.258E-08	0.000E+00	0.643E-09	0.389E-11
86.892	46.0	0.156E-06	0.215E-05	0.251E-06	0.156E-08	0.000E+00	0.715E-09	0.281E-11
87.952	47.0	0.276E-06	0.223E-05	0.164E-06	0.836E-09	0.000E+00	0.714E-09	0.192E-11
89.013	48.0	0.434E-06	0.211E-05	0.102E-06	0.260E-09	0.000E+00	0.655E-09	0.125E-11
90.073	49.0	0.619E-06	0.186E-05	0.621E-07	0.000E+00	0.000E+00	0.560E-09	0.780E-12
91.134	50.0	0.805E-06	0.154E-05	0.371E-07	0.000E+00	0.000E+00	0.453E-09	0.450E-12
92.194	51.0	0.966E-06	0.121E-05	0.219E-07	0.000E+00	0.000E+00	0.351E-09	0.252E-12
93.255	52.0	0.108E-05	0.921E-06	0.127E-07	0.000E+00	0.000E+00	0.263E-09	0.608E-13
94.315	53.0	0.113E-05	0.679E-06	0.733E-08	0.000E+00	0.000E+00	0.190E-09	0.000E+00
95.376	54.0	0.111E-05	0.487E-06	0.415E-08	0.000E+00	0.000E+00	0.134E-09	0.000E+00
96.436	55.0	0.104E-05	0.341E-06	0.231E-08	0.000E+00	0.000E+00	0.927E-10	0.000E+00
97.497	56.0	0.933E-06	0.235E-06	0.123E-08	0.102E-09	0.000E+00	0.628E-10	0.000E+00
98.557	57.0	0.803E-06	0.159E-06	0.522E-09	0.218E-09	0.000E+00	0.419E-10	0.000E+00
99.618	58.0	0.668E-06	0.106E-06	0.101E-09	0.427E-09	0.000E+00	0.275E-10	0.000E+00
100.678	59.0	0.539E-06	0.703E-07	0.000E+00	0.534E-09	0.000E+00	0.179E-10	0.000E+00
