  E*/MeV   193Rn     194Rn     195Rn     196Rn     197Rn     198Rn     199Rn  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.649E-10 0.412E-06 0.000E+00
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.439E-08 0.653E-06 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.916E-07 0.808E-06 0.000E+00
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.836E-06 0.833E-06 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.439E-05 0.757E-06 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.162E-04 0.625E-06 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.410E-04 0.480E-06 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.694E-04 0.346E-06 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.905E-04 0.226E-06 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.990E-04 0.126E-06 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.428E-09 0.956E-04 0.163E-07 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.117E-07 0.843E-04 0.000E+00 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.127E-06 0.693E-04 0.000E+00 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.735E-06 0.538E-04 0.000E+00 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.261E-05 0.398E-04 0.000E+00 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.612E-05 0.283E-04 0.000E+00 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.102E-04 0.194E-04 0.000E+00 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.132E-04 0.128E-04 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.145E-04 0.828E-05 0.000E+00 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.140E-04 0.520E-05 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.227E-11 0.123E-04 0.320E-05 0.000E+00 0.000E+00
    41.0 0.000E+00 0.000E+00 0.724E-10 0.100E-04 0.193E-05 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.924E-09 0.773E-05 0.114E-05 0.000E+00 0.000E+00
    43.0 0.000E+00 0.000E+00 0.665E-08 0.568E-05 0.660E-06 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.318E-07 0.403E-05 0.366E-06 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.110E-06 0.276E-05 0.193E-06 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.293E-06 0.185E-05 0.869E-07 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.611E-06 0.122E-05 0.000E+00 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.103E-05 0.784E-06 0.000E+00 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.145E-05 0.499E-06 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.178E-05 0.314E-06 0.000E+00 0.000E+00 0.000E+00
    51.0 0.000E+00 0.984E-12 0.197E-05 0.196E-06 0.000E+00 0.000E+00 0.000E+00
    52.0 0.000E+00 0.112E-10 0.199E-05 0.121E-06 0.000E+00 0.000E+00 0.000E+00
    53.0 0.000E+00 0.800E-10 0.189E-05 0.737E-07 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.387E-09 0.169E-05 0.442E-07 0.000E+00 0.000E+00 0.000E+00
    55.0 0.000E+00 0.134E-08 0.145E-05 0.253E-07 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.352E-08 0.120E-05 0.137E-07 0.000E+00 0.000E+00 0.000E+00
    57.0 0.000E+00 0.733E-08 0.956E-06 0.294E-08 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.127E-07 0.745E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    59.0 0.000E+00 0.189E-07 0.568E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.251E-07 0.424E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    61.0 0.000E+00 0.303E-07 0.312E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    62.0 0.000E+00 0.339E-07 0.226E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    63.0 0.759E-13 0.355E-07 0.162E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    64.0 0.622E-12 0.352E-07 0.115E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    65.0 0.371E-11 0.334E-07 0.805E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    66.0 0.168E-10 0.305E-07 0.560E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    67.0 0.604E-10 0.269E-07 0.387E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    
    
  E*/MeV   193Rn     194Rn     195Rn     196Rn     197Rn     198Rn     199Rn  
    32.0 0.000E+00 0.000E+00 0.000E+00 0.262E-12 0.900E-11 0.000E+00 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.251E-11 0.165E-10 0.000E+00 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.122E-08 0.109E-07 0.000E+00 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.821E-08 0.247E-07 0.000E+00 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.380E-07 0.479E-07 0.000E+00 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.140E-06 0.899E-07 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.439E-06 0.165E-06 0.000E+00 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.119E-05 0.293E-06 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.668E-12 0.268E-05 0.471E-06 0.000E+00 0.000E+00
    41.0 0.000E+00 0.000E+00 0.428E-10 0.455E-05 0.619E-06 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.796E-09 0.549E-05 0.621E-06 0.000E+00 0.000E+00
    43.0 0.000E+00 0.000E+00 0.665E-08 0.506E-05 0.488E-06 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.331E-07 0.395E-05 0.324E-06 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.115E-06 0.282E-05 0.190E-06 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.304E-06 0.190E-05 0.907E-07 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.626E-06 0.125E-05 0.000E+00 0.000E+00 0.000E+00


  E*/MeV   192At     193At     194At     195At     196At     197At     198At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.346E-06 0.177E-04
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.242E-05 0.458E-04
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.112E-04 0.874E-04
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.397E-04 0.135E-03
