E_lab	E*/MeV	191At	192At	BF=0.65	BF=0.65	195At	196At	197At
303.491	77	8.74E-08	5.20E-07	9.08E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
304.888	78	9.09E-08	4.00E-07	4.66E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
306.285	79	9.10E-08	3.05E-07	2.23E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
307.682	80	8.82E-08	2.30E-07	9.13E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
								
								
E_lab	E*/MeV	191At	192At	BF=0.66	BF=0.66	195At	196At	197At
223.852	20	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.23E-10	1.10E-06	3.26E-10
225.249	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.60E-09	3.11E-06	5.34E-10
226.647	22	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.12E-07	8.32E-06	5.73E-10
228.044	23	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.72E-06	2.08E-05	0.00E+00
229.441	24	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.23E-05	4.62E-05	0.00E+00
230.838	25	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.20E-04	8.23E-05	0.00E+00
232.235	26	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.16E-04	1.13E-04	0.00E+00
233.632	27	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.67E-04	1.24E-04	0.00E+00
235.03	28	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.59E-03	1.17E-04	0.00E+00
236.427	29	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.07E-03	9.96E-05	0.00E+00
237.824	30	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.27E-03	7.77E-05	0.00E+00
239.221	31	0.00E+00	0.00E+00	0.00E+00	1.73E-08	2.20E-03	5.67E-05	0.00E+00
240.618	32	0.00E+00	0.00E+00	0.00E+00	4.32E-07	1.94E-03	3.90E-05	0.00E+00
242.015	33	0.00E+00	0.00E+00	0.00E+00	4.06E-06	1.59E-03	2.55E-05	0.00E+00
243.413	34	0.00E+00	0.00E+00	0.00E+00	2.00E-05	1.22E-03	1.60E-05	0.00E+00
244.81	35	0.00E+00	0.00E+00	0.00E+00	6.38E-05	8.79E-04	9.53E-06	0.00E+00
246.207	36	0.00E+00	0.00E+00	0.00E+00	1.57E-04	6.05E-04	5.37E-06	0.00E+00
247.604	37	0.00E+00	0.00E+00	0.00E+00	3.19E-04	3.99E-04	2.84E-06	0.00E+00
249.001	38	0.00E+00	0.00E+00	0.00E+00	5.52E-04	2.53E-04	1.27E-06	0.00E+00
250.398	39	0.00E+00	0.00E+00	0.00E+00	8.04E-04	1.56E-04	0.00E+00	0.00E+00
251.796	40	0.00E+00	0.00E+00	1.42E-10	9.93E-04	9.36E-05	0.00E+00	0.00E+00
253.193	41	0.00E+00	0.00E+00	3.73E-09	1.06E-03	5.50E-05	0.00E+00	0.00E+00
254.59	42	0.00E+00	0.00E+00	4.05E-08	1.02E-03	3.17E-05	0.00E+00	0.00E+00
255.987	43	0.00E+00	0.00E+00	2.50E-07	8.97E-04	1.81E-05	0.00E+00	0.00E+00
257.384	44	0.00E+00	0.00E+00	1.03E-06	7.37E-04	1.02E-05	0.00E+00	0.00E+00
258.781	45	0.00E+00	0.00E+00	3.12E-06	5.75E-04	5.64E-06	0.00E+00	0.00E+00
260.179	46	0.00E+00	0.00E+00	7.54E-06	4.30E-04	3.13E-06	0.00E+00	0.00E+00
261.576	47	0.00E+00	0.00E+00	1.49E-05	3.11E-04	1.69E-06	0.00E+00	0.00E+00
262.973	48	0.00E+00	0.00E+00	2.48E-05	2.19E-04	8.82E-07	0.00E+00	0.00E+00
264.37	49	0.00E+00	0.00E+00	3.50E-05	1.50E-04	4.35E-07	0.00E+00	0.00E+00
265.767	50	0.00E+00	0.00E+00	4.33E-05	1.02E-04	1.45E-07	0.00E+00	0.00E+00
267.164	51	0.00E+00	0.00E+00	4.79E-05	6.78E-05	0.00E+00	0.00E+00	0.00E+00
268.562	52	0.00E+00	1.30E-11	4.87E-05	4.46E-05	0.00E+00	0.00E+00	0.00E+00
269.959	53	0.00E+00	1.73E-10	4.61E-05	2.90E-05	0.00E+00	0.00E+00	0.00E+00
271.356	54	0.00E+00	1.35E-09	4.12E-05	1.87E-05	0.00E+00	0.00E+00	0.00E+00
272.753	55	0.00E+00	7.05E-09	3.51E-05	1.20E-05	0.00E+00	0.00E+00	0.00E+00
274.15	56	0.00E+00	2.68E-08	2.88E-05	7.64E-06	0.00E+00	0.00E+00	0.00E+00
275.547	57	0.00E+00	8.02E-08	2.29E-05	4.84E-06	0.00E+00	0.00E+00	0.00E+00
276.945	58	0.00E+00	1.99E-07	1.77E-05	3.05E-06	0.00E+00	0.00E+00	0.00E+00
279.739	60	0.00E+00	7.79E-07	9.90E-06	1.20E-06	0.00E+00	0.00E+00	0.00E+00
279.739	60	0.00E+00	7.79E-07	9.90E-06	1.20E-06	0.00E+00	0.00E+00	0.00E+00
