E_lab	E*/MeV	191At	192At	BF=0.65	194At	195At	196At	197At
261.58	47.00	0.00E+00	0.00E+00	1.49E-05	3.11E-04	1.69E-06	0.00E+00	0.00E+00
262.97	48.00	0.00E+00	0.00E+00	2.48E-05	2.19E-04	8.82E-07	0.00E+00	0.00E+00
264.37	49.00	0.00E+00	0.00E+00	3.50E-05	1.50E-04	4.35E-07	0.00E+00	0.00E+00
265.77	50.00	0.00E+00	0.00E+00	4.33E-05	1.02E-04	1.45E-07	0.00E+00	0.00E+00
267.16	51.00	0.00E+00	0.00E+00	4.79E-05	6.78E-05	0.00E+00	0.00E+00	0.00E+00
268.56	52.00	0.00E+00	1.30E-11	4.87E-05	4.46E-05	0.00E+00	0.00E+00	0.00E+00
269.96	53.00	0.00E+00	1.73E-10	4.61E-05	2.90E-05	0.00E+00	0.00E+00	0.00E+00
271.36	54.00	0.00E+00	1.35E-09	4.12E-05	1.87E-05	0.00E+00	0.00E+00	0.00E+00
272.75	55.00	0.00E+00	7.05E-09	3.51E-05	1.20E-05	0.00E+00	0.00E+00	0.00E+00
274.15	56.00	0.00E+00	2.68E-08	2.88E-05	7.64E-06	0.00E+00	0.00E+00	0.00E+00
275.55	57.00	0.00E+00	8.02E-08	2.29E-05	4.84E-06	0.00E+00	0.00E+00	0.00E+00
276.95	58.00	0.00E+00	1.99E-07	1.77E-05	3.05E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60.00	0.00E+00	7.79E-07	9.90E-06	1.20E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60.00	0.00E+00	7.79E-07	9.90E-06	1.20E-06	0.00E+00	0.00E+00	0.00E+00
281.14	61.00	0.00E+00	1.27E-06	7.22E-06	7.44E-07	0.00E+00	0.00E+00	0.00E+00
282.53	62.00	0.00E+00	1.84E-06	5.18E-06	4.60E-07	0.00E+00	0.00E+00	0.00E+00
283.93	63.00	2.50E-12	2.42E-06	3.68E-06	2.84E-07	0.00E+00	0.00E+00	0.00E+00
285.33	64.00	1.84E-11	2.92E-06	2.58E-06	1.73E-07	0.00E+00	0.00E+00	0.00E+00
286.73	65.00	9.93E-11	3.28E-06	1.79E-06	1.01E-07	0.00E+00	0.00E+00	0.00E+00
288.12	66.00	4.11E-10	3.48E-06	1.24E-06	5.62E-08	0.00E+00	0.00E+00	0.00E+00
289.52	67.00	1.36E-09	3.50E-06	8.47E-07	2.94E-08	0.00E+00	0.00E+00	0.00E+00
290.92	68.00	3.69E-09	3.36E-06	5.76E-07	8.17E-09	0.00E+00	0.00E+00	0.00E+00
292.31	69.00	8.42E-09	3.11E-06	3.90E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
293.71	70.00	1.65E-08	2.79E-06	2.62E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
295.11	71.00	2.85E-08	2.43E-06	1.76E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
296.51	72.00	4.41E-08	2.06E-06	1.17E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
297.90	73.00	6.19E-08	1.72E-06	7.79E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
299.30	74.00	8.04E-08	1.40E-06	5.13E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
300.70	75.00	9.75E-08	1.12E-06	3.33E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
302.09	76.00	1.12E-07	8.88E-07	2.13E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
303.49	77.00	1.21E-07	6.92E-07	1.32E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
304.89	78.00	1.26E-07	5.34E-07	7.70E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
306.29	79.00	1.27E-07	4.07E-07	3.62E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
307.68	80.00	1.23E-07	3.07E-07	1.46E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
								
								
E_lab	E*/MeV	191At	192At	BF=0.67	194At	195At	196At	197At
246.21	36.00	0.00E+00	0.00E+00	0.00E+00	1.95E-04	7.92E-04	7.04E-06	0.00E+00
247.60	37.00	0.00E+00	0.00E+00	0.00E+00	3.96E-04	5.24E-04	3.77E-06	0.00E+00
249.00	38.00	0.00E+00	0.00E+00	0.00E+00	6.86E-04	3.34E-04	1.77E-06	0.00E+00
250.40	39.00	0.00E+00	0.00E+00	0.00E+00	1.01E-03	2.06E-04	2.96E-07	0.00E+00
251.80	40.00	0.00E+00	0.00E+00	1.91E-10	1.25E-03	1.24E-04	0.00E+00	0.00E+00
253.19	41.00	0.00E+00	0.00E+00	5.00E-09	1.35E-03	7.29E-05	0.00E+00	0.00E+00
254.59	42.00	0.00E+00	0.00E+00	5.40E-08	1.31E-03	4.21E-05	0.00E+00	0.00E+00
255.99	43.00	0.00E+00	0.00E+00	3.31E-07	1.15E-03	2.40E-05	0.00E+00	0.00E+00
257.38	44.00	0.00E+00	0.00E+00	1.35E-06	9.52E-04	1.36E-05	0.00E+00	0.00E+00
258.78	45.00	0.00E+00	0.00E+00	4.09E-06	7.45E-04	7.55E-06	0.00E+00	0.00E+00
260.18	46.00	0.00E+00	0.00E+00	9.86E-06	5.59E-04	4.18E-06	0.00E+00	0.00E+00
261.58	47.00	0.00E+00	0.00E+00	1.96E-05	4.05E-04	2.26E-06	0.00E+00	0.00E+00
262.97	48.00	0.00E+00	0.00E+00	3.25E-05	2.86E-04	1.20E-06	0.00E+00	0.00E+00
264.37	49.00	0.00E+00	0.00E+00	4.61E-05	1.97E-04	6.11E-07	0.00E+00	0.00E+00
265.77	50.00	0.00E+00	0.00E+00	5.71E-05	1.34E-04	2.72E-07	0.00E+00	0.00E+00
267.16	51.00	0.00E+00	0.00E+00	6.34E-05	8.92E-05	1.74E-08	0.00E+00	0.00E+00
268.56	52.00	0.00E+00	1.77E-11	6.45E-05	5.88E-05	0.00E+00	0.00E+00	0.00E+00
269.96	53.00	0.00E+00	2.35E-10	6.12E-05	3.83E-05	0.00E+00	0.00E+00	0.00E+00
271.36	54.00	0.00E+00	1.83E-09	5.47E-05	2.48E-05	0.00E+00	0.00E+00	0.00E+00
272.75	55.00	0.00E+00	9.47E-09	4.67E-05	1.59E-05	0.00E+00	0.00E+00	0.00E+00
274.15	56.00	0.00E+00	3.59E-08	3.84E-05	1.01E-05	0.00E+00	0.00E+00	0.00E+00
275.55	57.00	0.00E+00	1.07E-07	3.05E-05	6.42E-06	0.00E+00	0.00E+00	0.00E+00
276.95	58.00	0.00E+00	2.63E-07	2.36E-05	4.05E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60.00	0.00E+00	1.02E-06	1.33E-05	1.59E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60.00	0.00E+00	1.02E-06	1.33E-05	1.59E-06	0.00E+00	0.00E+00	0.00E+00
281.14	61.00	0.00E+00	1.66E-06	9.67E-06	9.94E-07	0.00E+00	0.00E+00	0.00E+00
282.53	62.00	0.00E+00	2.40E-06	6.95E-06	6.16E-07	0.00E+00	0.00E+00	0.00E+00
283.93	63.00	3.50E-12	3.15E-06	4.93E-06	3.79E-07	0.00E+00	0.00E+00	0.00E+00
285.33	64.00	2.57E-11	3.80E-06	3.47E-06	2.32E-07	0.00E+00	0.00E+00	0.00E+00
286.73	65.00	1.38E-10	4.27E-06	2.41E-06	1.38E-07	0.00E+00	0.00E+00	0.00E+00
288.12	66.00	5.68E-10	4.52E-06	1.66E-06	7.72E-08	0.00E+00	0.00E+00	0.00E+00
289.52	67.00	1.87E-09	4.54E-06	1.14E-06	4.23E-08	0.00E+00	0.00E+00	0.00E+00
290.92	68.00	5.05E-09	4.36E-06	7.75E-07	1.24E-08	0.00E+00	0.00E+00	0.00E+00
292.31	69.00	1.15E-08	4.04E-06	5.25E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
293.71	70.00	2.25E-08	3.62E-06	3.53E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
295.11	71.00	3.87E-08	3.15E-06	2.37E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
296.51	72.00	5.96E-08	2.67E-06	1.58E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
297.90	73.00	8.36E-08	2.22E-06	1.05E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
299.30	74.00	1.08E-07	1.81E-06	6.95E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
300.70	75.00	1.31E-07	1.45E-06	4.49E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
302.09	76.00	1.50E-07	1.15E-06	2.94E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
303.49	77.00	1.63E-07	8.96E-07	1.80E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
304.89	78.00	1.69E-07	6.90E-07	1.07E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
306.29	79.00	1.69E-07	5.26E-07	5.37E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
307.68	80.00	1.64E-07	3.98E-07	2.03E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
								
								
E_lab	E*/MeV	191At	192At	BF=0.68	194At	195At	196At	197At
246.21	36.00	0.00E+00	0.00E+00	0.00E+00	2.42E-04	1.03E-03	9.35E-06	0.00E+00
247.60	37.00	0.00E+00	0.00E+00	0.00E+00	4.91E-04	6.85E-04	5.07E-06	0.00E+00
249.00	38.00	0.00E+00	0.00E+00	0.00E+00	8.54E-04	4.37E-04	2.61E-06	0.00E+00
250.40	39.00	0.00E+00	0.00E+00	0.00E+00	1.26E-03	2.70E-04	1.02E-06	0.00E+00
251.80	40.00	0.00E+00	0.00E+00	2.58E-10	1.59E-03	1.62E-04	0.00E+00	0.00E+00
253.19	41.00	0.00E+00	0.00E+00	6.69E-09	1.72E-03	9.56E-05	0.00E+00	0.00E+00
254.59	42.00	0.00E+00	0.00E+00	7.18E-08	1.67E-03	5.53E-05	0.00E+00	0.00E+00
255.99	43.00	0.00E+00	0.00E+00	4.38E-07	1.48E-03	3.15E-05	0.00E+00	0.00E+00
257.38	44.00	0.00E+00	0.00E+00	1.78E-06	1.23E-03	1.78E-05	0.00E+00	0.00E+00
258.78	45.00	0.00E+00	0.00E+00	5.37E-06	9.61E-04	9.95E-06	0.00E+00	0.00E+00
260.18	46.00	0.00E+00	0.00E+00	1.30E-05	7.22E-04	5.51E-06	0.00E+00	0.00E+00
261.58	47.00	0.00E+00	0.00E+00	2.60E-05	5.25E-04	3.00E-06	0.00E+00	0.00E+00
262.97	48.00	0.00E+00	0.00E+00	4.36E-05	3.71E-04	1.60E-06	0.00E+00	0.00E+00
264.37	49.00	0.00E+00	0.00E+00	6.24E-05	2.56E-04	8.23E-07	0.00E+00	0.00E+00
265.77	50.00	0.00E+00	0.00E+00	7.79E-05	1.74E-04	3.85E-07	0.00E+00	0.00E+00
267.16	51.00	0.00E+00	0.00E+00	8.71E-05	1.16E-04	5.92E-08	0.00E+00	0.00E+00
268.56	52.00	0.00E+00	2.41E-11	8.89E-05	7.67E-05	0.00E+00	0.00E+00	0.00E+00
269.96	53.00	0.00E+00	3.18E-10	8.45E-05	5.01E-05	0.00E+00	0.00E+00	0.00E+00
271.36	54.00	0.00E+00	2.46E-09	7.58E-05	3.24E-05	0.00E+00	0.00E+00	0.00E+00
272.75	55.00	0.00E+00	1.27E-08	6.49E-05	2.08E-05	0.00E+00	0.00E+00	0.00E+00
274.15	56.00	0.00E+00	4.79E-08	5.33E-05	1.33E-05	0.00E+00	0.00E+00	0.00E+00
275.55	57.00	0.00E+00	1.42E-07	4.25E-05	8.42E-06	0.00E+00	0.00E+00	0.00E+00
276.95	58.00	0.00E+00	3.49E-07	3.29E-05	5.32E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60.00	0.00E+00	1.35E-06	1.85E-05	2.09E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60.00	0.00E+00	1.35E-06	1.85E-05	2.09E-06	0.00E+00	0.00E+00	0.00E+00
281.14	61.00	0.00E+00	2.18E-06	1.35E-05	1.31E-06	0.00E+00	0.00E+00	0.00E+00
282.53	62.00	0.00E+00	3.16E-06	9.68E-06	8.11E-07	0.00E+00	0.00E+00	0.00E+00
283.93	63.00	4.89E-12	4.14E-06	6.87E-06	5.00E-07	0.00E+00	0.00E+00	0.00E+00
285.33	64.00	3.57E-11	5.00E-06	4.82E-06	3.08E-07	0.00E+00	0.00E+00	0.00E+00
286.73	65.00	1.90E-10	5.62E-06	3.36E-06	1.83E-07	0.00E+00	0.00E+00	0.00E+00
288.12	66.00	7.82E-10	5.95E-06	2.31E-06	1.08E-07	0.00E+00	0.00E+00	0.00E+00
289.52	67.00	2.57E-09	5.98E-06	1.59E-06	5.88E-08	0.00E+00	0.00E+00	0.00E+00
290.92	68.00	6.93E-09	5.76E-06	1.08E-06	2.30E-08	0.00E+00	0.00E+00	0.00E+00
292.31	69.00	1.58E-08	5.33E-06	7.30E-07	5.44E-09	0.00E+00	0.00E+00	0.00E+00
293.71	70.00	3.09E-08	4.78E-06	4.92E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
295.11	71.00	5.33E-08	4.17E-06	3.30E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
296.51	72.00	8.23E-08	3.54E-06	2.20E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
297.90	73.00	1.16E-07	2.95E-06	1.46E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
299.30	74.00	1.50E-07	2.40E-06	9.66E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
300.70	75.00	1.83E-07	1.93E-06	6.28E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
302.09	76.00	2.09E-07	1.53E-06	4.09E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
303.49	77.00	2.28E-07	1.19E-06	2.60E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
304.89	78.00	2.37E-07	9.17E-07	1.56E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
306.29	79.00	2.38E-07	7.00E-07	7.98E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
307.68	80.00	2.31E-07	5.29E-07	3.37E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
								
								
E_lab	E*/MeV	191At	192At	BF=0.69	194At	195At	196At	197At
246.21	36.00	0.00E+00	0.00E+00	0.00E+00	3.00E-04	1.36E-03	1.20E-05	0.00E+00
247.60	37.00	0.00E+00	0.00E+00	0.00E+00	6.09E-04	8.99E-04	6.65E-06	0.00E+00
249.00	38.00	0.00E+00	0.00E+00	0.00E+00	1.07E-03	5.75E-04	3.46E-06	0.00E+00
250.40	39.00	0.00E+00	0.00E+00	0.00E+00	1.60E-03	3.56E-04	1.47E-06	0.00E+00
251.80	40.00	0.00E+00	0.00E+00	3.47E-10	2.04E-03	2.15E-04	0.00E+00	0.00E+00
253.19	41.00	0.00E+00	0.00E+00	8.94E-09	2.24E-03	1.27E-04	0.00E+00	0.00E+00
254.59	42.00	0.00E+00	0.00E+00	9.53E-08	2.19E-03	7.33E-05	0.00E+00	0.00E+00
255.99	43.00	0.00E+00	0.00E+00	5.78E-07	1.96E-03	4.19E-05	0.00E+00	0.00E+00
257.38	44.00	0.00E+00	0.00E+00	2.34E-06	1.63E-03	2.37E-05	0.00E+00	0.00E+00
258.78	45.00	0.00E+00	0.00E+00	7.03E-06	1.28E-03	1.32E-05	0.00E+00	0.00E+00
260.18	46.00	0.00E+00	0.00E+00	1.70E-05	9.69E-04	7.34E-06	0.00E+00	0.00E+00
261.58	47.00	0.00E+00	0.00E+00	3.44E-05	7.06E-04	4.04E-06	0.00E+00	0.00E+00
262.97	48.00	0.00E+00	0.00E+00	5.84E-05	5.01E-04	2.18E-06	0.00E+00	0.00E+00
264.37	49.00	0.00E+00	0.00E+00	8.45E-05	3.47E-04	1.12E-06	0.00E+00	0.00E+00
265.77	50.00	0.00E+00	0.00E+00	1.06E-04	2.36E-04	5.56E-07	0.00E+00	0.00E+00
267.16	51.00	0.00E+00	0.00E+00	1.19E-04	1.58E-04	1.98E-07	0.00E+00	0.00E+00
268.56	52.00	0.00E+00	3.27E-11	1.23E-04	1.05E-04	0.00E+00	0.00E+00	0.00E+00
269.96	53.00	0.00E+00	4.30E-10	1.17E-04	6.84E-05	0.00E+00	0.00E+00	0.00E+00
271.36	54.00	0.00E+00	3.31E-09	1.05E-04	4.43E-05	0.00E+00	0.00E+00	0.00E+00
272.75	55.00	0.00E+00	1.70E-08	9.03E-05	2.85E-05	0.00E+00	0.00E+00	0.00E+00
274.15	56.00	0.00E+00	6.38E-08	7.44E-05	1.82E-05	0.00E+00	0.00E+00	0.00E+00
275.55	57.00	0.00E+00	1.88E-07	5.93E-05	1.16E-05	0.00E+00	0.00E+00	0.00E+00
276.95	58.00	0.00E+00	4.60E-07	4.60E-05	7.30E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60.00	0.00E+00	1.77E-06	2.59E-05	2.88E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60.00	0.00E+00	1.77E-06	2.59E-05	2.88E-06	0.00E+00	0.00E+00	0.00E+00
281.14	61.00	0.00E+00	2.85E-06	1.89E-05	1.80E-06	0.00E+00	0.00E+00	0.00E+00
282.53	62.00	0.00E+00	4.11E-06	1.36E-05	1.12E-06	0.00E+00	0.00E+00	0.00E+00
283.93	63.00	6.82E-12	5.39E-06	9.64E-06	6.92E-07	0.00E+00	0.00E+00	0.00E+00
285.33	64.00	4.95E-11	6.50E-06	6.77E-06	4.25E-07	0.00E+00	0.00E+00	0.00E+00
286.73	65.00	2.64E-10	7.30E-06	4.71E-06	2.60E-07	0.00E+00	0.00E+00	0.00E+00
288.12	66.00	1.09E-09	7.72E-06	3.25E-06	1.54E-07	0.00E+00	0.00E+00	0.00E+00
289.52	67.00	3.59E-09	7.75E-06	2.23E-06	8.38E-08	0.00E+00	0.00E+00	0.00E+00
290.92	68.00	9.83E-09	7.45E-06	1.52E-06	4.37E-08	0.00E+00	0.00E+00	0.00E+00
292.31	69.00	2.28E-08	6.90E-06	1.03E-06	6.97E-09	0.00E+00	0.00E+00	0.00E+00
293.71	70.00	4.59E-08	6.19E-06	6.91E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
295.11	71.00	8.12E-08	5.39E-06	4.63E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
296.51	72.00	1.29E-07	4.58E-06	3.09E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
297.90	73.00	1.85E-07	3.81E-06	2.06E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
299.30	74.00	2.46E-07	3.11E-06	1.36E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
300.70	75.00	3.04E-07	2.49E-06	8.88E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
302.09	76.00	3.53E-07	1.97E-06	5.79E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
303.49	77.00	3.89E-07	1.54E-06	3.71E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
304.89	78.00	4.11E-07	1.19E-06	2.29E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
306.29	79.00	4.16E-07	9.05E-07	1.37E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
307.68	80.00	4.07E-07	6.83E-07	5.46E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00


E E* 193At_{RITU}
266 50 0.4E-4
