  E*/MeV   191At     192At     193At     BF=0.63     BF=0.63     196At     197At  
    45.0 0.000E+00 0.000E+00 0.000E+00 0.994E-04 0.260E-02 0.143E-03 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.168E-03 0.191E-02 0.860E-04 0.000E+00
    47.0 0.000E+00 0.000E+00 0.259E-09 0.259E-03 0.136E-02 0.512E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.177E-08 0.369E-03 0.952E-03 0.302E-04 0.000E+00
    49.0 0.000E+00 0.000E+00 0.943E-08 0.483E-03 0.653E-03 0.177E-04 0.000E+00
    50.0 0.000E+00 0.000E+00 0.407E-07 0.587E-03 0.441E-03 0.103E-04 0.000E+00
    51.0 0.000E+00 0.000E+00 0.146E-06 0.666E-03 0.294E-03 0.595E-05 0.000E+00
    52.0 0.000E+00 0.000E+00 0.443E-06 0.709E-03 0.194E-03 0.341E-05 0.000E+00
    53.0 0.000E+00 0.000E+00 0.116E-05 0.713E-03 0.127E-03 0.194E-05 0.000E+00
    54.0 0.000E+00 0.000E+00 0.265E-05 0.683E-03 0.821E-04 0.108E-05 0.000E+00
    55.0 0.000E+00 0.000E+00 0.534E-05 0.626E-03 0.528E-04 0.586E-06 0.000E+00
    56.0 0.000E+00 0.000E+00 0.963E-05 0.553E-03 0.337E-04 0.288E-06 0.000E+00
    57.0 0.000E+00 0.000E+00 0.156E-04 0.472E-03 0.214E-04 0.120E-06 0.000E+00
    58.0 0.000E+00 0.577E-10 0.231E-04 0.391E-03 0.135E-04 0.000E+00 0.000E+00
    60.0 0.000E+00 0.746E-09 0.394E-04 0.250E-03 0.530E-05 0.000E+00 0.000E+00
    60.0 0.000E+00 0.746E-09 0.394E-04 0.250E-03 0.530E-05 0.000E+00 0.000E+00
    61.0 0.000E+00 0.193E-08 0.463E-04 0.194E-03 0.328E-05 0.000E+00 0.000E+00
    62.0 0.000E+00 0.457E-08 0.513E-04 0.148E-03 0.203E-05 0.000E+00 0.000E+00
    63.0 0.000E+00 0.107E-07 0.541E-04 0.111E-03 0.124E-05 0.000E+00 0.000E+00
    64.0 0.000E+00 0.247E-07 0.543E-04 0.819E-04 0.745E-06 0.000E+00 0.000E+00
    65.0 0.000E+00 0.556E-07 0.524E-04 0.599E-04 0.440E-06 0.000E+00 0.000E+00
    66.0 0.000E+00 0.119E-06 0.487E-04 0.433E-04 0.251E-06 0.000E+00 0.000E+00
    67.0 0.000E+00 0.236E-06 0.439E-04 0.310E-04 0.130E-06 0.000E+00 0.000E+00
    
    
    
  E*/MeV   191At     192At     193At     BF=0.64     BF=0.64     196At     197At 
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.797E-10 0.825E-06 0.163E-09
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.568E-08 0.226E-05 0.211E-09
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.142E-06 0.587E-05 0.000E+00
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.186E-05 0.144E-04 0.000E+00
