  E*/MeV   191At     192At     193At     BF=0.57     BF=0.57     196At     197At  
    45.0 0.000E+00 0.000E+00 0.347E-06 0.747E-04 0.589E-06 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.842E-06 0.546E-04 0.297E-06 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.163E-05 0.387E-04 0.142E-06 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.257E-05 0.268E-04 0.791E-08 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.346E-05 0.181E-04 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.409E-05 0.121E-04 0.000E+00 0.000E+00 0.000E+00
    51.0 0.000E+00 0.000E+00 0.436E-05 0.796E-05 0.000E+00 0.000E+00 0.000E+00


  E*/MeV   191At     192At     193At     BF=0.59     BF=0.59     196At     197At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.269E-10 0.266E-06 0.134E-10
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.201E-08 0.692E-06 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.525E-07 0.172E-05 0.000E+00
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.713E-06 0.406E-05 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.616E-05 0.861E-05 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.339E-04 0.149E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.111E-03 0.198E-04 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.226E-03 0.214E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.335E-03 0.199E-04 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.402E-03 0.166E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.415E-03 0.128E-04 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.301E-08 0.384E-03 0.920E-05 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.789E-07 0.326E-03 0.628E-05 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.771E-06 0.257E-03 0.407E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.394E-05 0.191E-03 0.250E-05 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.131E-04 0.135E-03 0.136E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.335E-04 0.910E-04 0.653E-06 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.696E-04 0.590E-04 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.118E-03 0.369E-04 0.000E+00 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.163E-03 0.225E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.191E-03 0.133E-04 0.000E+00 0.000E+00
    41.0 0.000E+00 0.000E+00 0.473E-09 0.195E-03 0.776E-05 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.535E-08 0.180E-03 0.445E-05 0.000E+00 0.000E+00
    43.0 0.000E+00 0.000E+00 0.344E-07 0.153E-03 0.251E-05 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.147E-06 0.123E-03 0.139E-05 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.458E-06 0.933E-04 0.759E-06 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.111E-05 0.684E-04 0.402E-06 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.214E-05 0.486E-04 0.185E-06 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.339E-05 0.336E-04 0.279E-07 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.457E-05 0.228E-04 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.542E-05 0.152E-04 0.000E+00 0.000E+00 0.000E+00
