     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.699E-05 0.289E-02 0.145E-04
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.690E-04 0.300E-02 0.679E-05
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.320E-03 0.222E-02 0.258E-05
    36.0 0.000E+00 0.000E+00 0.000E+00 0.125E-08 0.766E-03 0.127E-02 0.720E-06
    38.0 0.000E+00 0.000E+00 0.000E+00 0.429E-07 0.107E-02 0.608E-03 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.281E-06 0.100E-02 0.254E-03 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.152E-05 0.714E-03 0.974E-04 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.752E-05 0.421E-03 0.351E-04 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.259E-04 0.219E-03 0.122E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.615E-10 0.594E-04 0.105E-03 0.412E-05 0.000E+00
    50.0 0.000E+00 0.000E+00 0.177E-08 0.947E-04 0.470E-04 0.134E-05 0.000E+00

  E*/MeV   187Bi     188Bi     189Bi     190Bi     191Bi     192Bi     193Bi  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.578E-09 0.466E-06 0.000E+00 0.269E-07
    22.0 0.000E+00 0.000E+00 0.000E+00 0.859E-07 0.835E-05 0.000E+00 0.123E-05
    24.0 0.000E+00 0.000E+00 0.000E+00 0.421E-05 0.678E-04 0.112E-08 0.264E-04
    26.0 0.000E+00 0.000E+00 0.000E+00 0.565E-04 0.188E-03 0.137E-06 0.197E-03
    28.0 0.000E+00 0.000E+00 0.548E-08 0.339E-03 0.257E-03 0.379E-05 0.764E-03
    30.0 0.000E+00 0.000E+00 0.358E-06 0.120E-02 0.229E-03 0.424E-04 0.186E-02
    32.0 0.000E+00 0.000E+00 0.607E-05 0.276E-02 0.149E-03 0.242E-03 0.305E-02
    34.0 0.000E+00 0.000E+00 0.490E-04 0.413E-02 0.755E-04 0.829E-03 0.352E-02
    36.0 0.000E+00 0.000E+00 0.226E-03 0.422E-02 0.323E-04 0.195E-02 0.305E-02
    38.0 0.000E+00 0.000E+00 0.658E-03 0.318E-02 0.186E-04 0.350E-02 0.209E-02
    40.0 0.000E+00 0.219E-08 0.133E-02 0.192E-02 0.524E-04 0.504E-02 0.121E-02
    42.0 0.000E+00 0.555E-07 0.195E-02 0.986E-03 0.203E-03 0.601E-02 0.614E-03
    44.0 0.000E+00 0.584E-06 0.212E-02 0.452E-03 0.540E-03 0.600E-02 0.284E-03
    46.0 0.000E+00 0.360E-05 0.180E-02 0.191E-03 0.121E-02 0.512E-02 0.123E-03
    48.0 0.000E+00 0.145E-04 0.127E-02 0.768E-04 0.215E-02 0.381E-02 0.506E-04
    50.0 0.000E+00 0.412E-04 0.776E-03 0.300E-04 0.316E-02 0.253E-02 0.201E-04

 Z-Verteilung  
 E*/MeV     Bi         Po         At  
   20.0  0.494E-06 0.667E-06 0.759E-06
   22.0  0.967E-05 0.714E-05 0.436E-05
   24.0  0.984E-04 0.917E-04 0.207E-04
   26.0  0.442E-03 0.592E-03 0.102E-03
