     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

    15.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.261E-07
    16.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.830E-13 0.604E-07
    17.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.132E-10 0.969E-07
    18.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.180E-09 0.116E-06
    19.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.128E-08 0.109E-06
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.639E-08 0.863E-07
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.236E-07 0.595E-07
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.680E-07 0.371E-07
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.286E-12 0.155E-06 0.215E-07
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.753E-11 0.284E-06 0.118E-07
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.703E-10 0.425E-06 0.620E-08

  E*/MeV   249Md     250Md     251Md     252Md     253Md     254Md     255Md  
    10.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.270E-12 0.000E+00 0.000E+00
    11.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.573E-11 0.000E+00 0.000E+00
    12.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.738E-10 0.000E+00 0.000E+00
    13.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.735E-09 0.000E+00 0.000E+00
    14.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.548E-08 0.000E+00 0.000E+00
    15.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.235E-07 0.000E+00 0.000E+00
    16.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.712E-07 0.000E+00 0.000E+00
    17.0 0.000E+00 0.000E+00 0.000E+00 0.358E-12 0.166E-06 0.000E+00 0.000E+00
    18.0 0.000E+00 0.000E+00 0.000E+00 0.619E-10 0.313E-06 0.000E+00 0.000E+00
    19.0 0.000E+00 0.000E+00 0.000E+00 0.789E-09 0.485E-06 0.000E+00 0.182E-16
    20.0 0.000E+00 0.000E+00 0.000E+00 0.411E-08 0.620E-06 0.000E+00 0.420E-15
    21.0 0.000E+00 0.000E+00 0.000E+00 0.153E-07 0.644E-06 0.000E+00 0.435E-14
    22.0 0.000E+00 0.000E+00 0.000E+00 0.462E-07 0.552E-06 0.000E+00 0.306E-13
    23.0 0.000E+00 0.000E+00 0.000E+00 0.117E-06 0.404E-06 0.000E+00 0.162E-12
    24.0 0.000E+00 0.000E+00 0.520E-11 0.250E-06 0.262E-06 0.000E+00 0.684E-12
    25.0 0.000E+00 0.000E+00 0.796E-10 0.466E-06 0.157E-06 0.000E+00 0.237E-11

 Z-Verteilung  
 E*/MeV     Md         No         Lr  
   10.0  0.270E-12 0.373E-12 0.385E-06
   11.0  0.573E-11 0.736E-11 0.290E-05
   12.0  0.738E-10 0.121E-09 0.190E-04
   13.0  0.735E-09 0.115E-08 0.884E-04
   14.0  0.548E-08 0.713E-08 0.203E-03
   15.0  0.235E-07 0.261E-07 0.271E-03
   16.0  0.712E-07 0.604E-07 0.259E-03
   17.0  0.166E-06 0.969E-07 0.223E-03
   18.0  0.313E-06 0.116E-06 0.230E-03
   19.0  0.486E-06 0.111E-06 0.327E-03
   20.0  0.624E-06 0.927E-07 0.468E-03
   21.0  0.659E-06 0.831E-07 0.502E-03
   22.0  0.598E-06 0.105E-06 0.429E-03
   23.0  0.521E-06 0.176E-06 0.313E-03
   24.0  0.513E-06 0.295E-06 0.204E-03
   25.0  0.623E-06 0.431E-06 0.124E-03

 Z und A Mittelwerte    
   E*/MeV     MW.Z  St.Abw.Z      MW.A  St.Abw.A
    10.0    103.00      0.00    256.02      0.14
    11.0    103.00      0.00    256.00      0.06
    12.0    103.00      0.00    256.00      0.02
    13.0    103.00      0.01    256.00      0.01
    14.0    103.00      0.01    256.00      0.02
    15.0    103.00      0.02    256.00      0.04
    16.0    103.00      0.04    255.98      0.14
    17.0    103.00      0.06    255.86      0.35
    18.0    103.00      0.08    255.55      0.51
    19.0    103.00      0.08    255.23      0.43
    20.0    103.00      0.07    255.09      0.30
    21.0    103.00      0.07    255.04      0.22
    22.0    103.00      0.08    255.03      0.18
    23.0    103.00      0.08    255.02      0.17
    24.0    102.99      0.11    255.01      0.18
    25.0    102.99      0.15    254.99      0.25

 HIVAP  CASOUT

   48Ca + 209Bi ---> 257Lr IFUS10 barfac1.0 01/06/2022 17:14 (Sitarcik) 


