E_lab	E*/MeV	174Hg	175Hg	176Hg	177Hg	178Hg	179Hg	180Hg
458.742	80.0	0.293E-03	0.358E-02	0.969E-03	0.114E-04	0.000E+00	0.000E+00	0.000E+00
460.698	81.0	0.352E-03	0.310E-02	0.695E-03	0.723E-05	0.000E+00	0.000E+00	0.000E+00
462.655	82.0	0.407E-03	0.264E-02	0.496E-03	0.458E-05	0.000E+00	0.000E+00	0.000E+00
464.611	83.0	0.454E-03	0.222E-02	0.353E-03	0.287E-05	0.000E+00	0.000E+00	0.000E+00
466.568	84.0	0.491E-03	0.184E-02	0.249E-03	0.177E-05	0.000E+00	0.000E+00	0.000E+00
468.524	85.0	0.514E-03	0.150E-02	0.176E-03	0.108E-05	0.000E+00	0.000E+00	0.000E+00
470.481	86.0	0.525E-03	0.122E-02	0.123E-03	0.655E-06	0.000E+00	0.000E+00	0.000E+00
472.437	87.0	0.522E-03	0.973E-03	0.860E-04	0.372E-06	0.000E+00	0.000E+00	0.000E+00
474.394	88.0	0.507E-03	0.772E-03	0.599E-04	0.141E-06	0.000E+00	0.000E+00	0.000E+00
476.350	89.0	0.482E-03	0.607E-03	0.415E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
478.307	90.0	0.449E-03	0.473E-03	0.287E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
