E_lab	E*/MeV	172Pt	173Pt	174Pt	175Pt	176Pt	177Pt	178Pt
441.133	71.0	0.199E-01	0.105E+00	0.211E+00	0.372E+01	0.172E+01	0.338E-01	0.334E-04
443.090	72.0	0.232E-01	0.889E-01	0.282E+00	0.369E+01	0.133E+01	0.234E-01	0.201E-04
445.046	73.0	0.262E-01	0.742E-01	0.368E+00	0.361E+01	0.106E+01	0.162E-01	0.120E-04
447.003	74.0	0.287E-01	0.611E-01	0.465E+00	0.346E+01	0.751E+00	0.111E-01	0.705E-05
448.959	75.0	0.305E-01	0.497E-01	0.572E+00	0.327E+01	0.520E+00	0.755E-02	0.408E-05
450.916	76.0	0.316E-01	0.399E-01	0.686E+00	0.304E+01	0.352E+00	0.511E-02	0.226E-05
452.872	77.0	0.319E-01	0.319E-01	0.801E+00	0.279E+01	0.236E+00	0.345E-02	0.120E-05
454.829	78.0	0.314E-01	0.257E-01	0.913E+00	0.252E+01	0.159E+00	0.231E-02	0.545E-06
456.785	79.0	0.303E-01	0.211E-01	0.102E+01	0.225E+01	0.108E+00	0.154E-02	0.117E-06
458.742	80.0	0.286E-01	0.182E-01	0.111E+01	0.198E+01	0.745E-01	0.102E-02	0.000E+00
