E_lab	E*/MeV	172Pt	173Pt	174Pt	175Pt	176Pt	177Pt	178Pt
351.133	25.0	0.000E+00	0.000E+00	0.000E+00	0.386E-08	0.663E-08	0.911E-09	0.277E-06
353.090	26.0	0.000E+00	0.000E+00	0.000E+00	0.199E-07	0.169E-07	0.124E-07	0.909E-06
355.046	27.0	0.000E+00	0.000E+00	0.000E+00	0.657E-05	0.161E-04	0.109E-05	0.228E-03
357.003	28.0	0.000E+00	0.000E+00	0.000E+00	0.488E-04	0.106E-03	0.129E-04	0.130E-02
358.959	29.0	0.000E+00	0.000E+00	0.213E-08	0.244E-03	0.379E-03	0.119E-03	0.496E-02
360.916	30.0	0.000E+00	0.000E+00	0.852E-07	0.111E-02	0.113E-02	0.936E-03	0.176E-01
362.872	31.0	0.000E+00	0.000E+00	0.159E-05	0.478E-02	0.318E-02	0.643E-02	0.600E-01
364.829	32.0	0.000E+00	0.000E+00	0.194E-04	0.193E-01	0.849E-02	0.383E-01	0.195E+00
366.785	33.0	0.000E+00	0.000E+00	0.170E-03	0.699E-01	0.210E-01	0.188E+00	0.580E+00
368.742	34.0	0.000E+00	0.000E+00	0.103E-02	0.207E+00	0.453E-01	0.685E+00	0.142E+01
370.698	35.0	0.000E+00	0.000E+00	0.402E-02	0.453E+00	0.802E-01	0.171E+01	0.263E+01
372.655	36.0	0.000E+00	0.000E+00	0.110E-01	0.748E+00	0.115E+00	0.305E+01	0.370E+01
374.611	37.0	0.000E+00	0.000E+00	0.235E-01	0.101E+01	0.136E+00	0.441E+01	0.427E+01
376.568	38.0	0.000E+00	0.000E+00	0.433E-01	0.118E+01	0.138E+00	0.564E+01	0.435E+01
378.524	39.0	0.000E+00	0.000E+00	0.724E-01	0.127E+01	0.128E+00	0.672E+01	0.406E+01
380.481	40.0	0.000E+00	0.000E+00	0.112E+00	0.129E+01	0.120E+00	0.762E+01	0.360E+01
382.437	41.0	0.000E+00	0.000E+00	0.163E+00	0.125E+01	0.135E+00	0.836E+01	0.307E+01
384.394	42.0	0.000E+00	0.187E-05	0.225E+00	0.117E+01	0.193E+00	0.892E+01	0.254E+01
386.350	43.0	0.000E+00	0.972E-05	0.295E+00	0.106E+01	0.317E+00	0.930E+01	0.206E+01
388.307	44.0	0.000E+00	0.375E-04	0.371E+00	0.931E+00	0.530E+00	0.950E+01	0.163E+01
390.263	45.0	0.000E+00	0.118E-03	0.448E+00	0.795E+00	0.851E+00	0.951E+01	0.127E+01
392.220	46.0	0.000E+00	0.322E-03	0.522E+00	0.660E+00	0.129E+01	0.934E+01	0.972E+00
394.177	47.0	0.000E+00	0.782E-03	0.588E+00	0.535E+00	0.190E+01	0.901E+01	0.731E+00
396.133	48.0	0.000E+00	0.174E-02	0.641E+00	0.423E+00	0.256E+01	0.853E+01	0.541E+00
398.090	49.0	0.000E+00	0.355E-02	0.677E+00	0.327E+00	0.329E+01	0.792E+01	0.395E+00
400.046	50.0	0.000E+00	0.671E-02	0.695E+00	0.249E+00	0.405E+01	0.722E+01	0.284E+00
402.003	51.0	0.000E+00	0.118E-01	0.694E+00	0.190E+00	0.481E+01	0.647E+01	0.201E+00
403.959	52.0	0.000E+00	0.193E-01	0.674E+00	0.150E+00	0.552E+01	0.568E+01	0.141E+00
405.916	53.0	0.000E+00	0.297E-01	0.638E+00	0.132E+00	0.615E+01	0.491E+01	0.977E-01
407.872	54.0	0.000E+00	0.430E-01	0.588E+00	0.141E+00	0.667E+01	0.417E+01	0.669E-01
409.829	55.0	0.152E-05	0.593E-01	0.530E+00	0.185E+00	0.705E+01	0.348E+01	0.454E-01
411.785	56.0	0.495E-05	0.781E-01	0.466E+00	0.271E+00	0.728E+01	0.285E+01	0.305E-01
413.742	57.0	0.142E-04	0.986E-01	0.401E+00	0.406E+00	0.736E+01	0.231E+01	0.203E-01
415.698	58.0	0.368E-04	0.120E+00	0.338E+00	0.595E+00	0.728E+01	0.184E+01	0.134E-01
417.655	59.0	0.874E-04	0.140E+00	0.280E+00	0.836E+00	0.706E+01	0.144E+01	0.880E-02
419.611	60.0	0.192E-03	0.159E+00	0.227E+00	0.113E+01	0.671E+01	0.112E+01	0.573E-02
421.568	61.0	0.391E-03	0.175E+00	0.181E+00	0.146E+01	0.627E+01	0.853E+00	0.371E-02
423.524	62.0	0.744E-03	0.186E+00	0.143E+00	0.182E+01	0.575E+01	0.645E+00	0.238E-02
425.481	63.0	0.132E-02	0.192E+00	0.112E+00	0.218E+01	0.518E+01	0.482E+00	0.152E-02
427.437	64.0	0.221E-02	0.193E+00	0.889E-01	0.225E+01	0.534E+01	0.356E+00	0.964E-03
429.394	65.0	0.349E-02	0.190E+00	0.739E-01	0.259E+01	0.474E+01	0.261E+00	0.607E-03
431.350	66.0	0.522E-02	0.181E+00	0.677E-01	0.290E+01	0.414E+01	0.189E+00	0.381E-03
433.307	67.0	0.743E-02	0.169E+00	0.712E-01	0.318E+01	0.357E+01	0.136E+00	0.237E-03
435.263	68.0	0.101E-01	0.155E+00	0.860E-01	0.341E+01	0.303E+01	0.971E-01	0.147E-03
437.220	69.0	0.132E-01	0.138E+00	0.113E+00	0.358E+01	0.254E+01	0.688E-01	0.902E-04
