E_lab	E*/MeV	173Au	174Au	175Au	176Au	177Au	178Au	179Au
456.785	79.0	0.183E-04	0.176E-01	0.153E+00	0.321E-01	0.451E-03	0.000E+00	0.000E+00
458.742	80.0	0.375E-04	0.208E-01	0.132E+00	0.234E-01	0.293E-03	0.000E+00	0.000E+00
460.698	81.0	0.709E-04	0.239E-01	0.112E+00	0.170E-01	0.190E-03	0.000E+00	0.000E+00
462.655	82.0	0.125E-03	0.266E-01	0.941E-01	0.123E-01	0.122E-03	0.000E+00	0.000E+00
464.611	83.0	0.209E-03	0.290E-01	0.780E-01	0.878E-02	0.783E-04	0.000E+00	0.000E+00
466.568	84.0	0.332E-03	0.308E-01	0.639E-01	0.626E-02	0.499E-04	0.000E+00	0.000E+00
468.524	85.0	0.503E-03	0.320E-01	0.518E-01	0.445E-02	0.316E-04	0.000E+00	0.000E+00
470.481	86.0	0.733E-03	0.325E-01	0.416E-01	0.314E-02	0.199E-04	0.000E+00	0.000E+00
472.437	87.0	0.103E-02	0.324E-01	0.331E-01	0.221E-02	0.125E-04	0.000E+00	0.000E+00
474.394	88.0	0.140E-02	0.317E-01	0.262E-01	0.154E-02	0.773E-05	0.000E+00	0.000E+00
476.350	89.0	0.184E-02	0.305E-01	0.205E-01	0.108E-02	0.471E-05	0.000E+00	0.000E+00
478.307	90.0	0.235E-02	0.288E-01	0.159E-01	0.747E-03	0.270E-05	0.000E+00	0.000E+00
