E_lab	E*/MeV	193Rn	194Rn	195Rn	196Rn	197Rn	198Rn	199Rn
204.996	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.219E-09	0.957E-12
206.350	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.516E-09	0.124E-11
207.704	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.226E-12	0.120E-08	0.000E+00
209.057	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.246E-10	0.271E-08	0.000E+00
210.411	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.968E-09	0.585E-08	0.000E+00
211.765	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.178E-07	0.117E-07	0.000E+00
213.119	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.177E-06	0.204E-07	0.000E+00
214.472	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.104E-05	0.286E-07	0.000E+00
215.826	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.362E-05	0.323E-07	0.000E+00
217.180	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.780E-05	0.315E-07	0.000E+00
218.534	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.123E-04	0.268E-07	0.000E+00
219.887	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.159E-04	0.182E-07	0.000E+00
221.241	30.0	0.000E+00	0.000E+00	0.000E+00	0.868E-10	0.178E-04	0.290E-08	0.000E+00
222.595	31.0	0.000E+00	0.000E+00	0.000E+00	0.272E-08	0.181E-04	0.000E+00	0.000E+00
223.949	32.0	0.000E+00	0.000E+00	0.000E+00	0.337E-07	0.169E-04	0.000E+00	0.000E+00
225.302	33.0	0.000E+00	0.000E+00	0.000E+00	0.221E-06	0.149E-04	0.000E+00	0.000E+00
226.656	34.0	0.000E+00	0.000E+00	0.000E+00	0.877E-06	0.124E-04	0.000E+00	0.000E+00
228.010	35.0	0.000E+00	0.000E+00	0.000E+00	0.228E-05	0.976E-05	0.000E+00	0.000E+00
