  E*/MeV   186At     187At     188At     189At     190At     191At     192At  
    34.0 0.000E+00 0.000E+00 0.000E+00 0.480E-07 0.161E-04 0.000E+00 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.199E-06 0.132E-04 0.000E+00 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.527E-06 0.934E-05 0.000E+00 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.987E-06 0.608E-05 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.140E-05 0.377E-05 0.000E+00 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.163E-05 0.226E-05 0.000E+00 0.000E+00
    
    
      E*/MeV   185Po     186Po     187Po     188Po     189Po     190Po     191Po  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.437E-04 0.842E-03
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.938E-04 0.571E-03
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.163E-03 0.373E-03
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.234E-03 0.236E-03
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.285E-03 0.145E-03
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.753E-08 0.299E-03 0.869E-04
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.683E-07 0.278E-03 0.510E-04
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.217E-06 0.234E-03 0.292E-04
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.347E-06 0.182E-03 0.163E-04
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.516E-06 0.133E-03 0.881E-05
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.971E-06 0.926E-04 0.465E-05
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.218E-05 0.618E-04 0.240E-05
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.484E-05 0.399E-04 0.120E-05
    33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.966E-05 0.250E-04 0.510E-06
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.169E-04 0.153E-04 0.809E-07
    35.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.257E-04 0.923E-05 0.333E-07
    36.0 0.000E+00 0.000E+00 0.000E+00 0.361E-11 0.343E-04 0.547E-05 0.164E-07
    37.0 0.000E+00 0.000E+00 0.000E+00 0.339E-10 0.408E-04 0.320E-05 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.216E-09 0.436E-04 0.185E-05 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.106E-08 0.428E-04 0.106E-05 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.415E-08 0.390E-04 0.598E-06 0.000E+00
    41.0 0.000E+00 0.000E+00 0.000E+00 0.132E-07 0.334E-04 0.335E-06 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.350E-07 0.271E-04 0.173E-06 0.000E+00
    43.0 0.000E+00 0.000E+00 0.000E+00 0.782E-07 0.212E-04 0.767E-07 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.149E-06 0.160E-04 0.798E-08 0.000E+00
    45.0 0.000E+00 0.000E+00 0.000E+00 0.248E-06 0.117E-04 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.364E-06 0.834E-05 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.114E-11 0.479E-06 0.584E-05 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.925E-11 0.573E-06 0.401E-05 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.423E-10 0.633E-06 0.272E-05 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.125E-09 0.651E-06 0.182E-05 0.000E+00 0.000E+00
    51.0 0.000E+00 0.000E+00 0.271E-09 0.632E-06 0.121E-05 0.000E+00 0.000E+00
    52.0 0.000E+00 0.000E+00 0.492E-09 0.583E-06 0.794E-06 0.000E+00 0.000E+00
    53.0 0.000E+00 0.000E+00 0.846E-09 0.515E-06 0.518E-06 0.000E+00 0.000E+00
    54.0 0.000E+00 0.000E+00 0.150E-08 0.439E-06 0.336E-06 0.000E+00 0.000E+00
    55.0 0.000E+00 0.000E+00 0.280E-08 0.362E-06 0.216E-06 0.000E+00 0.000E+00
    56.0 0.000E+00 0.000E+00 0.526E-08 0.291E-06 0.138E-06 0.000E+00 0.000E+00
    57.0 0.000E+00 0.000E+00 0.947E-08 0.228E-06 0.872E-07 0.000E+00 0.000E+00
    58.0 0.000E+00 0.000E+00 0.159E-07 0.175E-06 0.543E-07 0.000E+00 0.000E+00
    60.0 0.000E+00 0.000E+00 0.349E-07 0.982E-07 0.201E-07 0.000E+00 0.000E+00
    60.0 0.000E+00 0.000E+00 0.349E-07 0.982E-07 0.201E-07 0.000E+00 0.000E+00
    61.0 0.000E+00 0.438E-13 0.461E-07 0.720E-07 0.102E-07 0.000E+00 0.000E+00
    62.0 0.000E+00 0.209E-12 0.569E-07 0.521E-07 0.283E-08 0.000E+00 0.000E+00
    63.0 0.000E+00 0.835E-12 0.661E-07 0.374E-07 0.000E+00 0.000E+00 0.000E+00
    64.0 0.000E+00 0.283E-11 0.727E-07 0.265E-07 0.000E+00 0.000E+00 0.000E+00
    65.0 0.000E+00 0.825E-11 0.762E-07 0.187E-07 0.000E+00 0.000E+00 0.000E+00
    66.0 0.000E+00 0.209E-10 0.766E-07 0.130E-07 0.000E+00 0.000E+00 0.000E+00
    67.0 0.000E+00 0.467E-10 0.742E-07 0.902E-08 0.000E+00 0.000E+00 0.000E+00

    
  E*/MeV   185Po     186Po     187Po     188Po     189Po     190Po     191Po  
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.864E-10 0.242E-11
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.723E-15 0.230E-09 0.363E-11
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.384E-10 0.696E-07 0.357E-08
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.374E-09 0.191E-06 0.792E-08
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.182E-08 0.443E-06 0.135E-07
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.790E-08 0.969E-06 0.222E-07
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.419E-07 0.202E-05 0.350E-07
