  E*/MeV   187At     188At     189At     190At     191At     192At     193At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.770E-03 0.108E-05
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.120E-07 0.544E-03 0.554E-06
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.288E-06 0.363E-03 0.278E-06
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.239E-05 0.233E-03 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.107E-04 0.146E-03 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.307E-04 0.878E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.595E-04 0.525E-04 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.776E-04 0.303E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.788E-04 0.175E-04 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.683E-04 0.955E-05 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.532E-04 0.504E-05 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.384E-04 0.260E-05 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.507E-10 0.262E-04 0.131E-05 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.141E-08 0.171E-04 0.651E-06 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.148E-07 0.109E-04 0.224E-06 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.837E-07 0.670E-05 0.611E-07 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.308E-06 0.404E-05 0.235E-07 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.841E-06 0.240E-05 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.181E-05 0.140E-05 0.000E+00 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.312E-05 0.806E-06 0.000E+00 0.000E+00
