  E*/MeV   196Rn     197Rn     198Rn     199Rn     200Rn     201Rn     202Rn  
    30.0 0.000E+00 0.000E+00 0.253E-04 0.657E-02 0.360E-02 0.111E-03 0.192E-02
    32.0 0.000E+00 0.000E+00 0.400E-03 0.216E-01 0.624E-02 0.993E-03 0.525E-02
    34.0 0.000E+00 0.000E+00 0.354E-02 0.543E-01 0.839E-02 0.509E-02 0.113E-01
    36.0 0.000E+00 0.000E+00 0.200E-01 0.107E+00 0.909E-02 0.173E-01 0.194E-01
    38.0 0.000E+00 0.930E-06 0.756E-01 0.167E+00 0.836E-02 0.434E-01 0.272E-01
    40.0 0.000E+00 0.464E-04 0.204E+00 0.207E+00 0.865E-02 0.866E-01 0.320E-01
    42.0 0.000E+00 0.658E-03 0.421E+00 0.209E+00 0.191E-01 0.143E+00 0.322E-01
    44.0 0.000E+00 0.510E-02 0.709E+00 0.177E+00 0.577E-01 0.200E+00 0.282E-01
    46.0 0.000E+00 0.259E-01 0.101E+01 0.128E+00 0.150E+00 0.238E+00 0.219E-01
    48.0 0.936E-06 0.903E-01 0.123E+01 0.817E-01 0.303E+00 0.243E+00 0.152E-01
    50.0 0.302E-04 0.226E+00 0.131E+01 0.487E-01 0.488E+00 0.216E+00 0.961E-02
    52.0 0.396E-03 0.436E+00 0.121E+01 0.383E-01 0.669E+00 0.170E+00 0.554E-02
    54.0 0.303E-02 0.687E+00 0.979E+00 0.635E-01 0.810E+00 0.121E+00 0.295E-02
    56.0 0.154E-01 0.925E+00 0.709E+00 0.139E+00 0.885E+00 0.791E-01 0.147E-02
    58.0 0.551E-01 0.110E+01 0.467E+00 0.270E+00 0.885E+00 0.479E-01 0.696E-03
    60.0 0.145E+00 0.116E+01 0.285E+00 0.445E+00 0.816E+00 0.272E-01 0.314E-03
    62.0 0.299E+00 0.110E+01 0.169E+00 0.637E+00 0.698E+00 0.147E-01 0.136E-03
    64.0 0.505E+00 0.941E+00 0.111E+00 0.732E+00 0.664E+00 0.755E-02 0.571E-04
    66.0 0.729E+00 0.734E+00 0.114E+00 0.882E+00 0.514E+00 0.374E-02 0.233E-04
    68.0 0.928E+00 0.527E+00 0.181E+00 0.975E+00 0.375E+00 0.179E-02 0.930E-05
    70.0 0.106E+01 0.353E+00 0.314E+00 0.994E+00 0.258E+00 0.832E-03 0.361E-05
