  E*/MeV   196Rn     197Rn     198Rn     199Rn     200Rn     201Rn     202Rn  
    30.0 0.000E+00 0.000E+00 0.106E-05 0.605E-03 0.323E-03 0.100E-04 0.194E-03
    32.0 0.000E+00 0.000E+00 0.223E-04 0.198E-02 0.405E-03 0.920E-04 0.516E-03
    34.0 0.000E+00 0.000E+00 0.232E-03 0.489E-02 0.385E-03 0.467E-03 0.109E-02
    36.0 0.000E+00 0.000E+00 0.139E-02 0.912E-02 0.294E-03 0.155E-02 0.184E-02
    38.0 0.000E+00 0.662E-08 0.526E-02 0.127E-01 0.197E-03 0.379E-02 0.246E-02
    40.0 0.000E+00 0.457E-06 0.137E-01 0.135E-01 0.221E-03 0.737E-02 0.267E-02
    42.0 0.000E+00 0.858E-05 0.268E-01 0.114E-01 0.700E-03 0.119E-01 0.241E-02
    44.0 0.000E+00 0.798E-04 0.404E-01 0.790E-02 0.254E-02 0.162E-01 0.184E-02
    46.0 0.000E+00 0.438E-03 0.478E-01 0.466E-02 0.673E-02 0.186E-01 0.121E-02
    48.0 0.498E-08 0.155E-02 0.452E-01 0.242E-02 0.137E-01 0.181E-01 0.705E-03
    50.0 0.192E-06 0.383E-02 0.353E-01 0.118E-02 0.220E-01 0.151E-01 0.369E-03
    52.0 0.285E-05 0.730E-02 0.236E-01 0.762E-03 0.299E-01 0.110E-01 0.177E-03
    54.0 0.236E-04 0.113E-01 0.139E-01 0.119E-02 0.354E-01 0.721E-02 0.796E-04
    56.0 0.124E-03 0.146E-01 0.751E-02 0.266E-02 0.370E-01 0.430E-02 0.339E-04
    58.0 0.448E-03 0.158E-01 0.377E-02 0.525E-02 0.345E-01 0.238E-02 0.138E-04
    60.0 0.118E-02 0.148E-01 0.181E-02 0.875E-02 0.290E-01 0.124E-02 0.544E-05
    62.0 0.240E-02 0.121E-01 0.906E-03 0.126E-01 0.222E-01 0.617E-03 0.208E-05
    64.0 0.390E-02 0.885E-02 0.573E-03 0.148E-01 0.207E-01 0.295E-03 0.774E-06
    66.0 0.517E-02 0.592E-02 0.821E-03 0.181E-01 0.141E-01 0.136E-03 0.277E-06
    68.0 0.578E-02 0.368E-02 0.172E-02 0.199E-01 0.906E-02 0.611E-04 0.927E-07
    70.0 0.557E-02 0.215E-02 0.340E-02 0.199E-01 0.548E-02 0.267E-04 0.223E-07
