E_lab E*/MeV 251Lr 252Lr 253Lr 254Lr 255Lr 256Lr 257Lr
269.100 65.0 0.544E-08 0.338E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
270.329 66.0 0.460E-08 0.234E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
271.559 67.0 0.380E-08 0.160E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
272.789 68.0 0.307E-08 0.109E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
274.018 69.0 0.245E-08 0.738E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
275.248 70.0 0.191E-08 0.495E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
276.478 71.0 0.148E-08 0.330E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
277.707 72.0 0.113E-08 0.215E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
278.937 73.0 0.848E-09 0.137E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
280.167 74.0 0.632E-09 0.702E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
281.396 75.0 0.467E-09 0.313E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
282.626 76.0 0.342E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
283.856 77.0 0.249E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
285.085 78.0 0.179E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
286.315 79.0 0.128E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
287.545 80.0 0.909E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


E_lab E*/MeV 250No 251No 252No 253No 254No 255No 256No
201.468 10.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.373E-12
202.698 11.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.736E-11
203.927 12.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.121E-09
205.157 13.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.115E-08
206.387 14.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.713E-08
207.616 15.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.261E-07
