E_lab E*/MeV 250No 251No 252No 253No 254No 255No 256No
242.188 45.0 0.000E+00 0.000E+00 0.534E-09 0.151E-06 0.552E-07 0.779E-09 0.000E+00
243.419 46.0 0.000E+00 0.000E+00 0.136E-08 0.166E-06 0.341E-07 0.388E-09 0.000E+00
244.650 47.0 0.000E+00 0.000E+00 0.303E-08 0.170E-06 0.207E-07 0.146E-09 0.000E+00
245.881 48.0 0.000E+00 0.000E+00 0.595E-08 0.162E-06 0.125E-07 0.275E-10 0.000E+00
247.112 49.0 0.000E+00 0.201E-13 0.104E-07 0.146E-06 0.744E-08 0.000E+00 0.000E+00
248.342 50.0 0.000E+00 0.141E-12 0.164E-07 0.124E-06 0.440E-08 0.000E+00 0.000E+00
249.573 51.0 0.000E+00 0.743E-12 0.235E-07 0.102E-06 0.258E-08 0.000E+00 0.000E+00
250.804 52.0 0.000E+00 0.315E-11 0.307E-07 0.804E-07 0.151E-08 0.000E+00 0.000E+00
252.035 53.0 0.000E+00 0.111E-10 0.370E-07 0.614E-07 0.872E-09 0.000E+00 0.000E+00
253.265 54.0 0.000E+00 0.336E-10 0.416E-07 0.456E-07 0.498E-09 0.000E+00 0.000E+00
254.496 55.0 0.000E+00 0.886E-10 0.438E-07 0.331E-07 0.271E-09 0.000E+00 0.000E+00
255.727 56.0 0.000E+00 0.207E-09 0.436E-07 0.236E-07 0.132E-09 0.000E+00 0.000E+00
256.958 57.0 0.580E-14 0.433E-09 0.413E-07 0.165E-07 0.286E-10 0.000E+00 0.000E+00
258.188 58.0 0.328E-13 0.822E-09 0.375E-07 0.113E-07 0.000E+00 0.000E+00 0.000E+00
259.419 59.0 0.153E-12 0.142E-08 0.327E-07 0.771E-08 0.000E+00 0.000E+00 0.000E+00
260.650 60.0 0.602E-12 0.226E-08 0.276E-07 0.518E-08 0.000E+00 0.000E+00 0.000E+00
261.881 61.0 0.203E-11 0.333E-08 0.227E-07 0.345E-08 0.000E+00 0.000E+00 0.000E+00
263.112 62.0 0.599E-11 0.455E-08 0.181E-07 0.228E-08 0.000E+00 0.000E+00 0.000E+00
264.342 63.0 0.156E-10 0.582E-08 0.142E-07 0.149E-08 0.000E+00 0.000E+00 0.000E+00
265.573 64.0 0.365E-10 0.701E-08 0.108E-07 0.969E-09 0.000E+00 0.000E+00 0.000E+00
266.804 65.0 0.767E-10 0.799E-08 0.816E-08 0.625E-09 0.000E+00 0.000E+00 0.000E+00
268.035 66.0 0.147E-09 0.866E-08 0.605E-08 0.400E-09 0.000E+00 0.000E+00 0.000E+00
269.265 67.0 0.257E-09 0.899E-08 0.442E-08 0.253E-09 0.000E+00 0.000E+00 0.000E+00
270.496 68.0 0.415E-09 0.897E-08 0.319E-08 0.153E-09 0.000E+00 0.000E+00 0.000E+00
271.727 69.0 0.623E-09 0.863E-08 0.228E-08 0.904E-10 0.000E+00 0.000E+00 0.000E+00
272.958 70.0 0.873E-09 0.805E-08 0.161E-08 0.438E-10 0.000E+00 0.000E+00 0.000E+00
274.188 71.0 0.115E-08 0.729E-08 0.113E-08 0.112E-10 0.000E+00 0.000E+00 0.000E+00
275.419 72.0 0.144E-08 0.644E-08 0.787E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
276.650 73.0 0.170E-08 0.556E-08 0.543E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
277.881 74.0 0.193E-08 0.470E-08 0.372E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
279.112 75.0 0.210E-08 0.390E-08 0.253E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
280.342 76.0 0.220E-08 0.318E-08 0.171E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
281.573 77.0 0.223E-08 0.255E-08 0.113E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
282.804 78.0 0.219E-08 0.202E-08 0.721E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
284.035 79.0 0.210E-08 0.158E-08 0.424E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
285.265 80.0 0.196E-08 0.123E-08 0.224E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
286.496 81.0 0.178E-08 0.938E-09 0.101E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
287.727 82.0 0.159E-08 0.712E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
288.958 83.0 0.140E-08 0.535E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
290.188 84.0 0.121E-08 0.399E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
291.419 85.0 0.102E-08 0.296E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
292.650 86.0 0.856E-09 0.217E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
293.881 87.0 0.708E-09 0.158E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
295.112 88.0 0.578E-09 0.115E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
296.342 89.0 0.466E-09 0.828E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
297.573 90.0 0.373E-09 0.584E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


E_lab E*/MeV 248Fm 249Fm 250Fm 251Fm 252Fm 253Fm 254Fm
213.881 22.0 0.000E+00 0.000E+00 0.000E+00 0.205E-13 0.168E-13 0.000E+00 0.772E-20
215.112 23.0 0.000E+00 0.000E+00 0.000E+00 0.125E-12 0.263E-13 0.000E+00 0.116E-18
216.342 24.0 0.000E+00 0.000E+00 0.157E-14 0.752E-10 0.265E-10 0.000E+00 0.961E-16
217.573 25.0 0.000E+00 0.000E+00 0.717E-13 0.411E-09 0.467E-10 0.000E+00 0.105E-14
218.804 26.0 0.000E+00 0.000E+00 0.148E-11 0.194E-08 0.743E-10 0.000E+00 0.949E-14
220.035 27.0 0.000E+00 0.000E+00 0.198E-10 0.820E-08 0.115E-09 0.113E-18 0.722E-13
221.265 28.0 0.000E+00 0.000E+00 0.199E-09 0.305E-07 0.174E-09 0.783E-17 0.466E-12
222.496 29.0 0.000E+00 0.000E+00 0.154E-08 0.966E-07 0.252E-09 0.577E-15 0.251E-11
223.727 30.0 0.000E+00 0.000E+00 0.888E-08 0.240E-06 0.321E-09 0.916E-14 0.104E-10
224.958 31.0 0.000E+00 0.000E+00 0.346E-07 0.418E-06 0.321E-09 0.853E-13 0.302E-10
226.188 32.0 0.000E+00 0.562E-13 0.877E-07 0.488E-06 0.227E-09 0.475E-12 0.575E-10
227.419 33.0 0.000E+00 0.135E-11 0.158E-06 0.418E-06 0.540E-10 0.181E-11 0.783E-10
228.650 34.0 0.000E+00 0.117E-10 0.227E-06 0.297E-06 0.000E+00 0.538E-11 0.854E-10
229.881 35.0 0.000E+00 0.611E-10 0.277E-06 0.189E-06 0.000E+00 0.136E-10 0.809E-10
231.112 36.0 0.000E+00 0.231E-09 0.296E-06 0.113E-06 0.000E+00 0.298E-10 0.693E-10
232.342 37.0 0.000E+00 0.706E-09 0.283E-06 0.656E-07 0.000E+00 0.584E-10 0.550E-10
233.573 38.0 0.000E+00 0.183E-08 0.247E-06 0.370E-07 0.000E+00 0.102E-09 0.411E-10
234.804 39.0 0.000E+00 0.414E-08 0.199E-06 0.205E-07 0.000E+00 0.162E-09 0.292E-10
236.035 40.0 0.109E-12 0.834E-08 0.150E-06 0.113E-07 0.000E+00 0.232E-09 0.199E-10
237.265 41.0 0.772E-12 0.151E-07 0.108E-06 0.612E-08 0.000E+00 0.302E-09 0.131E-10
238.496 42.0 0.400E-11 0.248E-07 0.740E-07 0.330E-08 0.000E+00 0.361E-09 0.834E-11
239.727 43.0 0.160E-10 0.369E-07 0.491E-07 0.177E-08 0.000E+00 0.398E-09 0.521E-11
240.958 44.0 0.527E-10 0.500E-07 0.317E-07 0.934E-09 0.000E+00 0.407E-09 0.319E-11
242.188 45.0 0.148E-09 0.616E-07 0.201E-07 0.484E-09 0.000E+00 0.389E-09 0.192E-11
243.419 46.0 0.364E-09 0.696E-07 0.124E-07 0.240E-09 0.000E+00 0.350E-09 0.113E-11
244.650 47.0 0.799E-09 0.727E-07 0.760E-08 0.837E-10 0.000E+00 0.298E-09 0.658E-12
245.881 48.0 0.158E-08 0.707E-07 0.459E-08 0.000E+00 0.000E+00 0.243E-09 0.365E-12
247.112 49.0 0.283E-08 0.647E-07 0.274E-08 0.000E+00 0.000E+00 0.190E-09 0.176E-12
248.342 50.0 0.460E-08 0.561E-07 0.163E-08 0.000E+00 0.000E+00 0.143E-09 0.679E-13
249.573 51.0 0.682E-08 0.465E-07 0.955E-09 0.000E+00 0.000E+00 0.105E-09 0.000E+00
250.804 52.0 0.927E-08 0.371E-07 0.557E-09 0.000E+00 0.000E+00 0.749E-10 0.000E+00
252.035 53.0 0.116E-07 0.286E-07 0.321E-09 0.000E+00 0.000E+00 0.523E-10 0.000E+00
253.265 54.0 0.134E-07 0.214E-07 0.177E-09 0.000E+00 0.000E+00 0.358E-10 0.000E+00
254.496 55.0 0.145E-07 0.156E-07 0.947E-10 0.000E+00 0.000E+00 0.241E-10 0.000E+00
255.727 56.0 0.147E-07 0.112E-07 0.210E-10 0.000E+00 0.000E+00 0.160E-10 0.000E+00
256.958 57.0 0.142E-07 0.787E-08 0.000E+00 0.000E+00 0.000E+00 0.105E-10 0.000E+00
258.188 58.0 0.131E-07 0.545E-08 0.000E+00 0.000E+00 0.000E+00 0.681E-11 0.000E+00
259.419 59.0 0.116E-07 0.372E-08 0.000E+00 0.000E+00 0.000E+00 0.437E-11 0.000E+00
260.650 60.0 0.987E-08 0.251E-08 0.000E+00 0.000E+00 0.000E+00 0.275E-11 0.000E+00
261.881 61.0 0.816E-08 0.168E-08 0.000E+00 0.000E+00 0.000E+00 0.173E-11 0.000E+00
263.112 62.0 0.657E-08 0.111E-08 0.000E+00 0.000E+00 0.000E+00 0.101E-11 0.000E+00
264.342 63.0 0.516E-08 0.729E-09 0.000E+00 0.000E+00 0.000E+00 0.576E-12 0.000E+00
265.573 64.0 0.397E-08 0.475E-09 0.000E+00 0.000E+00 0.000E+00 0.123E-12 0.000E+00
266.804 65.0 0.300E-08 0.306E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
268.035 66.0 0.223E-08 0.195E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
269.265 67.0 0.163E-08 0.123E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
270.496 68.0 0.118E-08 0.729E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
271.727 69.0 0.846E-09 0.400E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
272.958 70.0 0.599E-09 0.115E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
274.188 71.0 0.420E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
275.419 72.0 0.293E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
276.650 73.0 0.202E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
277.881 74.0 0.138E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
279.112 75.0 0.930E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
280.342 76.0 0.619E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
281.573 77.0 0.393E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
282.804 78.0 0.218E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
284.035 79.0 0.117E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
285.265 80.0 0.284E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
286.496 81.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
287.727 82.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
288.958 83.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
290.188 84.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
291.419 85.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
292.650 86.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
293.881 87.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
295.112 88.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
296.342 89.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
297.573 90.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


