E_lab E*/MeV 190Rn 191Rn 192Rn 193Rn 194Rn 195Rn 196Rn
226.099 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.196E-08 0.322E-10 0.000E+00
227.460 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.622E-08 0.471E-10 0.000E+00
228.821 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.262E-05 0.211E-06 0.000E+00
230.182 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.798E-05 0.433E-06 0.000E+00
231.543 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.207E-04 0.764E-06 0.000E+00
232.904 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.494E-04 0.131E-05 0.000E+00
234.266 32.0 0.000E+00 0.000E+00 0.000E+00 0.141E-08 0.111E-03 0.220E-05 0.000E+00
235.627 33.0 0.000E+00 0.000E+00 0.000E+00 0.857E-07 0.231E-03 0.358E-05 0.000E+00
236.988 34.0 0.000E+00 0.000E+00 0.000E+00 0.183E-05 0.423E-03 0.533E-05 0.000E+00
238.349 35.0 0.000E+00 0.000E+00 0.000E+00 0.169E-04 0.612E-03 0.661E-05 0.000E+00
239.710 36.0 0.000E+00 0.000E+00 0.000E+00 0.784E-04 0.647E-03 0.615E-05 0.000E+00
241.071 37.0 0.000E+00 0.000E+00 0.000E+00 0.229E-03 0.523E-03 0.428E-05 0.000E+00
242.432 38.0 0.000E+00 0.000E+00 0.000E+00 0.494E-03 0.358E-03 0.224E-05 0.000E+00
243.793 39.0 0.000E+00 0.000E+00 0.000E+00 0.841E-03 0.224E-03 0.664E-06 0.000E+00
245.154 40.0 0.000E+00 0.000E+00 0.000E+00 0.117E-02 0.135E-03 0.000E+00 0.000E+00
246.516 41.0 0.000E+00 0.000E+00 0.000E+00 0.138E-02 0.790E-04 0.000E+00 0.000E+00
247.877 42.0 0.000E+00 0.000E+00 0.123E-08 0.143E-02 0.458E-04 0.000E+00 0.000E+00
249.238 43.0 0.000E+00 0.000E+00 0.169E-07 0.136E-02 0.264E-04 0.000E+00 0.000E+00
250.599 44.0 0.000E+00 0.000E+00 0.135E-06 0.120E-02 0.150E-04 0.000E+00 0.000E+00
251.960 45.0 0.000E+00 0.000E+00 0.714E-06 0.101E-02 0.852E-05 0.000E+00 0.000E+00
253.321 46.0 0.000E+00 0.000E+00 0.274E-05 0.805E-03 0.482E-05 0.000E+00 0.000E+00
254.682 47.0 0.000E+00 0.000E+00 0.810E-05 0.621E-03 0.266E-05 0.000E+00 0.000E+00
256.043 48.0 0.000E+00 0.000E+00 0.191E-04 0.465E-03 0.147E-05 0.000E+00 0.000E+00
257.404 49.0 0.000E+00 0.000E+00 0.363E-04 0.339E-03 0.757E-06 0.000E+00 0.000E+00
258.766 50.0 0.000E+00 0.000E+00 0.571E-04 0.242E-03 0.279E-06 0.000E+00 0.000E+00
260.127 51.0 0.000E+00 0.000E+00 0.768E-04 0.170E-03 0.000E+00 0.000E+00 0.000E+00
