E_lab E*/MeV 193Rn 194Rn 195Rn 196Rn 197Rn 198Rn 199Rn
207.704 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.230E-07 0.665E-03 0.949E-05
209.057 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.116E-05 0.142E-02 0.150E-04
210.411 22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.187E-04 0.229E-02 0.184E-04
211.765 23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.139E-03 0.304E-02 0.183E-04
213.119 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.596E-03 0.349E-02 0.159E-04
214.472 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.194E-02 0.358E-02 0.124E-04
215.826 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.527E-02 0.337E-02 0.878E-05
217.180 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.124E-01 0.294E-02 0.572E-05
218.534 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.247E-01 0.242E-02 0.332E-05
219.887 29.0 0.000E+00 0.000E+00 0.000E+00 0.523E-08 0.406E-01 0.189E-02 0.147E-05
221.241 30.0 0.000E+00 0.000E+00 0.000E+00 0.640E-06 0.561E-01 0.140E-02 0.000E+00
222.595 31.0 0.000E+00 0.000E+00 0.000E+00 0.138E-04 0.676E-01 0.987E-03 0.000E+00
223.949 32.0 0.000E+00 0.000E+00 0.000E+00 0.124E-03 0.728E-01 0.670E-03 0.000E+00
225.302 33.0 0.000E+00 0.000E+00 0.000E+00 0.623E-03 0.716E-01 0.439E-03 0.000E+00
226.656 34.0 0.000E+00 0.000E+00 0.000E+00 0.214E-02 0.654E-01 0.278E-03 0.000E+00
228.010 35.0 0.000E+00 0.000E+00 0.000E+00 0.574E-02 0.560E-01 0.171E-03 0.000E+00
229.364 36.0 0.000E+00 0.000E+00 0.000E+00 0.125E-01 0.454E-01 0.102E-03 0.000E+00
230.717 37.0 0.000E+00 0.000E+00 0.000E+00 0.223E-01 0.351E-01 0.589E-04 0.000E+00
232.071 38.0 0.000E+00 0.000E+00 0.000E+00 0.326E-01 0.260E-01 0.330E-04 0.000E+00
233.425 39.0 0.000E+00 0.000E+00 0.000E+00 0.402E-01 0.185E-01 0.179E-04 0.000E+00
234.779 40.0 0.000E+00 0.000E+00 0.882E-08 0.436E-01 0.127E-01 0.848E-05 0.000E+00
236.132 41.0 0.000E+00 0.000E+00 0.231E-06 0.426E-01 0.851E-02 0.307E-05 0.000E+00
237.486 42.0 0.000E+00 0.000E+00 0.248E-05 0.384E-01 0.554E-02 0.000E+00 0.000E+00
238.840 43.0 0.000E+00 0.000E+00 0.151E-04 0.324E-01 0.353E-02 0.000E+00 0.000E+00
240.194 44.0 0.000E+00 0.000E+00 0.616E-04 0.260E-01 0.220E-02 0.000E+00 0.000E+00
241.547 45.0 0.000E+00 0.000E+00 0.187E-03 0.200E-01 0.135E-02 0.000E+00 0.000E+00
242.901 46.0 0.000E+00 0.000E+00 0.463E-03 0.148E-01 0.819E-03 0.000E+00 0.000E+00
244.255 47.0 0.000E+00 0.000E+00 0.981E-03 0.106E-01 0.490E-03 0.000E+00 0.000E+00
245.608 48.0 0.000E+00 0.000E+00 0.182E-02 0.746E-02 0.291E-03 0.000E+00 0.000E+00
246.962 49.0 0.000E+00 0.000E+00 0.298E-02 0.513E-02 0.171E-03 0.000E+00 0.000E+00
248.316 50.0 0.000E+00 0.529E-09 0.430E-02 0.346E-02 0.100E-03 0.000E+00 0.000E+00
