E_lab E*/MeV 180Pb 181Pb 182Pb 183Pb 184Pb 185Pb 186Pb
467.767 75.0 0.567E-08 0.616E-06 0.844E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
469.767 76.0 0.905E-08 0.538E-06 0.578E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
471.767 77.0 0.133E-07 0.461E-06 0.394E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
473.767 78.0 0.181E-07 0.387E-06 0.267E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
475.767 79.0 0.231E-07 0.319E-06 0.180E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
477.767 80.0 0.278E-07 0.260E-06 0.121E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00


E_lab E*/MeV 179Tl 180Tl 181Tl 182Tl 183Tl 184Tl 185Tl
357.767 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.322E-06 0.202E-03
359.767 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.285E-05 0.449E-03
361.767 22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.165E-04 0.773E-03
363.767 23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.665E-04 0.108E-02
365.767 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.208E-03 0.127E-02
367.767 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.549E-03 0.132E-02
369.767 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.125E-02 0.124E-02
371.767 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.249E-02 0.108E-02
373.767 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.172E-08 0.436E-02 0.873E-03
375.767 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.517E-07 0.672E-02 0.667E-03
377.767 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.574E-06 0.916E-02 0.483E-03
379.767 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.355E-05 0.111E-01 0.334E-03
381.767 32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.150E-04 0.120E-01 0.221E-03
383.767 33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.482E-04 0.118E-01 0.142E-03
385.767 34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.126E-03 0.107E-01 0.875E-04
387.767 35.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.283E-03 0.896E-02 0.525E-04
389.767 36.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.555E-03 0.709E-02 0.307E-04
391.767 37.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.974E-03 0.533E-02 0.175E-04
393.767 38.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.154E-02 0.383E-02 0.981E-05
395.767 39.0 0.000E+00 0.000E+00 0.000E+00 0.427E-09 0.222E-02 0.266E-02 0.538E-05
397.767 40.0 0.000E+00 0.000E+00 0.000E+00 0.690E-08 0.290E-02 0.179E-02 0.285E-05
399.767 41.0 0.000E+00 0.000E+00 0.000E+00 0.502E-07 0.348E-02 0.117E-02 0.143E-05
401.767 42.0 0.000E+00 0.000E+00 0.000E+00 0.230E-06 0.384E-02 0.748E-03 0.657E-06
403.767 43.0 0.000E+00 0.000E+00 0.000E+00 0.789E-06 0.393E-02 0.470E-03 0.255E-06
405.767 44.0 0.000E+00 0.000E+00 0.000E+00 0.225E-05 0.377E-02 0.291E-03 0.000E+00
407.767 45.0 0.000E+00 0.000E+00 0.000E+00 0.554E-05 0.341E-02 0.178E-03 0.000E+00
409.767 46.0 0.000E+00 0.000E+00 0.000E+00 0.122E-04 0.294E-02 0.107E-03 0.000E+00
411.767 47.0 0.000E+00 0.000E+00 0.000E+00 0.243E-04 0.243E-02 0.642E-04 0.000E+00
413.767 48.0 0.000E+00 0.000E+00 0.000E+00 0.443E-04 0.193E-02 0.382E-04 0.000E+00
415.767 49.0 0.000E+00 0.000E+00 0.000E+00 0.746E-04 0.149E-02 0.226E-04 0.000E+00
417.767 50.0 0.000E+00 0.000E+00 0.000E+00 0.116E-03 0.112E-02 0.133E-04 0.000E+00
419.767 51.0 0.000E+00 0.000E+00 0.418E-09 0.166E-03 0.824E-03 0.775E-05 0.000E+00
421.767 52.0 0.000E+00 0.000E+00 0.250E-08 0.222E-03 0.594E-03 0.450E-05 0.000E+00
423.767 53.0 0.000E+00 0.000E+00 0.113E-07 0.275E-03 0.421E-03 0.259E-05 0.000E+00
425.767 54.0 0.000E+00 0.000E+00 0.408E-07 0.318E-03 0.294E-03 0.144E-05 0.000E+00
427.767 55.0 0.000E+00 0.000E+00 0.124E-06 0.345E-03 0.203E-03 0.790E-06 0.000E+00
429.767 56.0 0.000E+00 0.000E+00 0.325E-06 0.354E-03 0.139E-03 0.413E-06 0.000E+00
431.767 57.0 0.000E+00 0.000E+00 0.755E-06 0.346E-03 0.936E-04 0.185E-06 0.000E+00
433.767 58.0 0.000E+00 0.000E+00 0.158E-05 0.323E-03 0.627E-04 0.192E-07 0.000E+00
437.767 60.0 0.000E+00 0.000E+00 0.530E-05 0.252E-03 0.275E-04 0.000E+00 0.000E+00
437.767 60.0 0.000E+00 0.000E+00 0.530E-05 0.252E-03 0.275E-04 0.000E+00 0.000E+00
439.767 61.0 0.000E+00 0.000E+00 0.862E-05 0.212E-03 0.181E-04 0.000E+00 0.000E+00
441.767 62.0 0.000E+00 0.000E+00 0.130E-04 0.174E-03 0.118E-04 0.000E+00 0.000E+00
443.767 63.0 0.000E+00 0.180E-10 0.184E-04 0.139E-03 0.764E-05 0.000E+00 0.000E+00
445.767 64.0 0.000E+00 0.956E-10 0.227E-04 0.109E-03 0.492E-05 0.000E+00 0.000E+00
447.767 65.0 0.000E+00 0.389E-09 0.280E-04 0.844E-04 0.316E-05 0.000E+00 0.000E+00
449.767 66.0 0.000E+00 0.132E-08 0.326E-04 0.641E-04 0.201E-05 0.000E+00 0.000E+00
451.767 67.0 0.000E+00 0.386E-08 0.362E-04 0.480E-04 0.128E-05 0.000E+00 0.000E+00
453.767 68.0 0.000E+00 0.101E-07 0.384E-04 0.356E-04 0.803E-06 0.000E+00 0.000E+00
455.767 69.0 0.000E+00 0.240E-07 0.391E-04 0.260E-04 0.502E-06 0.000E+00 0.000E+00
457.767 70.0 0.000E+00 0.521E-07 0.385E-04 0.189E-04 0.309E-06 0.000E+00 0.000E+00
459.767 71.0 0.000E+00 0.104E-06 0.366E-04 0.136E-04 0.187E-06 0.000E+00 0.000E+00
461.767 72.0 0.000E+00 0.194E-06 0.339E-04 0.968E-05 0.107E-06 0.000E+00 0.000E+00
463.767 73.0 0.000E+00 0.337E-06 0.305E-04 0.685E-05 0.582E-07 0.000E+00 0.000E+00
465.767 74.0 0.000E+00 0.545E-06 0.269E-04 0.482E-05 0.251E-07 0.000E+00 0.000E+00
467.767 75.0 0.236E-11 0.827E-06 0.232E-04 0.337E-05 0.000E+00 0.000E+00 0.000E+00
