E_lab E*/MeV 250No 251No 252No 253No 254No 255No 256No
199.112 10.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.935E-07 0.106E-08
200.342 11.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.859E-06 0.128E-08
201.573 12.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.656E-05 0.103E-09
202.804 13.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.318E-04 0.000E+00
204.035 14.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.220E-09 0.592E-04 0.000E+00
205.265 15.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.714E-07 0.741E-04 0.000E+00
206.496 16.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.171E-05 0.679E-04 0.000E+00
207.727 17.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.134E-04 0.503E-04 0.000E+00
208.958 18.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.501E-04 0.326E-04 0.000E+00
210.188 19.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.107E-03 0.195E-04 0.000E+00
211.419 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.139E-03 0.109E-04 0.000E+00
212.650 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.132E-03 0.579E-05 0.000E+00
213.881 22.0 0.000E+00 0.000E+00 0.000E+00 0.140E-08 0.102E-03 0.293E-05 0.000E+00
215.112 23.0 0.000E+00 0.000E+00 0.000E+00 0.311E-07 0.693E-04 0.142E-05 0.000E+00
216.342 24.0 0.000E+00 0.000E+00 0.000E+00 0.282E-06 0.429E-04 0.662E-06 0.000E+00
217.573 25.0 0.000E+00 0.000E+00 0.000E+00 0.144E-05 0.247E-04 0.279E-06 0.000E+00
218.804 26.0 0.000E+00 0.000E+00 0.000E+00 0.489E-05 0.135E-04 0.313E-07 0.000E+00
220.035 27.0 0.000E+00 0.000E+00 0.000E+00 0.123E-04 0.709E-05 0.000E+00 0.000E+00
221.265 28.0 0.000E+00 0.000E+00 0.000E+00 0.241E-04 0.360E-05 0.000E+00 0.000E+00
222.496 29.0 0.000E+00 0.000E+00 0.508E-10 0.360E-04 0.178E-05 0.000E+00 0.000E+00
223.727 30.0 0.000E+00 0.000E+00 0.102E-08 0.413E-04 0.862E-06 0.000E+00 0.000E+00
224.958 31.0 0.000E+00 0.000E+00 0.903E-08 0.388E-04 0.410E-06 0.000E+00 0.000E+00
226.188 32.0 0.000E+00 0.000E+00 0.467E-07 0.317E-04 0.192E-06 0.000E+00 0.000E+00
227.419 33.0 0.000E+00 0.000E+00 0.159E-06 0.234E-04 0.868E-07 0.000E+00 0.000E+00
228.650 34.0 0.000E+00 0.000E+00 0.386E-06 0.160E-04 0.344E-07 0.000E+00 0.000E+00
229.881 35.0 0.000E+00 0.000E+00 0.702E-06 0.104E-04 0.533E-08 0.000E+00 0.000E+00
231.112 36.0 0.000E+00 0.000E+00 0.101E-05 0.644E-05 0.000E+00 0.000E+00 0.000E+00
