E_lab E*/MeV 180Pb 181Pb 182Pb 183Pb 184Pb 185Pb 186Pb
377.767 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.766E-09 0.319E-11 0.000E+00
379.767 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.326E-06 0.640E-08 0.000E+00
381.767 32.0 0.000E+00 0.000E+00 0.000E+00 0.275E-11 0.144E-05 0.332E-07 0.000E+00
383.767 33.0 0.000E+00 0.000E+00 0.000E+00 0.197E-09 0.360E-05 0.659E-07 0.000E+00
385.767 34.0 0.000E+00 0.000E+00 0.000E+00 0.543E-08 0.830E-05 0.115E-06 0.000E+00
387.767 35.0 0.000E+00 0.000E+00 0.000E+00 0.813E-07 0.183E-04 0.198E-06 0.000E+00
389.767 36.0 0.000E+00 0.000E+00 0.000E+00 0.786E-06 0.386E-04 0.333E-06 0.000E+00
391.767 37.0 0.000E+00 0.000E+00 0.000E+00 0.539E-05 0.744E-04 0.528E-06 0.000E+00
393.767 38.0 0.000E+00 0.000E+00 0.000E+00 0.255E-04 0.119E-03 0.719E-06 0.000E+00
395.767 39.0 0.000E+00 0.000E+00 0.000E+00 0.777E-04 0.142E-03 0.728E-06 0.000E+00
397.767 40.0 0.000E+00 0.000E+00 0.000E+00 0.160E-03 0.126E-03 0.499E-06 0.000E+00
399.767 41.0 0.000E+00 0.000E+00 0.000E+00 0.249E-03 0.906E-04 0.000E+00 0.000E+00
401.767 42.0 0.000E+00 0.000E+00 0.347E-10 0.319E-03 0.578E-04 0.000E+00 0.000E+00
403.767 43.0 0.000E+00 0.000E+00 0.817E-09 0.356E-03 0.347E-04 0.000E+00 0.000E+00
405.767 44.0 0.000E+00 0.000E+00 0.833E-08 0.358E-03 0.202E-04 0.000E+00 0.000E+00
407.767 45.0 0.000E+00 0.000E+00 0.492E-07 0.331E-03 0.116E-04 0.000E+00 0.000E+00
409.767 46.0 0.000E+00 0.000E+00 0.195E-06 0.287E-03 0.664E-05 0.000E+00 0.000E+00
411.767 47.0 0.000E+00 0.000E+00 0.579E-06 0.236E-03 0.376E-05 0.000E+00 0.000E+00
413.767 48.0 0.000E+00 0.000E+00 0.140E-05 0.187E-03 0.213E-05 0.000E+00 0.000E+00
415.767 49.0 0.000E+00 0.000E+00 0.290E-05 0.142E-03 0.120E-05 0.000E+00 0.000E+00
