E_lab E*/MeV 251Lr 252Lr 253Lr 254Lr 255Lr 256Lr 257Lr
216.224 22.0 0.000E+00 0.000E+00 0.000E+00 0.344E-14 0.171E-09 0.995E-12 0.000E+00
217.454 23.0 0.000E+00 0.000E+00 0.000E+00 0.169E-12 0.309E-09 0.122E-11 0.000E+00
218.683 24.0 0.000E+00 0.000E+00 0.000E+00 0.105E-09 0.547E-07 0.411E-09 0.000E+00
219.913 25.0 0.000E+00 0.000E+00 0.000E+00 0.168E-08 0.104E-06 0.709E-09 0.000E+00
221.143 26.0 0.000E+00 0.000E+00 0.000E+00 0.166E-07 0.168E-06 0.931E-09 0.000E+00
222.372 27.0 0.000E+00 0.000E+00 0.000E+00 0.116E-06 0.264E-06 0.931E-09 0.000E+00
223.602 28.0 0.000E+00 0.000E+00 0.000E+00 0.653E-06 0.406E-06 0.000E+00 0.000E+00
224.832 29.0 0.000E+00 0.000E+00 0.340E-11 0.292E-05 0.597E-06 0.000E+00 0.000E+00
226.061 30.0 0.000E+00 0.000E+00 0.181E-09 0.971E-05 0.789E-06 0.000E+00 0.000E+00
227.291 31.0 0.000E+00 0.000E+00 0.326E-08 0.217E-04 0.840E-06 0.000E+00 0.000E+00
228.521 32.0 0.000E+00 0.000E+00 0.257E-07 0.312E-04 0.675E-06 0.000E+00 0.000E+00
229.750 33.0 0.000E+00 0.000E+00 0.112E-06 0.316E-04 0.428E-06 0.000E+00 0.000E+00
230.980 34.0 0.000E+00 0.000E+00 0.324E-06 0.256E-04 0.231E-06 0.000E+00 0.000E+00
232.210 35.0 0.000E+00 0.000E+00 0.709E-06 0.182E-04 0.113E-06 0.000E+00 0.000E+00
233.439 36.0 0.000E+00 0.000E+00 0.124E-05 0.120E-04 0.499E-07 0.000E+00 0.000E+00
234.669 37.0 0.000E+00 0.000E+00 0.179E-05 0.754E-05 0.100E-07 0.000E+00 0.000E+00
235.899 38.0 0.000E+00 0.587E-12 0.218E-05 0.460E-05 0.000E+00 0.000E+00 0.000E+00
237.128 39.0 0.000E+00 0.805E-11 0.232E-05 0.274E-05 0.000E+00 0.000E+00 0.000E+00
238.358 40.0 0.000E+00 0.657E-10 0.220E-05 0.160E-05 0.000E+00 0.000E+00 0.000E+00
239.588 41.0 0.000E+00 0.359E-09 0.193E-05 0.925E-06 0.000E+00 0.000E+00 0.000E+00
240.817 42.0 0.000E+00 0.142E-08 0.157E-05 0.529E-06 0.000E+00 0.000E+00 0.000E+00
242.047 43.0 0.000E+00 0.430E-08 0.121E-05 0.300E-06 0.000E+00 0.000E+00 0.000E+00
243.277 44.0 0.000E+00 0.105E-07 0.898E-06 0.169E-06 0.000E+00 0.000E+00 0.000E+00
244.506 45.0 0.000E+00 0.215E-07 0.640E-06 0.948E-07 0.000E+00 0.000E+00 0.000E+00
245.736 46.0 0.474E-13 0.377E-07 0.444E-06 0.529E-07 0.000E+00 0.000E+00 0.000E+00
246.966 47.0 0.462E-12 0.572E-07 0.300E-06 0.294E-07 0.000E+00 0.000E+00 0.000E+00
248.195 48.0 0.310E-11 0.768E-07 0.199E-06 0.161E-07 0.000E+00 0.000E+00 0.000E+00
249.425 49.0 0.153E-10 0.927E-07 0.130E-06 0.875E-08 0.000E+00 0.000E+00 0.000E+00
250.655 50.0 0.585E-10 0.102E-06 0.835E-07 0.436E-08 0.000E+00 0.000E+00 0.000E+00
251.884 51.0 0.179E-09 0.105E-06 0.531E-07 0.165E-08 0.000E+00 0.000E+00 0.000E+00
253.114 52.0 0.453E-09 0.101E-06 0.334E-07 0.391E-09 0.000E+00 0.000E+00 0.000E+00
