    36.0 0.000E+00 0.519E-03 0.287E-01 0.279E-02 0.765E-02 0.152E-01
    38.0 0.000E+00 0.256E-02 0.428E-01 0.177E-02 0.187E-01 0.176E-01
    40.0 0.156E-07 0.849E-02 0.518E-01 0.111E-02 0.355E-01 0.171E-01
    42.0 0.842E-06 0.201E-01 0.507E-01 0.147E-02 0.560E-01 0.142E-01
    44.0 0.140E-04 0.368E-01 0.408E-01 0.446E-02 0.762E-01 0.102E-01
    46.0 0.127E-03 0.552E-01 0.277E-01 0.127E-01 0.911E-01 0.654E-02
    48.0 0.736E-03 0.701E-01 0.164E-01 0.283E-01 0.960E-01 0.376E-02
    50.0 0.282E-02 0.759E-01 0.869E-02 0.508E-01 0.895E-01 0.198E-02

 Z-Verteilung  
 E*/MeV     Hg         Tl         Pb  
   20.0  0.183E-04 0.108E-02 0.129E-01
   22.0  0.112E-03 0.395E-02 0.350E-01
   24.0  0.508E-03 0.108E-01 0.629E-01
   26.0  0.169E-02 0.233E-01 0.952E-01
   28.0  0.438E-02 0.442E-01 0.152E+00
   30.0  0.949E-02 0.791E-01 0.237E+00
   32.0  0.183E-01 0.132E+00 0.289E+00
   34.0  0.328E-01 0.193E+00 0.263E+00
   36.0  0.548E-01 0.242E+00 0.198E+00
   38.0  0.834E-01 0.274E+00 0.144E+00
   40.0  0.114E+00 0.302E+00 0.123E+00
   42.0  0.142E+00 0.336E+00 0.125E+00
   44.0  0.168E+00 0.362E+00 0.123E+00
   46.0  0.193E+00 0.354E+00 0.105E+00
   48.0  0.215E+00 0.311E+00 0.806E-01
   50.0  0.230E+00 0.254E+00 0.607E-01

 Z und A Mittelwerte    
   E*/MeV     MW.Z  St.Abw.Z      MW.A  St.Abw.A
    20.0     81.92      0.28    189.02      0.18
    22.0     81.89      0.32    188.96      0.25
    24.0     81.84      0.38    188.81      0.43
    26.0     81.78      0.45    188.53      0.56
    28.0     81.74      0.49    188.25      0.54
    30.0     81.70      0.52    188.08      0.48
    32.0     81.62      0.57    187.98      0.49
    34.0     81.47      0.62    187.88      0.60
    36.0     81.29      0.65    187.71      0.78
    38.0     81.12      0.66    187.44      0.92
    40.0     81.02      0.66    187.15      0.95
    42.0     80.97      0.66    186.94      0.92
    44.0     80.93      0.66    186.80      0.91
    46.0     80.87      0.66    186.68      0.96
    48.0     80.78      0.66    186.53      1.03
    50.0     80.69      0.66    186.34      1.09

 HIVAP  CASOUT

   90Zr + 100Mo ---> 190Pb    16.2.2021 (A. Sitarcik)                   


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   390.838    4.34    52.0  0.1511E+03  0.4878E+00  0.1506E+03    54.0       99.62
   394.638    4.38    54.0  0.1658E+03  0.4431E+00  0.1653E+03    56.0       99.67
   398.438    4.43    56.0  0.1797E+03  0.4045E+00  0.1792E+03    58.0       99.71
   402.238    4.47    58.0  0.1929E+03  0.3667E+00  0.1924E+03    60.0       99.74
   406.038    4.51    60.0  0.2052E+03  0.3294E+00  0.2047E+03    62.0       99.76
   409.838    4.55    62.0  0.2169E+03  0.2948E+00  0.2164E+03    72.0       99.78
   413.638    4.60    64.0  0.2279E+03  0.2654E+00  0.2274E+03    72.0       99.79
   417.438    4.64    66.0  0.2383E+03  0.2407E+00  0.2378E+03    72.0       99.80
   421.238    4.68    68.0  0.2479E+03  0.2194E+00  0.2474E+03    72.0       99.80
   425.038    4.72    70.0  0.2568E+03  0.1992E+00  0.2563E+03    72.0       99.80
   428.838    4.76    72.0  0.2650E+03  0.1759E+00  0.2644E+03    72.0       99.80
   432.638    4.81    74.0  0.2722E+03  0.1544E+00  0.2716E+03    72.0       99.80
   436.438    4.85    76.0  0.2784E+03  0.1368E+00  0.2778E+03    72.0       99.80
   440.238    4.89    78.0  0.2836E+03  0.1213E+00  0.2830E+03    72.0       99.80
   444.038    4.93    80.0  0.2876E+03  0.1073E+00  0.2870E+03    72.0       99.79
   447.838    4.98    82.0  0.2905E+03  0.9429E-01  0.2899E+03    72.0       99.79

     Querschnitte / mbarn

  E*/MeV   185Pb     186Pb     187Pb     188Pb     189Pb     190Pb  
    52.0 0.744E-07 0.246E-01 0.233E-01 0.168E-03 0.000E+00 0.000E+00
    54.0 0.265E-05 0.268E-01 0.117E-01 0.558E-04 0.000E+00 0.000E+00
    56.0 0.262E-04 0.237E-01 0.548E-02 0.182E-04 0.000E+00 0.000E+00
    58.0 0.117E-03 0.178E-01 0.245E-02 0.565E-05 0.000E+00 0.000E+00
    60.0 0.329E-03 0.118E-01 0.106E-02 0.157E-05 0.000E+00 0.000E+00
    62.0 0.684E-03 0.718E-02 0.448E-03 0.000E+00 0.000E+00 0.000E+00
    64.0 0.112E-02 0.405E-02 0.185E-03 0.000E+00 0.000E+00 0.000E+00
    66.0 0.150E-02 0.216E-02 0.755E-04 0.000E+00 0.000E+00 0.000E+00
    68.0 0.167E-02 0.110E-02 0.303E-04 0.000E+00 0.000E+00 0.000E+00
    70.0 0.159E-02 0.543E-03 0.120E-04 0.000E+00 0.000E+00 0.000E+00
    72.0 0.134E-02 0.261E-03 0.467E-05 0.000E+00 0.000E+00 0.000E+00
    74.0 0.102E-02 0.122E-03 0.177E-05 0.000E+00 0.000E+00 0.000E+00
    76.0 0.715E-03 0.565E-04 0.633E-06 0.000E+00 0.000E+00 0.000E+00
    78.0 0.470E-03 0.257E-04 0.185E-06 0.000E+00 0.000E+00 0.000E+00
    80.0 0.293E-03 0.115E-04 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    82.0 0.175E-03 0.505E-05 0.000E+00 0.000E+00 0.000E+00 0.000E+00

  E*/MeV   184Tl     185Tl     186Tl     187Tl     188Tl     189Tl  
    52.0 0.000E+00 0.235E-04 0.659E-01 0.138E+00 0.167E-02 0.813E-06
    54.0 0.000E+00 0.204E-03 0.900E-01 0.812E-01 0.636E-03 0.000E+00
    56.0 0.000E+00 0.101E-02 0.102E+00 0.442E-01 0.234E-03 0.000E+00
    58.0 0.000E+00 0.326E-02 0.972E-01 0.225E-01 0.833E-04 0.000E+00
    60.0 0.823E-08 0.773E-02 0.805E-01 0.109E-01 0.289E-04 0.000E+00
    62.0 0.180E-06 0.145E-01 0.594E-01 0.509E-02 0.970E-05 0.000E+00
    64.0 0.194E-05 0.225E-01 0.398E-01 0.230E-02 0.312E-05 0.000E+00
    66.0 0.128E-04 0.297E-01 0.247E-01 0.101E-02 0.890E-06 0.000E+00
    68.0 0.603E-04 0.338E-01 0.144E-01 0.430E-03 0.000E+00 0.000E+00
    70.0 0.212E-03 0.339E-01 0.800E-02 0.180E-03 0.000E+00 0.000E+00
    72.0 0.578E-03 0.303E-01 0.426E-02 0.737E-04 0.000E+00 0.000E+00
    74.0 0.125E-02 0.246E-01 0.219E-02 0.296E-04 0.000E+00 0.000E+00
    76.0 0.221E-02 0.185E-01 0.109E-02 0.116E-04 0.000E+00 0.000E+00
    78.0 0.328E-02 0.129E-01 0.532E-03 0.445E-05 0.000E+00 0.000E+00
    80.0 0.416E-02 0.853E-02 0.253E-03 0.163E-05 0.000E+00 0.000E+00
    82.0 0.462E-02 0.536E-02 0.118E-03 0.535E-06 0.000E+00 0.000E+00

  E*/MeV   183Hg     184Hg     185Hg     186Hg     187Hg     188Hg  
    52.0 0.753E-02 0.703E-01 0.439E-02 0.772E-01 0.741E-01 0.966E-03
    54.0 0.151E-01 0.564E-01 0.291E-02 0.103E+00 0.551E-01 0.444E-03
    56.0 0.243E-01 0.399E-01 0.459E-02 0.122E+00 0.373E-01 0.194E-03
    58.0 0.332E-01 0.254E-01 0.108E-01 0.131E+00 0.232E-01 0.815E-04
    60.0 0.392E-01 0.149E-01 0.226E-01 0.127E+00 0.135E-01 0.330E-04
    62.0 0.404E-01 0.817E-02 0.398E-01 0.112E+00 0.741E-02 0.130E-04
    64.0 0.371E-01 0.442E-02 0.600E-01 0.899E-01 0.387E-02 0.497E-05
    66.0 0.303E-01 0.292E-02 0.796E-01 0.668E-01 0.194E-02 0.184E-05
    68.0 0.225E-01 0.348E-02 0.948E-01 0.461E-01 0.942E-03 0.660E-06
    70.0 0.154E-01 0.640E-02 0.103E+00 0.299E-01 0.443E-03 0.227E-06
    72.0 0.982E-02 0.119E-01 0.102E+00 0.153E-01 0.202E-03 0.650E-07
    74.0 0.593E-02 0.199E-01 0.929E-01 0.638E-02 0.901E-04 0.000E+00
    76.0 0.346E-02 0.294E-01 0.785E-01 0.283E-02 0.392E-04 0.000E+00
    78.0 0.209E-02 0.389E-01 0.617E-01 0.131E-02 0.166E-04 0.000E+00
    80.0 0.164E-02 0.468E-01 0.450E-01 0.620E-03 0.691E-05 0.000E+00
    82.0 0.209E-02 0.514E-01 0.302E-01 0.332E-03 0.279E-05 0.000E+00

 Z-Verteilung  
 E*/MeV     Hg         Tl         Pb  
   52.0  0.235E+00 0.205E+00 0.480E-01
   54.0  0.233E+00 0.172E+00 0.385E-01
   56.0  0.228E+00 0.147E+00 0.292E-01
   58.0  0.223E+00 0.123E+00 0.204E-01
   60.0  0.217E+00 0.992E-01 0.132E-01
   62.0  0.207E+00 0.790E-01 0.831E-02
   64.0  0.195E+00 0.646E-01 0.536E-02
   66.0  0.182E+00 0.554E-01 0.373E-02
   68.0  0.168E+00 0.488E-01 0.280E-02
   70.0  0.155E+00 0.423E-01 0.214E-02
   72.0  0.139E+00 0.352E-01 0.160E-02
   74.0  0.125E+00 0.281E-01 0.114E-02
   76.0  0.114E+00 0.218E-01 0.772E-03
   78.0  0.104E+00 0.167E-01 0.496E-03
   80.0  0.940E-01 0.129E-01 0.304E-03
   82.0  0.840E-01 0.101E-01 0.180E-03

 Z und A Mittelwerte    
   E*/MeV     MW.Z  St.Abw.Z      MW.A  St.Abw.A
    52.0     80.62      0.66    186.15      1.10
    54.0     80.56      0.65    185.98      1.08
    56.0     80.51      0.63    185.83      1.07
    58.0     80.45      0.60    185.68      1.08
    60.0     80.38      0.56    185.54      1.10
    62.0     80.32      0.52    185.39      1.10
    64.0     80.28      0.49    185.26      1.05
    66.0     80.26      0.47    185.15      0.97
    68.0     80.25      0.46    185.07      0.85
    70.0     80.23      0.45    185.01      0.74
    72.0     80.22      0.43    184.93      0.64
    74.0     80.20      0.42    184.84      0.57
    76.0     80.17      0.39    184.75      0.55
    78.0     80.15      0.36    184.63      0.55
    80.0     80.13      0.34    184.50      0.55
    82.0     80.11      0.32    184.37      0.54

 HIVAP  CASOUT

   90Zr + 100Mo ---> 190Pb    16.2.2021 (A. Sitarcik)                   


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

