E_lab	E*/MeV	195Bi	196Bi	197Bi	198Bi	199Bi	200Bi	201Bi
182.760	44.0	0.390E-14	0.247E-08	0.115E-07	0.375E-10	0.800E-09	0.513E-09	0.304E-11
184.037	45.0	0.269E-12	0.132E-07	0.348E-07	0.727E-10	0.330E-08	0.148E-08	0.599E-11
185.314	46.0	0.673E-10	0.301E-05	0.122E-04	0.107E-06	0.779E-06	0.506E-06	0.806E-08
186.591	47.0	0.160E-08	0.198E-04	0.602E-04	0.487E-06	0.435E-05	0.232E-05	0.359E-07
187.867	48.0	0.258E-07	0.949E-04	0.196E-03	0.131E-05	0.180E-04	0.705E-05	0.977E-07
189.144	49.0	0.328E-06	0.413E-03	0.577E-03	0.318E-05	0.704E-04	0.196E-04	0.226E-06
190.421	50.0	0.348E-05	0.168E-02	0.162E-02	0.930E-05	0.264E-03	0.520E-04	0.502E-06
191.697	51.0	0.313E-04	0.637E-02	0.432E-02	0.371E-04	0.935E-03	0.131E-03	0.108E-05
192.974	52.0	0.228E-03	0.214E-01	0.105E-01	0.173E-03	0.299E-02	0.305E-03	0.218E-05
194.251	53.0	0.122E-02	0.583E-01	0.218E-01	0.697E-03	0.781E-02	0.600E-03	0.397E-05
195.528	54.0	0.445E-02	0.118E+00	0.353E-01	0.202E-02	0.152E-01	0.925E-03	0.614E-05
196.804	55.0	0.114E-01	0.181E+00	0.453E-01	0.426E-02	0.224E-01	0.113E-02	0.801E-05
198.081	56.0	0.226E-01	0.227E+00	0.489E-01	0.719E-02	0.274E-01	0.118E-02	0.909E-05
199.358	57.0	0.381E-01	0.250E+00	0.466E-01	0.106E-01	0.299E-01	0.111E-02	0.921E-05
200.635	58.0	0.570E-01	0.253E+00	0.403E-01	0.144E-01	0.303E-01	0.963E-03	0.851E-05
201.911	59.0	0.787E-01	0.241E+00	0.325E-01	0.185E-01	0.292E-01	0.791E-03	0.722E-05
203.188	60.0	0.102E+00	0.220E+00	0.248E-01	0.226E-01	0.272E-01	0.620E-03	0.567E-05
204.465	61.0	0.125E+00	0.194E+00	0.184E-01	0.266E-01	0.245E-01	0.469E-03	0.416E-05
205.742	62.0	0.147E+00	0.167E+00	0.136E-01	0.303E-01	0.217E-01	0.344E-03	0.289E-05
207.018	63.0	0.167E+00	0.140E+00	0.104E-01	0.336E-01	0.187E-01	0.246E-03	0.192E-05
208.295	64.0	0.184E+00	0.115E+00	0.874E-02	0.361E-01	0.159E-01	0.173E-03	0.123E-05
209.572	65.0	0.197E+00	0.922E-01	0.841E-02	0.378E-01	0.133E-01	0.120E-03	0.780E-06
210.848	66.0	0.206E+00	0.728E-01	0.924E-02	0.386E-01	0.109E-01	0.819E-04	0.487E-06
212.125	67.0	0.210E+00	0.566E-01	0.111E-01	0.384E-01	0.886E-02	0.555E-04	0.300E-06
213.402	68.0	0.209E+00	0.434E-01	0.137E-01	0.373E-01	0.708E-02	0.373E-04	0.183E-06
214.679	69.0	0.203E+00	0.328E-01	0.170E-01	0.355E-01	0.498E-02	0.249E-04	0.111E-06
215.955	70.0	0.194E+00	0.245E-01	0.207E-01	0.330E-01	0.346E-02	0.165E-04	0.658E-07
217.232	71.0	0.181E+00	0.181E-01	0.246E-01	0.300E-01	0.236E-02	0.109E-04	0.382E-07
218.509	72.0	0.165E+00	0.133E-01	0.286E-01	0.268E-01	0.156E-02	0.714E-05	0.211E-07
219.786	73.0	0.148E+00	0.978E-02	0.324E-01	0.235E-01	0.104E-02	0.465E-05	0.103E-07
221.062	74.0	0.130E+00	0.731E-02	0.359E-01	0.202E-01	0.689E-03	0.301E-05	0.323E-08
222.339	75.0	0.112E+00	0.572E-02	0.390E-01	0.170E-01	0.466E-03	0.194E-05	0.000E+00
223.616	76.0	0.954E-01	0.487E-02	0.414E-01	0.138E-01	0.301E-03	0.124E-05	0.000E+00
224.892	77.0	0.797E-01	0.468E-02	0.432E-01	0.110E-01	0.213E-03	0.787E-06	0.000E+00
226.169	78.0	0.656E-01	0.508E-02	0.442E-01	0.752E-02	0.131E-03	0.496E-06	0.000E+00
227.446	79.0	0.533E-01	0.603E-02	0.444E-01	0.479E-02	0.835E-04	0.311E-06	0.000E+00
228.723	80.0	0.428E-01	0.744E-02	0.439E-01	0.303E-02	0.532E-04	0.193E-06	0.000E+00
229.999	81.0	0.339E-01	0.926E-02	0.426E-01	0.182E-02	0.321E-04	0.116E-06	0.000E+00
231.276	82.0	0.266E-01	0.114E-01	0.404E-01	0.109E-02	0.180E-04	0.692E-07	0.000E+00
232.553	83.0	0.207E-01	0.137E-01	0.375E-01	0.641E-03	0.112E-04	0.400E-07	0.000E+00
233.830	84.0	0.204E-01	0.142E-01	0.373E-01	0.659E-03	0.547E-05	0.221E-07	0.000E+00
235.106	85.0	0.158E-01	0.166E-01	0.340E-01	0.388E-03	0.000E+00	0.912E-08	0.000E+00
236.383	86.0	0.123E-01	0.190E-01	0.303E-01	0.227E-03	0.000E+00	0.000E+00	0.000E+00
237.660	87.0	0.101E-01	0.208E-01	0.265E-01	0.133E-03	0.000E+00	0.000E+00	0.000E+00
238.936	88.0	0.101E-01	0.206E-01	0.266E-01	0.668E-04	0.000E+00	0.000E+00	0.000E+00
240.213	89.0	0.823E-02	0.226E-01	0.228E-01	0.329E-04	0.000E+00	0.000E+00	0.000E+00
241.490	90.0	0.703E-02	0.241E-01	0.154E-01	0.166E-04	0.000E+00	0.000E+00	0.000E+00
