E_lab	E*/MeV	194Po	195Po	196Po	197Po	198Po	199Po	200Po	201Po	202Po	203Po	204Po
190.492	66.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.259E-03	0.870E+00	0.572E+01	0.607E+00	0.158E-01	0.358E-05	0.000E+00
191.734	67.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.904E-03	0.119E+01	0.555E+01	0.463E+00	0.108E-01	0.196E-05	0.000E+00
192.977	68.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.272E-02	0.155E+01	0.526E+01	0.348E+00	0.734E-02	0.940E-06	0.000E+00
194.219	69.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.716E-02	0.193E+01	0.488E+01	0.258E+00	0.491E-02	0.311E-06	0.000E+00
195.462	70.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.168E-01	0.231E+01	0.443E+01	0.188E+00	0.325E-02	0.000E+00	0.000E+00
196.704	71.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.355E-01	0.268E+01	0.395E+01	0.136E+00	0.213E-02	0.000E+00	0.000E+00
197.946	72.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.686E-01	0.301E+01	0.346E+01	0.970E-01	0.139E-02	0.000E+00	0.000E+00
199.189	73.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.122E+00	0.328E+01	0.297E+01	0.686E-01	0.897E-03	0.000E+00	0.000E+00
200.431	74.0	0.000E+00	0.000E+00	0.000E+00	0.570E-06	0.202E+00	0.349E+01	0.252E+01	0.481E-01	0.575E-03	0.000E+00	0.000E+00
201.674	75.0	0.000E+00	0.000E+00	0.000E+00	0.313E-05	0.312E+00	0.362E+01	0.210E+01	0.334E-01	0.367E-03	0.000E+00	0.000E+00
202.916	76.0	0.000E+00	0.000E+00	0.000E+00	0.140E-04	0.457E+00	0.366E+01	0.173E+01	0.231E-01	0.232E-03	0.000E+00	0.000E+00
204.159	77.0	0.000E+00	0.000E+00	0.000E+00	0.530E-04	0.636E+00	0.363E+01	0.140E+01	0.158E-01	0.147E-03	0.000E+00	0.000E+00
205.401	78.0	0.000E+00	0.000E+00	0.000E+00	0.174E-03	0.845E+00	0.353E+01	0.112E+01	0.108E-01	0.918E-04	0.000E+00	0.000E+00
206.643	79.0	0.000E+00	0.000E+00	0.000E+00	0.503E-03	0.108E+01	0.335E+01	0.891E+00	0.733E-02	0.572E-04	0.000E+00	0.000E+00
207.886	80.0	0.000E+00	0.000E+00	0.000E+00	0.130E-02	0.133E+01	0.313E+01	0.698E+00	0.494E-02	0.355E-04	0.000E+00	0.000E+00
209.128	81.0	0.000E+00	0.000E+00	0.000E+00	0.304E-02	0.158E+01	0.287E+01	0.542E+00	0.332E-02	0.218E-04	0.000E+00	0.000E+00
210.371	82.0	0.000E+00	0.000E+00	0.000E+00	0.649E-02	0.183E+01	0.259E+01	0.417E+00	0.222E-02	0.132E-04	0.000E+00	0.000E+00
211.613	83.0	0.000E+00	0.000E+00	0.000E+00	0.127E-01	0.207E+01	0.229E+01	0.318E+00	0.148E-02	0.778E-05	0.000E+00	0.000E+00
212.856	84.0	0.000E+00	0.000E+00	0.000E+00	0.232E-01	0.228E+01	0.200E+01	0.241E+00	0.979E-03	0.434E-05	0.000E+00	0.000E+00
214.098	85.0	0.000E+00	0.000E+00	0.753E-06	0.396E-01	0.246E+01	0.173E+01	0.181E+00	0.646E-03	0.221E-05	0.000E+00	0.000E+00
215.340	86.0	0.000E+00	0.000E+00	0.317E-05	0.636E-01	0.260E+01	0.147E+01	0.135E+00	0.425E-03	0.944E-06	0.000E+00	0.000E+00
216.583	87.0	0.000E+00	0.000E+00	0.115E-04	0.968E-01	0.269E+01	0.123E+01	0.999E-01	0.278E-03	0.161E-06	0.000E+00	0.000E+00
217.825	88.0	0.000E+00	0.000E+00	0.368E-04	0.140E+00	0.274E+01	0.102E+01	0.735E-01	0.181E-03	0.000E+00	0.000E+00	0.000E+00
219.068	89.0	0.000E+00	0.000E+00	0.106E-03	0.194E+00	0.274E+01	0.837E+00	0.538E-01	0.118E-03	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.000E+00	0.000E+00	0.274E-03	0.259E+00	0.269E+01	0.680E+00	0.392E-01	0.759E-04	0.000E+00	0.000E+00	0.000E+00
221.552	91.0	0.000E+00	0.000E+00	0.650E-03	0.333E+00	0.261E+01	0.547E+00	0.284E-01	0.487E-04	0.000E+00	0.000E+00	0.000E+00
222.795	92.0	0.000E+00	0.000E+00	0.142E-02	0.414E+00	0.249E+01	0.436E+00	0.205E-01	0.310E-04	0.000E+00	0.000E+00	0.000E+00
224.037	93.0	0.000E+00	0.000E+00	0.287E-02	0.500E+00	0.234E+01	0.344E+00	0.147E-01	0.195E-04	0.000E+00	0.000E+00	0.000E+00
