E_lab	E*/MeV	197At	198At	199At	200At	201At	202At	203At	204At	205At
200.431	74.0	0.000E+00	0.238E-01	0.297E+01	0.132E+01	0.667E-01	0.112E-03	0.000E+00	0.000E+00	0.000E+00
201.674	75.0	0.000E+00	0.404E-01	0.290E+01	0.102E+01	0.449E-01	0.665E-04	0.000E+00	0.000E+00	0.000E+00
202.916	76.0	0.000E+00	0.629E-01	0.276E+01	0.778E+00	0.300E-01	0.389E-04	0.000E+00	0.000E+00	0.000E+00
204.159	77.0	0.868E-06	0.913E-01	0.258E+01	0.588E+00	0.200E-01	0.223E-04	0.000E+00	0.000E+00	0.000E+00
205.401	78.0	0.497E-05	0.125E+00	0.236E+01	0.440E+00	0.133E-01	0.117E-04	0.000E+00	0.000E+00	0.000E+00
206.643	79.0	0.222E-04	0.163E+00	0.212E+01	0.326E+00	0.881E-02	0.599E-05	0.000E+00	0.000E+00	0.000E+00
207.886	80.0	0.797E-04	0.203E+00	0.187E+01	0.240E+00	0.581E-02	0.224E-05	0.000E+00	0.000E+00	0.000E+00
209.128	81.0	0.239E-03	0.243E+00	0.162E+01	0.175E+00	0.382E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
210.371	82.0	0.612E-03	0.282E+00	0.138E+01	0.127E+00	0.250E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
211.613	83.0	0.137E-02	0.317E+00	0.116E+01	0.914E-01	0.164E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
212.856	84.0	0.276E-02	0.347E+00	0.962E+00	0.654E-01	0.106E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
214.098	85.0	0.503E-02	0.370E+00	0.788E+00	0.466E-01	0.691E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
215.340	86.0	0.846E-02	0.385E+00	0.638E+00	0.330E-01	0.446E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
216.583	87.0	0.133E-01	0.392E+00	0.511E+00	0.233E-01	0.288E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
217.825	88.0	0.196E-01	0.390E+00	0.405E+00	0.164E-01	0.185E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
219.068	89.0	0.274E-01	0.381E+00	0.318E+00	0.115E-01	0.118E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.365E-01	0.364E+00	0.248E+00	0.798E-02	0.746E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
221.552	91.0	0.467E-01	0.342E+00	0.192E+00	0.554E-02	0.469E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
222.795	92.0	0.574E-01	0.316E+00	0.147E+00	0.384E-02	0.264E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
224.037	93.0	0.682E-01	0.288E+00	0.112E+00	0.265E-02	0.135E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
225.280	94.0	0.785E-01	0.258E+00	0.848E-01	0.182E-02	0.671E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
226.522	95.0	0.878E-01	0.228E+00	0.638E-01	0.125E-02	0.328E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
227.765	96.0	0.954E-01	0.198E+00	0.478E-01	0.851E-03	0.164E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
229.007	97.0	0.101E+00	0.171E+00	0.356E-01	0.579E-03	0.748E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
230.249	98.0	0.105E+00	0.145E+00	0.264E-01	0.393E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
231.492	99.0	0.106E+00	0.122E+00	0.195E-01	0.265E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
232.734	100.0	0.105E+00	0.102E+00	0.143E-01	0.179E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
233.977	101.0	0.103E+00	0.844E-01	0.105E-01	0.120E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
235.219	102.0	0.983E-01	0.691E-01	0.763E-02	0.798E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
236.462	103.0	0.927E-01	0.562E-01	0.554E-02	0.435E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
237.704	104.0	0.860E-01	0.453E-01	0.401E-02	0.235E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
238.946	105.0	0.787E-01	0.363E-01	0.289E-02	0.127E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
240.189	106.0	0.710E-01	0.288E-01	0.208E-02	0.683E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
241.431	107.0	0.633E-01	0.228E-01	0.149E-02	0.379E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
242.674	108.0	0.559E-01	0.179E-01	0.106E-02	0.211E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
243.916	109.0	0.487E-01	0.140E-01	0.756E-03	0.116E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
245.159	110.0	0.421E-01	0.109E-01	0.536E-03	0.642E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
246.401	111.0	0.360E-01	0.842E-02	0.378E-03	0.345E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
247.643	112.0	0.305E-01	0.648E-02	0.265E-03	0.105E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
248.886	113.0	0.257E-01	0.497E-02	0.150E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
250.128	114.0	0.215E-01	0.379E-02	0.821E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
251.371	115.0	0.178E-01	0.288E-02	0.465E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
252.613	116.0	0.146E-01	0.218E-02	0.274E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
253.856	117.0	0.120E-01	0.165E-02	0.161E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
255.098	118.0	0.974E-02	0.124E-02	0.933E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
256.340	119.0	0.787E-02	0.927E-03	0.534E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
257.583	120.0	0.633E-02	0.691E-03	0.306E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
258.825	121.0	0.507E-02	0.512E-03	0.183E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
260.068	122.0	0.403E-02	0.377E-03	0.119E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
261.310	123.0	0.320E-02	0.278E-03	0.620E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
262.552	124.0	0.252E-02	0.202E-03	0.410E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
263.795	125.0	0.198E-02	0.145E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
265.037	126.0	0.155E-02	0.101E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
266.280	127.0	0.121E-02	0.691E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
267.522	128.0	0.939E-03	0.451E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
268.765	129.0	0.727E-03	0.229E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
270.007	130.0	0.559E-03	0.102E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
271.249	131.0	0.428E-03	0.487E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
272.492	132.0	0.325E-03	0.238E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
273.734	133.0	0.244E-03	0.117E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
274.977	134.0	0.180E-03	0.568E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
276.219	135.0	0.130E-03	0.269E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
277.462	136.0	0.917E-04	0.128E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
278.704	137.0	0.622E-04	0.637E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
279.946	138.0	0.407E-04	0.328E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
281.189	139.0	0.256E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
282.431	140.0	0.158E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
