E_lab	E*/MeV	196At	197At	198At	199At	200At	201At	202At	203At	204At	205At
98.248	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.351E-08	0.280E-05	0.511E-06	0.842E-10	0.000E+00
99.381	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.118E-06	0.152E-04	0.181E-05	0.219E-09	0.000E+00
100.513	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.237E-05	0.766E-04	0.602E-05	0.546E-09	0.000E+00
101.646	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.310E-04	0.354E-03	0.189E-04	0.130E-08	0.000E+00
102.778	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.286E-03	0.149E-02	0.561E-04	0.301E-08	0.000E+00
103.911	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.198E-02	0.550E-02	0.154E-03	0.634E-08	0.000E+00
105.044	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.101E-01	0.168E-01	0.373E-03	0.109E-07	0.000E+00
106.176	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.375E-01	0.402E-01	0.750E-03	0.100E-08	0.000E+00
107.309	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.106E+00	0.770E-01	0.126E-02	0.000E+00	0.000E+00
108.441	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.634E-06	0.250E+00	0.125E+00	0.181E-02	0.000E+00	0.000E+00
109.574	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.186E-04	0.511E+00	0.179E+00	0.233E-02	0.000E+00	0.000E+00
110.706	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.281E-03	0.935E+00	0.231E+00	0.271E-02	0.000E+00	0.000E+00
111.839	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.249E-02	0.156E+01	0.273E+00	0.290E-02	0.000E+00	0.000E+00
112.972	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.143E-01	0.239E+01	0.301E+00	0.289E-02	0.000E+00	0.000E+00
114.104	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.571E-01	0.343E+01	0.311E+00	0.271E-02	0.000E+00	0.000E+00
115.237	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.172E+00	0.462E+01	0.305E+00	0.242E-02	0.000E+00	0.000E+00
116.369	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.417E+00	0.584E+01	0.285E+00	0.206E-02	0.000E+00	0.000E+00
117.502	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.853E+00	0.697E+01	0.255E+00	0.168E-02	0.000E+00	0.000E+00
118.635	55.0	0.000E+00	0.000E+00	0.000E+00	0.642E-05	0.152E+01	0.786E+01	0.220E+00	0.132E-02	0.000E+00	0.000E+00
119.767	56.0	0.000E+00	0.000E+00	0.000E+00	0.844E-04	0.244E+01	0.840E+01	0.183E+00	0.101E-02	0.000E+00	0.000E+00
120.900	57.0	0.000E+00	0.000E+00	0.000E+00	0.706E-03	0.357E+01	0.854E+01	0.148E+00	0.748E-03	0.000E+00	0.000E+00
122.032	58.0	0.000E+00	0.000E+00	0.000E+00	0.405E-02	0.483E+01	0.828E+01	0.116E+00	0.539E-03	0.000E+00	0.000E+00
123.165	59.0	0.000E+00	0.000E+00	0.000E+00	0.169E-01	0.613E+01	0.767E+01	0.883E-01	0.377E-03	0.000E+00	0.000E+00
