E_lab	E*/MeV	196At	197At	198At	199At	200At	201At	202At	203At	204At	205At
145.765	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.633E-07	0.126E-05	0.700E-08	0.653E-11
147.007	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.104E-05	0.658E-05	0.214E-07	0.166E-10
148.249	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E-04	0.313E-04	0.623E-07	0.390E-10
149.492	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.889E-04	0.136E-03	0.174E-06	0.768E-10
150.734	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.599E-03	0.545E-03	0.473E-06	0.000E+00
151.977	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-07	0.332E-02	0.194E-02	0.122E-05	0.000E+00
153.219	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.105E-05	0.139E-01	0.560E-02	0.281E-05	0.000E+00
154.462	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.339E-04	0.420E-01	0.125E-01	0.562E-05	0.000E+00
155.704	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.478E-03	0.974E-01	0.221E-01	0.939E-05	0.000E+00
156.946	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.364E-02	0.188E+00	0.327E-01	0.131E-04	0.000E+00
158.189	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.175E-01	0.320E+00	0.424E-01	0.159E-04	0.000E+00
159.431	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.594E-01	0.491E+00	0.495E-01	0.168E-04	0.000E+00
160.674	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.156E+00	0.688E+00	0.533E-01	0.159E-04	0.000E+00
161.916	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.340E+00	0.885E+00	0.536E-01	0.138E-04	0.000E+00
163.159	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.639E+00	0.106E+01	0.507E-01	0.111E-04	0.000E+00
164.401	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.107E+01	0.118E+01	0.456E-01	0.834E-05	0.000E+00
165.643	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.278E-05	0.166E+01	0.124E+01	0.391E-01	0.585E-05	0.000E+00
166.886	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.625E-04	0.239E+01	0.124E+01	0.321E-01	0.379E-05	0.000E+00
168.128	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.734E-03	0.325E+01	0.118E+01	0.255E-01	0.198E-05	0.000E+00
169.371	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.524E-02	0.423E+01	0.108E+01	0.196E-01	0.997E-07	0.000E+00
170.613	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.248E-01	0.527E+01	0.957E+00	0.147E-01	0.000E+00	0.000E+00
171.856	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.846E-01	0.630E+01	0.818E+00	0.108E-01	0.000E+00	0.000E+00
173.098	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.221E+00	0.723E+01	0.677E+00	0.771E-02	0.000E+00	0.000E+00
174.340	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.474E+00	0.796E+01	0.545E+00	0.541E-02	0.000E+00	0.000E+00
175.583	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.868E+00	0.841E+01	0.427E+00	0.372E-02	0.000E+00	0.000E+00
176.825	55.0	0.000E+00	0.000E+00	0.000E+00	0.519E-05	0.141E+01	0.851E+01	0.326E+00	0.252E-02	0.000E+00	0.000E+00
178.068	56.0	0.000E+00	0.000E+00	0.000E+00	0.638E-04	0.207E+01	0.828E+01	0.244E+00	0.168E-02	0.000E+00	0.000E+00
