E_lab	E*/MeV	193Bi	194Bi	195Bi	196Bi	197Bi	198Bi	199Bi	200Bi	201Bi	202Bi	203Bi
214.098	85.0	0.000E+00	0.192E-02	0.636E+00	0.104E+01	0.221E+00	0.149E+00	0.192E+00	0.370E-02	0.507E-04	0.742E-07	0.000E+00
215.340	86.0	0.000E+00	0.383E-02	0.733E+00	0.945E+00	0.180E+00	0.168E+00	0.175E+00	0.226E-02	0.302E-04	0.408E-07	0.000E+00
216.583	87.0	0.989E-07	0.716E-02	0.825E+00	0.842E+00	0.150E+00	0.186E+00	0.156E+00	0.133E-02	0.170E-04	0.209E-07	0.000E+00
217.825	88.0	0.385E-06	0.876E-02	0.833E+00	0.843E+00	0.160E+00	0.187E+00	0.157E+00	0.778E-03	0.907E-05	0.509E-08	0.000E+00
219.068	89.0	0.139E-05	0.149E-01	0.914E+00	0.741E+00	0.140E+00	0.202E+00	0.119E+00	0.446E-03	0.451E-05	0.000E+00	0.000E+00
220.310	90.0	0.443E-05	0.240E-01	0.982E+00	0.642E+00	0.129E+00	0.214E+00	0.877E-01	0.249E-03	0.000E+00	0.000E+00	0.000E+00
221.552	91.0	0.128E-04	0.370E-01	0.103E+01	0.550E+00	0.126E+00	0.223E+00	0.650E-01	0.134E-03	0.000E+00	0.000E+00	0.000E+00
222.795	92.0	0.341E-04	0.544E-01	0.107E+01	0.465E+00	0.129E+00	0.228E+00	0.467E-01	0.688E-04	0.000E+00	0.000E+00	0.000E+00
224.037	93.0	0.840E-04	0.768E-01	0.109E+01	0.389E+00	0.138E+00	0.230E+00	0.377E-01	0.329E-04	0.000E+00	0.000E+00	0.000E+00
225.280	94.0	0.194E-03	0.104E+00	0.109E+01	0.322E+00	0.151E+00	0.226E+00	0.260E-01	0.161E-04	0.000E+00	0.000E+00	0.000E+00
226.522	95.0	0.419E-03	0.137E+00	0.107E+01	0.264E+00	0.168E+00	0.217E+00	0.177E-01	0.746E-05	0.000E+00	0.000E+00	0.000E+00
