E_lab	E*/MeV	198At	199At	200At	201At	202At	203At	204At	205At
209.128	81.0	0.243E+00	0.162E+01	0.175E+00	0.382E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
210.371	82.0	0.282E+00	0.138E+01	0.127E+00	0.250E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
211.613	83.0	0.317E+00	0.116E+01	0.914E-01	0.164E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
212.856	84.0	0.347E+00	0.962E+00	0.654E-01	0.106E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
214.098	85.0	0.370E+00	0.788E+00	0.466E-01	0.691E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
215.340	86.0	0.385E+00	0.638E+00	0.330E-01	0.446E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
216.583	87.0	0.392E+00	0.511E+00	0.233E-01	0.288E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
217.825	88.0	0.390E+00	0.405E+00	0.164E-01	0.185E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
219.068	89.0	0.381E+00	0.318E+00	0.115E-01	0.118E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.364E+00	0.248E+00	0.798E-02	0.746E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
