E_lab	E*/MeV	197At	198At	199At	200At	201At	202At	203At	204At	205At
164.401	45.0	0.000E+00	0.000E+00	0.000E+00	0.620E-11	0.925E-06	0.143E-06	0.159E-09	0.000E+00	0.000E+00
165.643	46.0	0.000E+00	0.000E+00	0.000E+00	0.400E-09	0.316E-05	0.306E-06	0.284E-09	0.000E+00	0.000E+00
166.886	47.0	0.000E+00	0.000E+00	0.000E+00	0.418E-07	0.908E-03	0.242E-03	0.167E-05	0.000E+00	0.000E+00
168.128	48.0	0.000E+00	0.000E+00	0.000E+00	0.141E-05	0.422E-02	0.871E-03	0.695E-05	0.000E+00	0.000E+00
169.371	49.0	0.000E+00	0.000E+00	0.000E+00	0.263E-04	0.150E-01	0.222E-02	0.173E-04	0.000E+00	0.000E+00
170.613	50.0	0.000E+00	0.000E+00	0.000E+00	0.332E-03	0.499E-01	0.515E-02	0.361E-04	0.000E+00	0.000E+00
171.856	51.0	0.000E+00	0.000E+00	0.000E+00	0.303E-02	0.161E+00	0.115E-01	0.712E-04	0.000E+00	0.000E+00
173.098	52.0	0.000E+00	0.000E+00	0.000E+00	0.209E-01	0.489E+00	0.248E-01	0.135E-03	0.000E+00	0.000E+00
174.340	53.0	0.000E+00	0.000E+00	0.000E+00	0.109E+00	0.134E+01	0.495E-01	0.246E-03	0.000E+00	0.000E+00
175.583	54.0	0.000E+00	0.000E+00	0.000E+00	0.405E+00	0.299E+01	0.852E-01	0.402E-03	0.000E+00	0.000E+00
176.825	55.0	0.000E+00	0.000E+00	0.434E-05	0.101E+01	0.501E+01	0.118E+00	0.553E-03	0.000E+00	0.000E+00
178.068	56.0	0.000E+00	0.000E+00	0.585E-04	0.180E+01	0.641E+01	0.131E+00	0.628E-03	0.000E+00	0.000E+00
179.310	57.0	0.000E+00	0.000E+00	0.455E-03	0.256E+01	0.678E+01	0.123E+00	0.596E-03	0.000E+00	0.000E+00
180.552	58.0	0.000E+00	0.000E+00	0.234E-02	0.317E+01	0.632E+01	0.103E+00	0.487E-03	0.000E+00	0.000E+00
181.795	59.0	0.000E+00	0.000E+00	0.878E-02	0.362E+01	0.541E+01	0.781E-01	0.350E-03	0.000E+00	0.000E+00
183.037	60.0	0.000E+00	0.000E+00	0.255E-01	0.391E+01	0.436E+01	0.552E-01	0.229E-03	0.000E+00	0.000E+00
184.280	61.0	0.000E+00	0.000E+00	0.601E-01	0.406E+01	0.338E+01	0.369E-01	0.140E-03	0.000E+00	0.000E+00
185.522	62.0	0.000E+00	0.000E+00	0.120E+00	0.408E+01	0.254E+01	0.238E-01	0.809E-04	0.000E+00	0.000E+00
186.765	63.0	0.000E+00	0.000E+00	0.211E+00	0.399E+01	0.187E+01	0.150E-01	0.448E-04	0.000E+00	0.000E+00
188.007	64.0	0.000E+00	0.000E+00	0.333E+00	0.379E+01	0.136E+01	0.934E-02	0.231E-04	0.000E+00	0.000E+00
189.249	65.0	0.000E+00	0.000E+00	0.482E+00	0.351E+01	0.973E+00	0.576E-02	0.111E-04	0.000E+00	0.000E+00
190.492	66.0	0.000E+00	0.328E-06	0.649E+00	0.316E+01	0.688E+00	0.353E-02	0.356E-05	0.000E+00	0.000E+00
191.734	67.0	0.000E+00	0.301E-05	0.823E+00	0.279E+01	0.482E+00	0.216E-02	0.000E+00	0.000E+00	0.000E+00
192.977	68.0	0.000E+00	0.191E-04	0.994E+00	0.241E+01	0.335E+00	0.131E-02	0.000E+00	0.000E+00	0.000E+00
194.219	69.0	0.000E+00	0.891E-04	0.115E+01	0.203E+01	0.231E+00	0.797E-03	0.000E+00	0.000E+00	0.000E+00
195.462	70.0	0.000E+00	0.323E-03	0.128E+01	0.168E+01	0.158E+00	0.481E-03	0.000E+00	0.000E+00	0.000E+00
