E_lab	E*/MeV	184Bi	185Bi	186Bi	187Bi	188Bi	189Bi	190Bi	191Bi	192Bi	193Bi
226.099	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.357E-16	0.243E-11	0.000E+00	0.433E-14
227.460	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.584E-15	0.103E-10	0.000E+00	0.305E-13
228.821	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.397E-12	0.408E-08	0.000E+00	0.109E-10
230.182	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.467E-11	0.178E-07	0.000E+00	0.747E-10
231.543	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.462E-10	0.655E-07	0.000E+00	0.460E-09
232.904	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.405E-09	0.220E-06	0.373E-15	0.265E-08
234.266	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.317E-08	0.683E-06	0.751E-13	0.142E-07
235.627	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.219E-07	0.193E-05	0.133E-11	0.695E-07
236.988	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.124E-06	0.472E-05	0.170E-10	0.290E-06
238.349	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.524E-06	0.915E-05	0.144E-09	0.921E-06
239.710	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.266E-11	0.154E-05	0.132E-04	0.768E-09	0.207E-05
241.071	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.222E-10	0.332E-05	0.147E-04	0.283E-08	0.347E-05
242.432	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.115E-09	0.585E-05	0.135E-04	0.821E-08	0.483E-05
243.793	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.473E-09	0.906E-05	0.111E-04	0.205E-07	0.598E-05
245.154	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.166E-08	0.128E-04	0.837E-05	0.459E-07	0.686E-05
246.516	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.514E-08	0.168E-04	0.601E-05	0.945E-07	0.744E-05
247.877	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.142E-07	0.207E-04	0.416E-05	0.180E-06	0.767E-05
249.238	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.358E-07	0.240E-04	0.280E-05	0.322E-06	0.759E-05
250.599	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.821E-07	0.262E-04	0.185E-05	0.543E-06	0.721E-05
251.960	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.173E-06	0.271E-04	0.121E-05	0.865E-06	0.662E-05
253.321	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.337E-06	0.266E-04	0.777E-06	0.131E-05	0.587E-05
254.682	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.608E-06	0.249E-04	0.495E-06	0.189E-05	0.506E-05
256.043	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-05	0.224E-04	0.314E-06	0.261E-05	0.424E-05
257.404	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.159E-05	0.194E-04	0.200E-06	0.344E-05	0.346E-05
258.766	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.507E-11	0.231E-05	0.163E-04	0.133E-06	0.434E-05	0.277E-05
260.127	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.201E-10	0.314E-05	0.132E-04	0.101E-06	0.526E-05	0.217E-05
261.488	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.704E-10	0.401E-05	0.105E-04	0.982E-07	0.612E-05	0.167E-05
262.849	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.221E-09	0.482E-05	0.812E-05	0.126E-06	0.684E-05	0.126E-05
264.210	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.627E-09	0.547E-05	0.616E-05	0.191E-06	0.736E-05	0.938E-06
265.571	55.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.163E-08	0.590E-05	0.459E-05	0.298E-06	0.765E-05	0.689E-06
266.932	56.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.389E-08	0.606E-05	0.337E-05	0.458E-06	0.768E-05	0.500E-06
268.293	57.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.858E-08	0.595E-05	0.244E-05	0.673E-06	0.747E-05	0.358E-06
269.654	58.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.176E-07	0.563E-05	0.174E-05	0.943E-06	0.705E-05	0.254E-06
271.016	59.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.335E-07	0.514E-05	0.123E-05	0.126E-05	0.648E-05	0.179E-06
272.377	60.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.596E-07	0.454E-05	0.860E-06	0.160E-05	0.581E-05	0.125E-06
273.738	61.0	0.000E+00	0.000E+00	0.000E+00	0.545E-12	0.996E-07	0.391E-05	0.597E-06	0.196E-05	0.509E-05	0.863E-07
275.099	62.0	0.000E+00	0.000E+00	0.000E+00	0.210E-11	0.156E-06	0.328E-05	0.411E-06	0.229E-05	0.436E-05	0.593E-07
276.460	63.0	0.000E+00	0.000E+00	0.000E+00	0.711E-11	0.231E-06	0.269E-05	0.283E-06	0.257E-05	0.367E-05	0.404E-07
277.821	64.0	0.000E+00	0.000E+00	0.000E+00	0.219E-10	0.323E-06	0.216E-05	0.195E-06	0.279E-05	0.303E-05	0.273E-07
279.182	65.0	0.000E+00	0.000E+00	0.000E+00	0.614E-10	0.428E-06	0.171E-05	0.138E-06	0.292E-05	0.246E-05	0.183E-07
280.543	66.0	0.000E+00	0.000E+00	0.000E+00	0.159E-09	0.539E-06	0.133E-05	0.104E-06	0.296E-05	0.197E-05	0.122E-07
