E_lab	E*/MeV	190Rn	191Rn	192Rn	193Rn	194Rn	195Rn	196Rn
226.099	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.158E-11	0.867E-13	0.000E+00
227.460	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.375E-11	0.130E-12	0.000E+00
228.821	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.189E-08	0.542E-10	0.000E+00
230.182	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.449E-08	0.103E-09	0.000E+00
231.543	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.941E-08	0.118E-09	0.000E+00
232.904	31.0	0.000E+00	0.000E+00	0.000E+00	0.204E-14	0.187E-07	0.000E+00	0.000E+00
234.266	32.0	0.000E+00	0.000E+00	0.000E+00	0.118E-11	0.357E-07	0.000E+00	0.000E+00
235.627	33.0	0.000E+00	0.000E+00	0.000E+00	0.869E-10	0.645E-07	0.000E+00	0.000E+00
236.988	34.0	0.000E+00	0.000E+00	0.000E+00	0.217E-08	0.104E-06	0.000E+00	0.000E+00
238.349	35.0	0.000E+00	0.000E+00	0.000E+00	0.227E-07	0.134E-06	0.000E+00	0.000E+00
239.710	36.0	0.000E+00	0.000E+00	0.000E+00	0.112E-06	0.130E-06	0.000E+00	0.000E+00
241.071	37.0	0.000E+00	0.000E+00	0.000E+00	0.306E-06	0.100E-06	0.000E+00	0.000E+00
242.432	38.0	0.000E+00	0.000E+00	0.000E+00	0.550E-06	0.675E-07	0.000E+00	0.000E+00
243.793	39.0	0.000E+00	0.000E+00	0.000E+00	0.748E-06	0.417E-07	0.000E+00	0.000E+00
245.154	40.0	0.000E+00	0.000E+00	0.000E+00	0.844E-06	0.242E-07	0.000E+00	0.000E+00
246.516	41.0	0.000E+00	0.000E+00	0.000E+00	0.836E-06	0.128E-07	0.000E+00	0.000E+00
247.877	42.0	0.000E+00	0.000E+00	0.267E-12	0.753E-06	0.198E-08	0.000E+00	0.000E+00
249.238	43.0	0.000E+00	0.000E+00	0.457E-11	0.633E-06	0.000E+00	0.000E+00	0.000E+00
250.599	44.0	0.000E+00	0.000E+00	0.420E-10	0.503E-06	0.000E+00	0.000E+00	0.000E+00
251.960	45.0	0.000E+00	0.000E+00	0.233E-09	0.383E-06	0.000E+00	0.000E+00	0.000E+00
253.321	46.0	0.000E+00	0.000E+00	0.843E-09	0.282E-06	0.000E+00	0.000E+00	0.000E+00
254.682	47.0	0.000E+00	0.000E+00	0.212E-08	0.202E-06	0.000E+00	0.000E+00	0.000E+00
256.043	48.0	0.000E+00	0.000E+00	0.401E-08	0.142E-06	0.000E+00	0.000E+00	0.000E+00
257.404	49.0	0.000E+00	0.000E+00	0.613E-08	0.973E-07	0.000E+00	0.000E+00	0.000E+00
258.766	50.0	0.000E+00	0.000E+00	0.798E-08	0.659E-07	0.000E+00	0.000E+00	0.000E+00
260.127	51.0	0.000E+00	0.000E+00	0.922E-08	0.441E-07	0.000E+00	0.000E+00	0.000E+00
261.488	52.0	0.000E+00	0.000E+00	0.970E-08	0.293E-07	0.000E+00	0.000E+00	0.000E+00
262.849	53.0	0.000E+00	0.000E+00	0.948E-08	0.193E-07	0.000E+00	0.000E+00	0.000E+00
264.210	54.0	0.000E+00	0.495E-14	0.873E-08	0.126E-07	0.000E+00	0.000E+00	0.000E+00
265.571	55.0	0.000E+00	0.771E-13	0.766E-08	0.813E-08	0.000E+00	0.000E+00	0.000E+00
266.932	56.0	0.000E+00	0.694E-12	0.646E-08	0.518E-08	0.000E+00	0.000E+00	0.000E+00
268.293	57.0	0.000E+00	0.410E-11	0.528E-08	0.325E-08	0.000E+00	0.000E+00	0.000E+00
269.654	58.0	0.000E+00	0.172E-10	0.419E-08	0.198E-08	0.000E+00	0.000E+00	0.000E+00
271.016	59.0	0.000E+00	0.542E-10	0.325E-08	0.111E-08	0.000E+00	0.000E+00	0.000E+00
272.377	60.0	0.000E+00	0.134E-09	0.247E-08	0.332E-09	0.000E+00	0.000E+00	0.000E+00
273.738	61.0	0.000E+00	0.272E-09	0.184E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
275.099	62.0	0.000E+00	0.468E-09	0.135E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
276.460	63.0	0.000E+00	0.704E-09	0.983E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
277.821	64.0	0.000E+00	0.949E-09	0.706E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
279.182	65.0	0.000E+00	0.117E-08	0.501E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
280.543	66.0	0.119E-14	0.135E-08	0.353E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
281.904	67.0	0.833E-14	0.145E-08	0.244E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
283.266	68.0	0.413E-13	0.149E-08	0.165E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
284.627	69.0	0.153E-12	0.146E-08	0.107E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
285.988	70.0	0.441E-12	0.138E-08	0.626E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00
287.349	71.0	0.104E-11	0.126E-08	0.257E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00
288.710	72.0	0.207E-11	0.112E-08	0.571E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00
290.071	73.0	0.358E-11	0.974E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
291.432	74.0	0.556E-11	0.828E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
292.793	75.0	0.785E-11	0.690E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
294.154	76.0	0.103E-10	0.565E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
295.516	77.0	0.125E-10	0.456E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
296.877	78.0	0.145E-10	0.363E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
298.238	79.0	0.160E-10	0.286E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
299.599	80.0	0.169E-10	0.222E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
300.960	81.0	0.172E-10	0.171E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
302.321	82.0	0.169E-10	0.131E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
303.682	83.0	0.162E-10	0.993E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
305.043	84.0	0.152E-10	0.746E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
306.404	85.0	0.139E-10	0.555E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
307.766	86.0	0.124E-10	0.411E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
309.127	87.0	0.109E-10	0.300E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
310.488	88.0	0.945E-11	0.215E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
311.849	89.0	0.807E-11	0.139E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
313.210	90.0	0.679E-11	0.913E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
