E_lab	E*/MeV	184Bi	185Bi	186Bi	187Bi	188Bi	189Bi	190Bi	191Bi	192Bi	193Bi
280.543	66.0	0.000E+00	0.000E+00	0.000E+00	0.498E-09	0.148E-05	0.366E-05	0.279E-06	0.942E-05	0.548E-05	0.367E-07
281.904	67.0	0.000E+00	0.000E+00	0.000E+00	0.118E-08	0.180E-05	0.283E-05	0.247E-06	0.938E-05	0.436E-05	0.245E-07
283.266	68.0	0.000E+00	0.000E+00	0.000E+00	0.260E-08	0.209E-05	0.216E-05	0.257E-06	0.908E-05	0.342E-05	0.163E-07
284.627	69.0	0.000E+00	0.000E+00	0.000E+00	0.534E-08	0.232E-05	0.162E-05	0.307E-06	0.858E-05	0.266E-05	0.107E-07
285.988	70.0	0.000E+00	0.000E+00	0.000E+00	0.102E-07	0.248E-05	0.121E-05	0.397E-06	0.792E-05	0.204E-05	0.696E-08
287.349	71.0	0.000E+00	0.000E+00	0.000E+00	0.184E-07	0.257E-05	0.893E-06	0.525E-06	0.715E-05	0.155E-05	0.449E-08
288.710	72.0	0.000E+00	0.000E+00	0.000E+00	0.310E-07	0.257E-05	0.654E-06	0.688E-06	0.634E-05	0.117E-05	0.284E-08
290.071	73.0	0.000E+00	0.000E+00	0.000E+00	0.492E-07	0.250E-05	0.475E-06	0.879E-06	0.551E-05	0.870E-06	0.171E-08
291.432	74.0	0.000E+00	0.000E+00	0.000E+00	0.738E-07	0.236E-05	0.344E-06	0.109E-05	0.472E-05	0.644E-06	0.987E-09
292.793	75.0	0.000E+00	0.000E+00	0.502E-12	0.105E-06	0.218E-05	0.248E-06	0.131E-05	0.398E-05	0.473E-06	0.454E-09
294.154	76.0	0.000E+00	0.000E+00	0.158E-11	0.142E-06	0.197E-05	0.181E-06	0.153E-05	0.330E-05	0.345E-06	0.000E+00
295.516	77.0	0.000E+00	0.000E+00	0.455E-11	0.182E-06	0.174E-05	0.135E-06	0.173E-05	0.270E-05	0.249E-06	0.000E+00
296.877	78.0	0.000E+00	0.000E+00	0.121E-10	0.225E-06	0.151E-05	0.107E-06	0.190E-05	0.218E-05	0.179E-06	0.000E+00
298.238	79.0	0.000E+00	0.000E+00	0.300E-10	0.265E-06	0.129E-05	0.934E-07	0.204E-05	0.172E-05	0.128E-06	0.000E+00
299.599	80.0	0.000E+00	0.000E+00	0.693E-10	0.302E-06	0.108E-05	0.926E-07	0.212E-05	0.133E-05	0.910E-07	0.000E+00
300.960	81.0	0.000E+00	0.000E+00	0.136E-09	0.326E-06	0.991E-06	0.107E-06	0.225E-05	0.112E-05	0.642E-07	0.000E+00
302.321	82.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
303.682	83.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
305.043	84.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
306.404	85.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
307.766	86.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
309.127	87.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
310.488	88.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
311.849	89.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
313.210	90.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
314.571	91.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
