E_lab	E*/MeV	175Hg	176Hg	177Hg	178Hg	179Hg	180Hg
341.350	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.100E-02	0.127E-03
345.263	22.0	0.000E+00	0.000E+00	0.000E+00	0.294E-04	0.175E-01	0.732E-03
349.177	24.0	0.000E+00	0.000E+00	0.000E+00	0.255E-02	0.117E+00	0.204E-02
353.090	26.0	0.000E+00	0.000E+00	0.000E+00	0.298E-01	0.331E+00	0.254E-02
357.003	28.0	0.000E+00	0.000E+00	0.000E+00	0.147E+00	0.533E+00	0.182E-02
360.916	30.0	0.000E+00	0.000E+00	0.000E+00	0.441E+00	0.576E+00	0.924E-03
364.829	32.0	0.000E+00	0.000E+00	0.177E-06	0.940E+00	0.460E+00	0.364E-03
368.742	34.0	0.000E+00	0.000E+00	0.390E-03	0.149E+01	0.287E+00	0.114E-03
372.655	36.0	0.000E+00	0.000E+00	0.120E-01	0.179E+01	0.146E+00	0.223E-04
376.568	38.0	0.000E+00	0.000E+00	0.643E-01	0.166E+01	0.633E-01	0.000E+00
380.481	40.0	0.000E+00	0.000E+00	0.166E+00	0.122E+01	0.240E-01	0.000E+00
384.394	42.0	0.000E+00	0.899E-07	0.297E+00	0.747E+00	0.826E-02	0.000E+00
388.307	44.0	0.000E+00	0.212E-04	0.424E+00	0.397E+00	0.265E-02	0.000E+00
392.220	46.0	0.000E+00	0.484E-03	0.507E+00	0.190E+00	0.810E-03	0.000E+00
396.133	48.0	0.000E+00	0.314E-02	0.511E+00	0.838E-01	0.241E-03	0.000E+00
400.046	50.0	0.000E+00	0.101E-01	0.437E+00	0.348E-01	0.701E-04	0.000E+00
403.959	52.0	0.000E+00	0.220E-01	0.324E+00	0.139E-01	0.196E-04	0.000E+00
407.872	54.0	0.000E+00	0.374E-01	0.213E+00	0.537E-02	0.410E-05	0.000E+00
411.785	56.0	0.149E-06	0.531E-01	0.128E+00	0.203E-02	0.000E+00	0.000E+00
415.698	58.0	0.581E-05	0.648E-01	0.708E-01	0.756E-03	0.000E+00	0.000E+00
419.611	60.0	0.618E-04	0.688E-01	0.370E-01	0.278E-03	0.000E+00	0.000E+00
423.524	62.0	0.292E-03	0.641E-01	0.184E-01	0.101E-03	0.000E+00	0.000E+00
427.437	64.0	0.842E-03	0.532E-01	0.881E-02	0.361E-04	0.000E+00	0.000E+00
431.350	66.0	0.177E-02	0.398E-01	0.409E-02	0.126E-04	0.000E+00	0.000E+00
435.263	68.0	0.300E-02	0.275E-01	0.186E-02	0.419E-05	0.000E+00	0.000E+00
439.177	70.0	0.426E-02	0.176E-01	0.825E-03	0.107E-05	0.000E+00	0.000E+00
443.090	72.0	0.520E-02	0.107E-01	0.361E-03	0.000E+00	0.000E+00	0.000E+00
447.003	74.0	0.554E-02	0.618E-02	0.155E-03	0.000E+00	0.000E+00	0.000E+00
450.916	76.0	0.526E-02	0.344E-02	0.661E-04	0.000E+00	0.000E+00	0.000E+00
454.829	78.0	0.453E-02	0.185E-02	0.277E-04	0.000E+00	0.000E+00	0.000E+00
458.742	80.0	0.358E-02	0.968E-03	0.114E-04	0.000E+00	0.000E+00	0.000E+00
462.655	82.0	0.264E-02	0.496E-03	0.458E-05	0.000E+00	0.000E+00	0.000E+00
466.568	84.0	0.184E-02	0.249E-03	0.178E-05	0.000E+00	0.000E+00	0.000E+00
470.481	86.0	0.122E-02	0.123E-03	0.656E-06	0.000E+00	0.000E+00	0.000E+00
474.394	88.0	0.772E-03	0.599E-04	0.143E-06	0.000E+00	0.000E+00	0.209E+01
478.307	90.0	0.473E-03	0.287E-04	0.000E+00	0.000E+00	0.000E+00	0.201E+01
482.220	92.0	0.282E-03	0.135E-04	0.000E+00	0.000E+00	0.000E+00	0.194E+01
486.133	94.0	0.163E-03	0.629E-05	0.000E+00	0.000E+00	0.000E+00	0.188E+01
490.046	96.0	0.927E-04	0.288E-05	0.000E+00	0.000E+00	0.000E+00	0.182E+01
493.959	98.0	0.516E-04	0.129E-05	0.000E+00	0.000E+00	0.000E+00	0.177E+01
