E_lab	E*/MeV	195At	196At	197At	198At	199At	200At	201At	202At	203At	204At	205At
191.734	67.0	0.000E+00	0.000E+00	0.000E+00	0.948E-06	0.363E+00	0.130E+01	0.220E+00	0.107E-02	0.000E+00	0.000E+00	0.000E+00
192.977	68.0	0.000E+00	0.000E+00	0.000E+00	0.605E-05	0.438E+00	0.112E+01	0.153E+00	0.661E-03	0.000E+00	0.000E+00	0.000E+00
194.219	69.0	0.000E+00	0.000E+00	0.000E+00	0.284E-04	0.506E+00	0.944E+00	0.105E+00	0.405E-03	0.000E+00	0.000E+00	0.000E+00
195.462	70.0	0.000E+00	0.000E+00	0.000E+00	0.103E-03	0.562E+00	0.778E+00	0.713E-01	0.246E-03	0.000E+00	0.000E+00	0.000E+00
196.704	71.0	0.000E+00	0.000E+00	0.000E+00	0.303E-03	0.602E+00	0.630E+00	0.482E-01	0.148E-03	0.000E+00	0.000E+00	0.000E+00
197.946	72.0	0.000E+00	0.000E+00	0.000E+00	0.743E-03	0.624E+00	0.501E+00	0.323E-01	0.886E-04	0.000E+00	0.000E+00	0.000E+00
199.189	73.0	0.000E+00	0.000E+00	0.000E+00	0.157E-02	0.628E+00	0.392E+00	0.216E-01	0.525E-04	0.000E+00	0.000E+00	0.000E+00
200.431	74.0	0.000E+00	0.000E+00	0.000E+00	0.295E-02	0.614E+00	0.303E+00	0.143E-01	0.307E-04	0.000E+00	0.000E+00	0.000E+00
201.674	75.0	0.000E+00	0.000E+00	0.000E+00	0.500E-02	0.586E+00	0.231E+00	0.948E-02	0.178E-04	0.000E+00	0.000E+00	0.000E+00
202.916	76.0	0.000E+00	0.000E+00	0.000E+00	0.782E-02	0.545E+00	0.174E+00	0.624E-02	0.101E-04	0.000E+00	0.000E+00	0.000E+00
204.159	77.0	0.000E+00	0.000E+00	0.748E-07	0.114E-01	0.496E+00	0.130E+00	0.410E-02	0.551E-05	0.000E+00	0.000E+00	0.000E+00
205.401	78.0	0.000E+00	0.000E+00	0.431E-06	0.157E-01	0.442E+00	0.962E-01	0.268E-02	0.229E-05	0.000E+00	0.000E+00	0.000E+00
206.643	79.0	0.000E+00	0.000E+00	0.193E-05	0.206E-01	0.386E+00	0.706E-01	0.175E-02	0.304E-06	0.000E+00	0.000E+00	0.000E+00
207.886	80.0	0.000E+00	0.000E+00	0.700E-05	0.258E-01	0.331E+00	0.513E-01	0.114E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
