E_lab	E*/MeV	255Ha	256Ha	257Ha	258Ha	259Ha	260Ha	261Ha
243.707	8.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
244.966	9.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.237E-13
246.226	10.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.162E-11
247.485	11.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.274E-10
248.745	12.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.379E-09
250.005	13.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.287E-08
251.264	14.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.138E-07
252.524	15.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.426E-07
253.784	16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.938E-07
255.043	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.105E-11	0.154E-06
256.303	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.184E-10	0.199E-06
257.562	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.155E-09	0.204E-06
258.822	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.863E-09	0.172E-06
260.082	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.353E-08	0.124E-06
261.341	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.113E-07	0.795E-07
262.601	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.292E-07	0.466E-07
263.860	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.786E-13	0.622E-07	0.255E-07
265.120	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.158E-11	0.110E-06	0.133E-07
266.380	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.142E-10	0.164E-06	0.668E-08
