E_lab	E*/MeV	254Rf	255Rf	256Rf	257Rf	258Rf	259Rf	260Rf
305.428	57.0	0.467E-10	0.117E-09	0.000E+00	0.000E+00	0.000E+00	0.323E-12	0.000E+00
306.687	58.0	0.463E-10	0.828E-10	0.000E+00	0.000E+00	0.000E+00	0.194E-12	0.000E+00
307.947	59.0	0.438E-10	0.579E-10	0.000E+00	0.000E+00	0.000E+00	0.107E-12	0.000E+00
309.207	60.0	0.399E-10	0.400E-10	0.000E+00	0.000E+00	0.000E+00	0.359E-13	0.000E+00
310.466	61.0	0.350E-10	0.273E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
311.726	62.0	0.297E-10	0.184E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
312.985	63.0	0.246E-10	0.123E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
314.245	64.0	0.198E-10	0.818E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
315.505	65.0	0.157E-10	0.536E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
316.764	66.0	0.122E-10	0.338E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
318.024	67.0	0.927E-11	0.202E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
319.284	68.0	0.697E-11	0.104E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
320.543	69.0	0.517E-11	0.376E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
321.803	70.0	0.378E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
323.062	71.0	0.274E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
324.322	72.0	0.197E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
325.582	73.0	0.138E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
326.841	74.0	0.957E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
328.101	75.0	0.651E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
329.360	76.0	0.383E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
330.620	77.0	0.232E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
331.880	78.0	0.519E-13	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
333.139	79.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
334.399	80.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
