E_lab	E*/MeV	255Ha	256Ha	257Ha	258Ha	259Ha	260Ha	261Ha
331.880	78.0	0.402E-11	0.157E-10	0.598E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00
333.139	79.0	0.417E-11	0.129E-10	0.221E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00
334.399	80.0	0.420E-11	0.104E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
335.659	81.0	0.412E-11	0.827E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
336.918	82.0	0.394E-11	0.652E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
338.178	83.0	0.368E-11	0.509E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
339.437	84.0	0.338E-11	0.393E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
340.697	85.0	0.304E-11	0.301E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
341.957	86.0	0.268E-11	0.228E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
343.216	87.0	0.234E-11	0.172E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
344.476	88.0	0.200E-11	0.128E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
345.735	89.0	0.170E-11	0.941E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
346.995	90.0	0.142E-11	0.672E-12	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
