E_lab	E*/MeV	189Bi	190Bi	191Bi	192Bi	193Bi	194Bi	195Bi
274.150	56.0	0.834E-05	0.215E-02	0.127E-02	0.379E-03	0.167E-01	0.178E-02	0.861E-05
275.547	57.0	0.174E-04	0.226E-02	0.887E-03	0.581E-03	0.160E-01	0.130E-02	0.534E-05
276.945	58.0	0.331E-04	0.228E-02	0.610E-03	0.850E-03	0.149E-01	0.938E-03	0.329E-05
278.342	59.0	0.579E-04	0.221E-02	0.416E-03	0.118E-02	0.135E-01	0.668E-03	0.201E-05
279.739	60.0	0.940E-04	0.207E-02	0.281E-03	0.158E-02	0.120E-01	0.470E-03	0.122E-05
281.136	61.0	0.142E-03	0.188E-02	0.190E-03	0.201E-02	0.104E-01	0.328E-03	0.739E-06
282.533	62.0	0.202E-03	0.165E-02	0.130E-03	0.248E-02	0.880E-02	0.227E-03	0.441E-06
283.930	63.0	0.271E-03	0.141E-02	0.948E-04	0.294E-02	0.732E-02	0.155E-03	0.259E-06
285.327	64.0	0.344E-03	0.118E-02	0.799E-04	0.339E-02	0.597E-02	0.106E-03	0.150E-06
286.725	65.0	0.414E-03	0.968E-03	0.850E-04	0.378E-02	0.480E-02	0.713E-04	0.837E-07
288.122	66.0	0.476E-03	0.777E-03	0.112E-03	0.410E-02	0.379E-02	0.478E-04	0.442E-07
289.519	67.0	0.523E-03	0.612E-03	0.163E-03	0.433E-02	0.296E-02	0.319E-04	0.146E-07
290.916	68.0	0.552E-03	0.475E-03	0.243E-03	0.445E-02	0.228E-02	0.211E-04	0.000E+00
292.313	69.0	0.560E-03	0.364E-03	0.354E-03	0.446E-02	0.173E-02	0.139E-04	0.000E+00
293.710	70.0	0.549E-03	0.275E-03	0.497E-03	0.436E-02	0.122E-02	0.908E-05	0.000E+00
295.108	71.0	0.522E-03	0.205E-03	0.670E-03	0.416E-02	0.683E-03	0.590E-05	0.000E+00
296.505	72.0	0.482E-03	0.152E-03	0.104E-02	0.338E-02	0.258E-03	0.381E-05	0.000E+00
297.902	73.0	0.433E-03	0.111E-03	0.125E-02	0.303E-02	0.160E-03	0.245E-05	0.000E+00
299.299	74.0	0.381E-03	0.813E-04	0.146E-02	0.267E-02	0.103E-03	0.156E-05	0.000E+00
300.696	75.0	0.328E-03	0.594E-04	0.165E-02	0.230E-02	0.672E-04	0.991E-06	0.000E+00
302.093	76.0	0.277E-03	0.440E-04	0.181E-02	0.195E-02	0.445E-04	0.624E-06	0.000E+00
303.491	77.0	0.230E-03	0.341E-04	0.194E-02	0.163E-02	0.305E-04	0.389E-06	0.000E+00
304.888	78.0	0.188E-03	0.287E-04	0.201E-02	0.133E-02	0.226E-04	0.240E-06	0.000E+00
306.285	79.0	0.152E-03	0.276E-04	0.204E-02	0.107E-02	0.174E-04	0.146E-06	0.000E+00
307.682	80.0	0.121E-03	0.305E-04	0.202E-02	0.845E-03	0.661E-05	0.863E-07	0.000E+00
309.079	81.0	0.949E-04	0.374E-04	0.196E-02	0.623E-03	0.000E+00	0.501E-07	0.000E+00
310.476	82.0	0.738E-04	0.481E-04	0.186E-02	0.332E-03	0.000E+00	0.259E-07	0.000E+00
311.874	83.0	0.569E-04	0.627E-04	0.174E-02	0.186E-03	0.000E+00	0.000E+00	0.000E+00
313.271	84.0	0.435E-04	0.808E-04	0.159E-02	0.106E-03	0.000E+00	0.000E+00	0.000E+00
314.668	85.0	0.331E-04	0.102E-03	0.143E-02	0.604E-04	0.000E+00	0.000E+00	0.000E+00
316.065	86.0	0.250E-04	0.125E-03	0.125E-02	0.348E-04	0.000E+00	0.000E+00	0.000E+00
317.462	87.0	0.189E-04	0.150E-03	0.107E-02	0.204E-04	0.000E+00	0.000E+00	0.000E+00
318.859	88.0	0.145E-04	0.175E-03	0.892E-03	0.126E-04	0.000E+00	0.000E+00	0.000E+00
320.257	89.0	0.115E-04	0.198E-03	0.720E-03	0.877E-05	0.000E+00	0.000E+00	0.000E+00
321.654	90.0	0.970E-05	0.220E-03	0.556E-03	0.661E-05	0.000E+00	0.000E+00	0.000E+00
