E_lab	E*/MeV	174Hg	175Hg	176Hg	177Hg	178Hg	179Hg	180Hg
458.767	80.0	0.279E-03	0.330E-02	0.796E-03	0.968E-05	0.000E+00	0.000E+00	0.000E+00
460.724	81.0	0.336E-03	0.287E-02	0.570E-03	0.615E-05	0.000E+00	0.000E+00	0.000E+00
462.680	82.0	0.389E-03	0.245E-02	0.407E-03	0.389E-05	0.000E+00	0.000E+00	0.000E+00
464.637	83.0	0.436E-03	0.206E-02	0.289E-03	0.244E-05	0.000E+00	0.000E+00	0.000E+00
466.593	84.0	0.472E-03	0.171E-02	0.204E-03	0.150E-05	0.000E+00	0.000E+00	0.000E+00
468.550	85.0	0.496E-03	0.140E-02	0.143E-03	0.908E-06	0.000E+00	0.000E+00	0.000E+00
470.506	86.0	0.506E-03	0.114E-02	0.100E-03	0.536E-06	0.000E+00	0.000E+00	0.000E+00
472.463	87.0	0.505E-03	0.912E-03	0.700E-04	0.289E-06	0.000E+00	0.000E+00	0.000E+00
474.419	88.0	0.491E-03	0.725E-03	0.487E-04	0.772E-07	0.000E+00	0.000E+00	0.000E+00
476.376	89.0	0.468E-03	0.571E-03	0.337E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
478.332	90.0	0.437E-03	0.446E-03	0.232E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
