E_lab	E*/MeV	194Po	195Po	196Po	197Po	198Po	199Po	200Po	201Po	202Po	203Po	204Po
190.492	66.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.719E-04	0.322E+00	0.240E+01	0.253E+00	0.564E-02	0.120E-05	0.000E+00
191.734	67.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.253E-03	0.437E+00	0.229E+01	0.190E+00	0.378E-02	0.542E-06	0.000E+00
192.977	68.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.766E-03	0.562E+00	0.213E+01	0.140E+00	0.250E-02	0.123E-06	0.000E+00
194.219	69.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.204E-02	0.692E+00	0.194E+01	0.102E+00	0.164E-02	0.000E+00	0.000E+00
195.462	70.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.481E-02	0.818E+00	0.173E+01	0.731E-01	0.106E-02	0.000E+00	0.000E+00
196.704	71.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-01	0.935E+00	0.151E+01	0.519E-01	0.683E-03	0.000E+00	0.000E+00
197.946	72.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.198E-01	0.103E+01	0.130E+01	0.365E-01	0.436E-03	0.000E+00	0.000E+00
199.189	73.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.353E-01	0.111E+01	0.110E+01	0.255E-01	0.277E-03	0.000E+00	0.000E+00
200.431	74.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.584E-01	0.117E+01	0.910E+00	0.176E-01	0.174E-03	0.000E+00	0.000E+00
201.674	75.0	0.000E+00	0.000E+00	0.000E+00	0.535E-06	0.904E-01	0.119E+01	0.745E+00	0.121E-01	0.109E-03	0.000E+00	0.000E+00
202.916	76.0	0.000E+00	0.000E+00	0.000E+00	0.242E-05	0.132E+00	0.119E+01	0.601E+00	0.827E-02	0.681E-04	0.000E+00	0.000E+00
204.159	77.0	0.000E+00	0.000E+00	0.000E+00	0.924E-05	0.183E+00	0.117E+01	0.478E+00	0.561E-02	0.422E-04	0.000E+00	0.000E+00
205.401	78.0	0.000E+00	0.000E+00	0.000E+00	0.306E-04	0.241E+00	0.112E+01	0.376E+00	0.379E-02	0.260E-04	0.000E+00	0.000E+00
206.643	79.0	0.000E+00	0.000E+00	0.000E+00	0.891E-04	0.306E+00	0.105E+01	0.293E+00	0.254E-02	0.159E-04	0.000E+00	0.000E+00
207.886	80.0	0.000E+00	0.000E+00	0.000E+00	0.232E-03	0.374E+00	0.971E+00	0.226E+00	0.170E-02	0.959E-05	0.000E+00	0.000E+00
209.128	81.0	0.000E+00	0.000E+00	0.000E+00	0.543E-03	0.443E+00	0.880E+00	0.172E+00	0.113E-02	0.574E-05	0.000E+00	0.000E+00
210.371	82.0	0.000E+00	0.000E+00	0.000E+00	0.116E-02	0.508E+00	0.785E+00	0.130E+00	0.750E-03	0.327E-05	0.000E+00	0.000E+00
211.613	83.0	0.000E+00	0.000E+00	0.000E+00	0.228E-02	0.568E+00	0.688E+00	0.977E-01	0.495E-03	0.178E-05	0.000E+00	0.000E+00
212.856	84.0	0.000E+00	0.000E+00	0.000E+00	0.415E-02	0.619E+00	0.595E+00	0.728E-01	0.325E-03	0.786E-06	0.000E+00	0.000E+00
214.098	85.0	0.000E+00	0.000E+00	0.917E-07	0.705E-02	0.659E+00	0.507E+00	0.538E-01	0.213E-03	0.179E-06	0.000E+00	0.000E+00
215.340	86.0	0.000E+00	0.000E+00	0.395E-06	0.113E-01	0.687E+00	0.426E+00	0.395E-01	0.139E-03	0.000E+00	0.000E+00	0.000E+00
216.583	87.0	0.000E+00	0.000E+00	0.147E-05	0.170E-01	0.702E+00	0.354E+00	0.289E-01	0.899E-04	0.000E+00	0.000E+00	0.000E+00
217.825	88.0	0.000E+00	0.000E+00	0.477E-05	0.245E-01	0.704E+00	0.291E+00	0.209E-01	0.580E-04	0.000E+00	0.000E+00	0.000E+00
219.068	89.0	0.000E+00	0.000E+00	0.139E-04	0.338E-01	0.693E+00	0.237E+00	0.151E-01	0.372E-04	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.000E+00	0.000E+00	0.364E-04	0.447E-01	0.670E+00	0.190E+00	0.109E-01	0.237E-04	0.000E+00	0.000E+00	0.000E+00
221.552	91.0	0.000E+00	0.000E+00	0.871E-04	0.571E-01	0.638E+00	0.152E+00	0.776E-02	0.150E-04	0.000E+00	0.000E+00	0.000E+00
222.795	92.0	0.000E+00	0.000E+00	0.191E-03	0.706E-01	0.598E+00	0.120E+00	0.552E-02	0.942E-05	0.000E+00	0.000E+00	0.000E+00
224.037	93.0	0.000E+00	0.000E+00	0.389E-03	0.847E-01	0.552E+00	0.940E-01	0.391E-02	0.582E-05	0.000E+00	0.000E+00	0.000E+00
225.280	94.0	0.000E+00	0.000E+00	0.735E-03	0.990E-01	0.502E+00	0.731E-01	0.276E-02	0.336E-05	0.000E+00	0.000E+00	0.000E+00
226.522	95.0	0.000E+00	0.000E+00	0.131E-02	0.113E+00	0.451E+00	0.564E-01	0.194E-02	0.183E-05	0.000E+00	0.000E+00	0.000E+00
227.765	96.0	0.000E+00	0.000E+00	0.219E-02	0.126E+00	0.400E+00	0.433E-01	0.136E-02	0.905E-06	0.000E+00	0.000E+00	0.000E+00
229.007	97.0	0.000E+00	0.000E+00	0.347E-02	0.137E+00	0.350E+00	0.330E-01	0.947E-03	0.428E-06	0.000E+00	0.000E+00	0.000E+00
230.249	98.0	0.000E+00	0.463E-07	0.525E-02	0.146E+00	0.304E+00	0.250E-01	0.658E-03	0.310E-07	0.000E+00	0.000E+00	0.000E+00
231.492	99.0	0.000E+00	0.149E-06	0.761E-02	0.153E+00	0.260E+00	0.188E-01	0.455E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
232.734	100.0	0.000E+00	0.429E-06	0.106E-01	0.157E+00	0.221E+00	0.141E-01	0.314E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
233.977	101.0	0.000E+00	0.113E-05	0.142E-01	0.159E+00	0.186E+00	0.105E-01	0.216E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
235.219	102.0	0.000E+00	0.273E-05	0.184E-01	0.158E+00	0.155E+00	0.782E-02	0.148E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
236.462	103.0	0.000E+00	0.611E-05	0.232E-01	0.155E+00	0.128E+00	0.577E-02	0.101E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
237.704	104.0	0.000E+00	0.127E-04	0.283E-01	0.150E+00	0.105E+00	0.425E-02	0.645E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
238.946	105.0	0.000E+00	0.249E-04	0.337E-01	0.143E+00	0.853E-01	0.311E-02	0.373E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
240.189	106.0	0.000E+00	0.458E-04	0.391E-01	0.134E+00	0.689E-01	0.227E-02	0.211E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
241.431	107.0	0.000E+00	0.799E-04	0.443E-01	0.124E+00	0.553E-01	0.165E-02	0.119E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
242.674	108.0	0.000E+00	0.133E-03	0.491E-01	0.114E+00	0.441E-01	0.119E-02	0.678E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
243.916	109.0	0.000E+00	0.211E-03	0.533E-01	0.103E+00	0.349E-01	0.860E-03	0.391E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
245.159	110.0	0.222E-07	0.321E-03	0.568E-01	0.925E-01	0.275E-01	0.617E-03	0.227E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
246.401	111.0	0.626E-07	0.471E-03	0.595E-01	0.821E-01	0.216E-01	0.441E-03	0.130E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
247.643	112.0	0.162E-06	0.668E-03	0.612E-01	0.722E-01	0.168E-01	0.313E-03	0.737E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
248.886	113.0	0.388E-06	0.916E-03	0.619E-01	0.629E-01	0.131E-01	0.221E-03	0.404E-06	0.000E+00	0.000E+00	0.000E+00	0.500E-06
250.128	114.0	0.866E-06	0.122E-02	0.617E-01	0.543E-01	0.101E-01	0.154E-03	0.225E-06	0.000E+00	0.000E+00	0.000E+00	0.538E-06
251.371	115.0	0.181E-05	0.158E-02	0.606E-01	0.465E-01	0.776E-02	0.107E-03	0.870E-07	0.000E+00	0.000E+00	0.000E+00	0.581E-06
252.613	116.0	0.356E-05	0.199E-02	0.588E-01	0.395E-01	0.594E-02	0.590E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.629E-06
