E_lab E*/MeV 256Sg 257Sg 258Sg 259Sg 260Sg 261Sg 262Sg
243.707 8.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.629E-10 0.142E-08
244.966 9.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.527E-08 0.156E-08
246.226 10.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.144E-06 0.169E-08
247.485 11.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.140E-05 0.803E-09
248.745 12.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.848E-05 0.000E+00
250.005 13.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.253E-04 0.000E+00
251.264 14.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.312E-04 0.000E+00
252.524 15.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.694E-09 0.258E-04 0.000E+00
253.784 16.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.190E-07 0.172E-04 0.000E+00
255.043 17.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.203E-06 0.101E-04 0.000E+00
256.303 18.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.107E-05 0.546E-05 0.000E+00
257.562 19.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.312E-05 0.282E-05 0.000E+00
258.822 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.546E-05 0.141E-05 0.000E+00
260.082 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.596E-05 0.679E-06 0.000E+00
261.341 22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.499E-05 0.319E-06 0.000E+00
262.601 23.0 0.000E+00 0.000E+00 0.000E+00 0.526E-11 0.353E-05 0.146E-06 0.000E+00
263.860 24.0 0.000E+00 0.000E+00 0.000E+00 0.146E-09 0.224E-05 0.634E-07 0.000E+00
265.120 25.0 0.000E+00 0.000E+00 0.000E+00 0.168E-08 0.132E-05 0.207E-07 0.000E+00
266.380 26.0 0.000E+00 0.000E+00 0.000E+00 0.105E-07 0.731E-06 0.000E+00 0.000E+00
267.639 27.0 0.000E+00 0.000E+00 0.000E+00 0.410E-07 0.390E-06 0.000E+00 0.000E+00
268.899 28.0 0.000E+00 0.000E+00 0.000E+00 0.112E-06 0.201E-06 0.000E+00 0.000E+00
