E_lab E*/MeV 256Sg 257Sg 258Sg 259Sg 260Sg 261Sg 262Sg
291.572 46.0 0.396E-12 0.633E-09 0.242E-09 0.000E+00 0.000E+00 0.202E-10 0.184E-13
292.832 47.0 0.963E-12 0.706E-09 0.149E-09 0.000E+00 0.000E+00 0.156E-10 0.000E+00
294.091 48.0 0.211E-11 0.731E-09 0.907E-10 0.000E+00 0.000E+00 0.117E-10 0.000E+00
295.351 49.0 0.420E-11 0.707E-09 0.545E-10 0.000E+00 0.000E+00 0.847E-11 0.000E+00
296.610 50.0 0.762E-11 0.646E-09 0.325E-10 0.000E+00 0.000E+00 0.598E-11 0.000E+00
297.870 51.0 0.126E-10 0.561E-09 0.191E-10 0.000E+00 0.000E+00 0.414E-11 0.000E+00
299.130 52.0 0.191E-10 0.466E-09 0.108E-10 0.000E+00 0.000E+00 0.280E-11 0.000E+00
300.389 53.0 0.264E-10 0.373E-09 0.589E-11 0.000E+00 0.000E+00 0.187E-11 0.000E+00
301.649 54.0 0.338E-10 0.290E-09 0.211E-11 0.000E+00 0.000E+00 0.123E-11 0.000E+00
302.909 55.0 0.402E-10 0.219E-09 0.000E+00 0.000E+00 0.000E+00 0.797E-12 0.000E+00
304.168 56.0 0.446E-10 0.161E-09 0.000E+00 0.000E+00 0.000E+00 0.509E-12 0.000E+00
305.428 57.0 0.467E-10 0.117E-09 0.000E+00 0.000E+00 0.000E+00 0.323E-12 0.000E+00
306.687 58.0 0.463E-10 0.828E-10 0.000E+00 0.000E+00 0.000E+00 0.194E-12 0.000E+00
307.947 59.0 0.439E-10 0.580E-10 0.000E+00 0.000E+00 0.000E+00 0.107E-12 0.000E+00
309.207 60.0 0.399E-10 0.400E-10 0.000E+00 0.000E+00 0.000E+00 0.359E-13 0.000E+00
310.466 61.0 0.350E-10 0.273E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
311.726 62.0 0.297E-10 0.185E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
312.985 63.0 0.246E-10 0.123E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
314.245 64.0 0.198E-10 0.818E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
315.505 65.0 0.157E-10 0.536E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
316.764 66.0 0.122E-10 0.338E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
318.024 67.0 0.928E-11 0.202E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
319.284 68.0 0.697E-11 0.104E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
320.543 69.0 0.517E-11 0.376E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
321.803 70.0 0.378E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
323.062 71.0 0.274E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
324.322 72.0 0.197E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
325.582 73.0 0.138E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
326.841 74.0 0.957E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
328.101 75.0 0.651E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
329.360 76.0 0.383E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
330.620 77.0 0.232E-12 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
331.880 78.0 0.519E-13 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
333.139 79.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
334.399 80.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
335.659 81.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
336.918 82.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
338.178 83.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
339.437 84.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
340.697 85.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
341.957 86.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
343.216 87.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
344.476 88.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
345.735 89.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
346.995 90.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


