E_lab	E*/MeV	183Bi	184Bi	185Bi	186Bi	187Bi	188Bi	189Bi	190Bi	191Bi	192Bi	193Bi
280.454	64.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.997E-05	0.737E-04	0.363E-05	0.330E-03	0.653E-03	0.159E-04	0.000E+00
281.837	65.0	0.000E+00	0.000E+00	0.000E+00	0.812E-10	0.126E-04	0.597E-04	0.365E-05	0.372E-03	0.504E-03	0.106E-04	0.000E+00
283.220	66.0	0.000E+00	0.000E+00	0.000E+00	0.278E-09	0.150E-04	0.475E-04	0.470E-05	0.405E-03	0.384E-03	0.698E-05	0.000E+00
284.603	67.0	0.000E+00	0.000E+00	0.000E+00	0.844E-09	0.170E-04	0.371E-04	0.697E-05	0.427E-03	0.289E-03	0.459E-05	0.000E+00
285.986	68.0	0.000E+00	0.000E+00	0.000E+00	0.231E-08	0.184E-04	0.285E-04	0.107E-04	0.436E-03	0.215E-03	0.299E-05	0.000E+00
287.369	69.0	0.000E+00	0.000E+00	0.000E+00	0.573E-08	0.190E-04	0.217E-04	0.163E-04	0.432E-03	0.159E-03	0.194E-05	0.000E+00
288.752	70.0	0.000E+00	0.000E+00	0.000E+00	0.130E-07	0.189E-04	0.163E-04	0.237E-04	0.417E-03	0.116E-03	0.125E-05	0.000E+00
290.135	71.0	0.000E+00	0.000E+00	0.000E+00	0.271E-07	0.181E-04	0.121E-04	0.330E-04	0.392E-03	0.840E-04	0.799E-06	0.000E+00
291.518	72.0	0.000E+00	0.000E+00	0.000E+00	0.522E-07	0.169E-04	0.886E-05	0.441E-04	0.361E-03	0.480E-04	0.508E-06	0.000E+00
292.901	73.0	0.000E+00	0.000E+00	0.000E+00	0.935E-07	0.153E-04	0.646E-05	0.564E-04	0.324E-03	0.271E-04	0.320E-06	0.000E+00
294.284	74.0	0.000E+00	0.000E+00	0.000E+00	0.157E-06	0.135E-04	0.468E-05	0.692E-04	0.286E-03	0.163E-04	0.200E-06	0.000E+00
295.667	75.0	0.000E+00	0.000E+00	0.000E+00	0.246E-06	0.117E-04	0.337E-05	0.816E-04	0.248E-03	0.100E-04	0.123E-06	0.000E+00
297.050	76.0	0.000E+00	0.000E+00	0.000E+00	0.365E-06	0.993E-05	0.243E-05	0.929E-04	0.211E-03	0.636E-05	0.728E-07	0.000E+00
298.433	77.0	0.000E+00	0.000E+00	0.000E+00	0.513E-06	0.828E-05	0.177E-05	0.102E-03	0.177E-03	0.429E-05	0.424E-07	0.000E+00
299.816	78.0	0.000E+00	0.000E+00	0.422E-10	0.682E-06	0.679E-05	0.134E-05	0.109E-03	0.146E-03	0.327E-05	0.222E-07	0.000E+00
301.199	79.0	0.000E+00	0.000E+00	0.116E-09	0.865E-06	0.548E-05	0.110E-05	0.113E-03	0.118E-03	0.869E-06	0.767E-08	0.000E+00
302.582	80.0	0.000E+00	0.000E+00	0.291E-09	0.105E-05	0.438E-05	0.104E-05	0.114E-03	0.937E-04	0.000E+00	0.000E+00	0.000E+00
303.965	81.0	0.000E+00	0.000E+00	0.670E-09	0.122E-05	0.345E-05	0.114E-05	0.112E-03	0.726E-04	0.000E+00	0.000E+00	0.000E+00
305.348	82.0	0.000E+00	0.000E+00	0.143E-08	0.136E-05	0.269E-05	0.142E-05	0.107E-03	0.543E-04	0.000E+00	0.000E+00	0.000E+00
306.731	83.0	0.000E+00	0.000E+00	0.271E-08	0.146E-05	0.208E-05	0.187E-05	0.101E-03	0.352E-04	0.000E+00	0.000E+00	0.000E+00
308.114	84.0	0.000E+00	0.000E+00	0.500E-08	0.153E-05	0.159E-05	0.251E-05	0.930E-04	0.162E-04	0.000E+00	0.000E+00	0.000E+00
309.497	85.0	0.000E+00	0.000E+00	0.862E-08	0.155E-05	0.121E-05	0.332E-05	0.842E-04	0.790E-05	0.000E+00	0.000E+00	0.000E+00
310.880	86.0	0.000E+00	0.000E+00	0.140E-07	0.153E-05	0.915E-06	0.429E-05	0.750E-04	0.403E-05	0.000E+00	0.000E+00	0.000E+00
312.263	87.0	0.000E+00	0.000E+00	0.213E-07	0.148E-05	0.688E-06	0.538E-05	0.656E-04	0.211E-05	0.000E+00	0.000E+00	0.000E+00
313.646	88.0	0.000E+00	0.000E+00	0.317E-07	0.140E-05	0.517E-06	0.655E-05	0.562E-04	0.113E-05	0.000E+00	0.000E+00	0.000E+00
315.029	89.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
316.412	90.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
