   308.564    5.14    62.0  0.2172E+03  0.2189E-07  0.2166E+03    58.0       99.71
   311.415    5.19    64.0  0.2275E+03  0.1222E-07  0.2268E+03    59.0       99.69
   314.266    5.24    66.0  0.2373E+03  0.6908E-08  0.2365E+03    61.0       99.67
   317.117    5.29    68.0  0.2466E+03  0.3941E-08  0.2457E+03    62.0       99.63
   319.968    5.33    70.0  0.2555E+03  0.2270E-08  0.2545E+03    63.0       99.60
   322.819    5.38    72.0  0.2641E+03  0.1347E-08  0.2630E+03    64.0       99.56

     Querschnitte / mbarn

  E*/MeV   196Fr     197Fr     198Fr     199Fr     200Fr     201Fr  
    52.0 0.302E-14 0.135E-07 0.167E-07 0.000E+00 0.000E+00 0.000E+00
    54.0 0.349E-12 0.100E-07 0.630E-08 0.000E+00 0.000E+00 0.000E+00
    56.0 0.782E-11 0.625E-08 0.232E-08 0.000E+00 0.000E+00 0.000E+00
    58.0 0.625E-10 0.348E-08 0.781E-09 0.000E+00 0.000E+00 0.000E+00
    60.0 0.233E-09 0.178E-08 0.168E-09 0.000E+00 0.000E+00 0.000E+00
    62.0 0.488E-09 0.857E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    64.0 0.686E-09 0.394E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    66.0 0.732E-09 0.175E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    68.0 0.642E-09 0.746E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    70.0 0.489E-09 0.283E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    72.0 0.334E-09 0.699E-11 0.000E+00 0.000E+00 0.000E+00 0.000E+00

  E*/MeV   195Rn     196Rn     197Rn     198Rn     199Rn     200Rn  
    52.0 0.000E+00 0.361E-10 0.205E-06 0.207E-07 0.000E+00 0.000E+00
    54.0 0.000E+00 0.222E-09 0.161E-06 0.738E-08 0.000E+00 0.000E+00
    56.0 0.000E+00 0.756E-09 0.108E-06 0.242E-08 0.000E+00 0.000E+00
    58.0 0.000E+00 0.161E-08 0.642E-07 0.103E-09 0.000E+00 0.000E+00
    60.0 0.767E-14 0.238E-08 0.350E-07 0.000E+00 0.000E+00 0.000E+00
    62.0 0.142E-12 0.269E-08 0.179E-07 0.000E+00 0.000E+00 0.000E+00
    64.0 0.146E-11 0.247E-08 0.867E-08 0.000E+00 0.000E+00 0.000E+00
    66.0 0.881E-11 0.195E-08 0.405E-08 0.000E+00 0.000E+00 0.000E+00
    68.0 0.333E-10 0.136E-08 0.183E-08 0.000E+00 0.000E+00 0.000E+00
    70.0 0.853E-10 0.872E-09 0.795E-09 0.000E+00 0.000E+00 0.000E+00
    72.0 0.159E-09 0.520E-09 0.327E-09 0.000E+00 0.000E+00 0.000E+00
                                                                        
           



 Ende HIVAP 
